Source,Target,MappedRelation,Circuit,Weight,Confidence,Score,SourceType,TargetType,Books,ReviewFlag,Evidence
himalayan farmers,salt,trades_with,Commodity circuits,1.0,0.85,6.9431,GROUP,COMMODITY,TransHimalayan_Traders_Fisher,,Barter for salt
the lake,salt,governs,Political economy,1.0,0.85,6.8431,LOCATION,COMMODITY,CentralAsia_Tibet_Vol1,generic_entity,"On a hill-side was the bleached skull of a kulan, and not very far away we noticed the foot-prints of a bear. The salt lay like ice, merely covered by a thin film of water."
traders,salt,transports_via,Route/place circuits,1.0,0.8,6.8431,GROUP,COMMODITY,Santiago_Lazcano,,"Salt from the lakes was transported along with other livestock products loaded on yaks, sheep or camels to the agricultural areas, where it was exchanged for the coveted grain."
q e tibetans,salt,trades_with,Commodity circuits,1.0,0.9,6.7931,GROUP,COMMODITY,CentralAsia_Tibet_Vol2,,"Tibetans carry on a considerable trade across the frontier of Kashmir, bartering roo sheep, laden with salt, for 80 sheeploads of corn."
jang bahadur rana,salt,governs,Political economy,1.0,0.9,6.7431,CONCEPT,COMMODITY,Traders_in_Highland_Nepal,,An order {sanad) issued by Jang Bahadur Rana in 1861 enumerated the complicated rules which govern the relations between the customs contractor and the people of Thak Khola engaged in the salt-trade.
the water,salt,depends_on,Commodity circuits,1.0,0.9,6.7431,CONCEPT,COMMODITY,CentralAsia_Tibet_Vol1,generic_entity,The water was so heavily charged with salt that the drops which fell into the boat stiffened like stearine;
zhao erfeng,salt,governs,Political economy,1.0,0.85,6.7431,PERSON,COMMODITY,Santiago_Lazcano,,"In 1910, after trying with little success to implement the lijin system that taxed the transportation of salt..."
the desert,salt,depends_on,Commodity circuits,1.0,0.85,6.6931,CONCEPT,COMMODITY,CentralAsia_Tibet_Vol1,generic_entity,"Although the ground was moist right up to the surface, it was nowhere frozen, owing to its very strong impregnation of salt."
ma bufang,salt,taxes,Political economy,1.0,0.8,6.5931,CONCEPT,COMMODITY,Santiago_Lazcano,,From then on the chieftains of this powerful family controlled the province with an iron fist (especially the bloodthirsty Ma Bufang) and taxed the Amdo salt and wool trade.
shepherds,salt,trades_with,Commodity circuits,1.0,0.8,6.5931,GROUP,COMMODITY,CentralAsia_Tibet_Vol1,,The Mollah said they were fires made by the shepherds to scare tigers and wolves away from their flocks.
zhao erfeng,salt,taxes,Political economy,1.0,0.8,6.5931,PERSON,COMMODITY,Santiago_Lazcano,,After they returned to the salt pans Zhao was still not satisfied with the taxes obtained...
nepal government,salt,taxes,Political economy,1.0,0.7,6.5431,GROUP,COMMODITY,TransHimalayan_Traders_Fisher,,"In 1838 taxes began to be levied on salt, wool, cloth, goats, and woolen blankets (documents 4 and 5)."
newars,salt,trades_with,Commodity circuits,1.0,0.8,6.5431,CONCEPT,COMMODITY,Traders_in_Highland_Nepal,,"Thus, the salt/grain barter can be operated easily by egalitarian societies with constant and predictable needs and a fairly even standard of living."
nomads of the lake area,salt,transports_via,Route/place circuits,1.0,0.8,6.4931,GROUP,COMMODITY,Santiago_Lazcano,,"Salt from the lakes was transported along with other livestock products loaded on yaks, sheep or camels to the agricultural areas, where it was exchanged for the coveted grain."
thakali merchants,salt,trades_with,Commodity circuits,1.0,0.8,6.4931,GROUP,COMMODITY,Traders_in_Highland_Nepal,,Based on their houses in Thaksatsae they dealt in a variety of commodities from grain and salt to cloth and cigarettes.
tibetan populations,salt,monopolizes,Political economy,1.0,0.8,6.4931,LOCATION,COMMODITY,Traders_in_Highland_Nepal,,"Later most people of Baragaon became economically dependent on the Thakalis of Tukche, who then monopolized the salt-trade with Tibet."
tichurong people,salt,trades_with,Commodity circuits,1.0,0.8,6.4931,GROUP,COMMODITY,TransHimalayan_Traders_Fisher,,"Tichurong people most commonly trade buckwheat and chinu millet for salt, ..."
amdowa tribes,salt,supplies,Commodity circuits,1.0,0.8,6.4431,GROUP,COMMODITY,Santiago_Lazcano,,"In the past many Amdowa tribes had their salt station or tshwa sgo on the shores of Lake Wu yi tshwa mtsho (Lake Tsaka). There they burned bsang and sprinkled water from the lake skyward to venerate the 1,000 female deities believed inhab-"
bhotias of panchsati and barthapale,salt,transports_via,Route/place circuits,1.0,0.8,6.4431,GROUP,COMMODITY,Traders_in_Highland_Nepal,,"Large numbers of sheep and goats belonging to Bhotias of Panchsati and Barthapale, some carrying salt and others going empty, were on their way to the winter grazing grounds in die middle-ranges."
lhagong monastery,salt,governs,Political economy,1.0,0.8,6.4431,CONCEPT,COMMODITY,Santiago_Lazcano,,"The one from Lhagong (Lhaweng, Lawok) in Tsakalho administered the affairs of the salt trade."
salt,grain-salt-rice circuit,trades_with,Commodity circuits,1.0,0.8,6.4431,COMMODITY,CONCEPT,TransHimalayan_Traders_Fisher,,Traded (see Grain-salt-rice circuit)
thakali families,salt,supplies,Commodity circuits,1.0,0.8,6.4431,CONCEPT,COMMODITY,Traders_in_Highland_Nepal,,"The abolition of the salt monopoly in 1928 meant not only that the royalty previously paid to the government no longer flowed out of Thak Khola, but also that the profits made by the contractor were now spread among a large number of Thakali families."
rupshu,salt,extracts_from,Commodity circuits,2.0,0.0,4.9986,LOCATION,COMMODITY,Rupshu,missing_evidence,
men,salt,extracts_from,Commodity circuits,1.0,0.0,4.4931,GROUP,COMMODITY,Rupshu,missing_evidence,
traders,salt,trades_with,Commodity circuits,1.0,0.0,4.4431,GROUP,COMMODITY,Ladakh,missing_evidence,
salt,barley,trades_with,Commodity circuits,1.0,0.0,4.2931,COMMODITY,COMMODITY,Rupshu,missing_evidence,
chinese authorities,salt,licenses,Political economy,1.0,0.0,4.2431,GROUP,COMMODITY,Salt_routes_and_barter_caravans_in_the_H,missing_evidence,
farmers from lower ladakh (or sham),salt,transports_via,Route/place circuits,1.0,0.0,4.2431,GROUP,COMMODITY,Rupshu,missing_evidence,
goloks,salt,monopolizes,Political economy,1.0,0.0,4.2431,GROUP,COMMODITY,Santiago_Lazcano,zero_confidence,"According to Grenard, the Goloks also collected salt from the twin lakes Kyaring tso and Ngoring tso and exercised 'a lucrative trade, for they make sure of a monopoly in it through the terror with which they inspire their neighbours'."
nomads,salt,trades_with,Commodity circuits,1.0,0.0,4.2431,GROUP,COMMODITY,Rupshu,missing_evidence,
chang-pa,salt,extracts_from,Commodity circuits,1.0,0.0,4.1931,GROUP,COMMODITY,Ladakh,missing_evidence,
zanskaris,salt,trades_with,Commodity circuits,1.0,0.0,4.1931,GROUP,COMMODITY,Ladakh,missing_evidence,
humlis,salt,trades_with,Commodity circuits,1.0,0.0,4.1431,GROUP,COMMODITY,HUMLA_NEPAL,missing_evidence,
consumers,salt,trades_with,Commodity circuits,1.0,0.0,4.0931,GROUP,COMMODITY,HUMLA_NEPAL,missing_evidence,
jumla and botechaur,salt,trades_with,Commodity circuits,1.0,0.0,4.0431,LOCATION,COMMODITY,Salt_routes_and_barter_caravans_in_the_H,missing_evidence,
salt,semi-luxuries like tea and rice,trades_with,Commodity circuits,1.0,0.0,4.0431,COMMODITY,COMMODITY,Ladakh,missing_evidence,
salt lakes,salt,trades_with,Commodity circuits,1.0,0.0,4.0431,LOCATION,COMMODITY,Ladakh,missing_evidence,
tibetan changpas,salt,transports_via,Route/place circuits,1.0,0.0,4.0431,GROUP,COMMODITY,Rupshu,missing_evidence,
tibetan partners,salt,trades_with,Commodity circuits,1.0,0.0,4.0431,GROUP,COMMODITY,Salt_routes_and_barter_caravans_in_the_H,missing_evidence,
