Source,Relation,Target,Weight
ladakhi gompas and the villages,RELATE,chapters 11 and 12,1
people of ladakh,THANK,"generosity, time, effort, and hospitality",1
"mrs kunzes razu, mrs tuma-le, and mrs sonam narboo",HOST,me with generous hospitality,1
"abdul ghani, asghar ali, and ghulam akbar",DRIVE,me around,1
indian council for historical research,FUNDED,research,1
he,FINANCED,trips to ladakh,1
he,READ,parts of the text,1
he,MADE SUGGESTIONS,to the point,1
bactrian magpie,CHARACTERIZE,ladakh's most characteristic birds,1
kyang,EXIST,"grasslands of rupshu, near tso-kar",1
trader from hoshiarpur,STAND,door of his shop in leh's main bazaar,1
bactrian camel,CARRY,loads of 300 kilograms or more on the mountain trails of the kun-lun and the karakoram,1
barley,ROAST,"before being ground into tsampa, an instant pre-cooked food: trespon",1
village weaver,WORK,te-suru in the suru valley,1
trapdoor,ILLUMINATE,kitchen of a village home in central zanskar,1
polo,HAPPEN,in leh: an exciting and colourful occasion in a spectacular setting,1
mulbekh,HAVE,earthen walls of the unpretentious mosque sandwiched between a roadside chorten and the gompa perched on its crag,1
rangdum gompa,SHOW,the warriors of the mythical kingdom of shambha-la do battle with the invader,1
stongde gompa,HAVE,an unusually delicate wall painting of a goddess,1
mosque at leh,HAVE STYLE,more ladakhi than islamic,1
drilling-rig,TAP,groundwater of the highest purity close to the suru river at kargil,1
bus,PASS,newly constructed prayer-wheel at a major intersection on the outskirts of leh,1
traditional agriculture,BE SUPPLEMENTED BY,low-cost polygreen-house at chiling,1
office worker,PAUSE TO CHAT,with children on their way home from school at skara on the outskirts of leh,1
lamayuru,BE ROADHEAD FOR,the zanskar trek,1
ladakh,ENCOMPASSES,an enormous variety of landscapes,1
landscapes,DIFFERENCES BASED ON,the great range of altitude,1
chang-pa,NOMADIC HERDSPEOPLE OF THE PLATEAUX OF,south-east ladakh,1
ladakh,WAS FOR SOME NINE CENTURIES AN INDEPENDENT KINGDOM THAT,expanded and shrank according to the relative power of its rulers and those of neighbouring countries,1
ruling family,BOUND TOGETHER BY A SERIES OF MARRIAGE ALLIANCES WITH,the aristocracy,1
valleys,"MESHED TO ALL THE OTHERS IN A NETWORK OF LOCAL TRADES IN SUBSISTENCE GOODS CARRIED ON PARTLY BY OCCASIONAL TRADING EXPEDITIONS UNDERTAKEN BY THE VILLAGERS THEMSELVES, AND PARDY BY","shamma, from the sham ilaqa, the indus valley between leh and khaltse",1
chang-pa,MAY DIFFER MARKEDLY FROM THAT OF,purig-pa in kargil,1
buddhism,IS THE BEDROCK OF,single basic culture,1
ladakhis,ABOUT HALF ARE CRITICAL IMPORTANCE TO,buddhism,1
non-buddhist communities,ARE NOT ENTIRELY UNTOUCHED BY THE CHARACTERISTIC BUDDHIST VALUES OF,tolerance and compassion,1
ladakh,NO LONGER EXISTS IN ANY FORMAL OR ADMINISTRATIVE SENSE SINCE ITS BIFURCATION INTO TWO DISTRICTS,"leh and kargil, and the classification of its people into a dozen different groupings under the rubric o f‘scheduled tribes’",1
tibetan connection,"IS ONE WHICH HAS FASCINATED MANY OF THE VISITORS AND SCHOLARS, AND IT IS REFERRED TO REPEATEDLY IN THE PAGES THAT FOLLOW",ladakh,1
tibet,SHARE_ENVIRONMENTAL_CONDITIONS,similar adapta­tions,1
countries,HAVE_ARCHITECTURAL_STYLE,single architectural style,1
palace at leh,ANTEDATE,potala,1
monasteries,SHARE_TRADITION,great monasteries,1
diet,CONTAIN,"tsampa, change, butter-tea",1
tibetan plateau,PRODUCE,main crop of barley,1
livestock,PROVIDE,butter,1
tea,IMPORTED_FROM,china,1
water-mills,USE_IN_COMMON,grinding barley,1
irrigation system,USE_IN_REGION,tibetan plateau,1
buddhism,SPREAD_FROM,india,1
ladakh,PLAY_CRUCIAL_ROLE,second spreading of buddhism,1
religious establishment,SUBORDINATE_TO,great monasteries of central tibet,1
bogle,DESCRIBE,tibetan system of fraternal polyandry,1
michel peissel,FIND,"mustang, the remote trans-himalayan province of nepal",1
peissel,DESCRIBE,"khang-bu, or ‘little house’",1
elders of a family,RETIRE,headship of the family,1
anthropological and sociological research,INDICATE,complex pattern involving varying forms of customs,1
tibetan cultural area,EXIST,"customs till 1959, and perhaps still survive in remote parts of nepal",1
villages of buddhist ladakh,REMAIN CURRENT,polyandry and inheritance by primogeniture until at least the early 1940s,1
government of jammu and kashmir,MAKE ILLEGAL,polyandry and inheritance by primogeniture,1
women,ENJOY,high status and complete emancipation,1
tibetans,ASSESS,"people for what they are, and not primarily on the basis of their membership of a particular class, or sex",1
ladakh,CONSTITUTE,main interest for a large number of people,1
tibetans now living in ladakh as refugees,FEEL,not even half-way home,1
ladakh,REMAIN,untouched,1
shamma traders,SCOURED,area,1
shamma,EXEMPLIFY,pattern,1
ladakh,DEVELOPED,major entrepot,1
leh,DEVELOPED,cosmopolitan air,1
capital,REFLECT,mixed racial composition,1
town,ENRICH,speech,1
trade,CONTRIBUTE,character of the ladakhis and their society,1
francis younghusband,KNEW,himalaya and central asia,1
ladakh,EVOLVE,individual style,1
ladakh,DERIVE,oral literature,1
music,HAVE,distinct flavour,1
dance,HAVE,essential part of buddhist social life,1
polo,EXIST,western himalaya,1
shia muslims,SETTLE,"chushot, a village",1
ladakhis,LOOK TO,lhasa for religious inspiration,1
secular ladakhis,GO TO,srinagar and the universities of british india,1
moravian missionaries,BRING,modern world,1
ladakh,BECOME,integral part of indian polity,1
ladakh,STRATEGIC_IMPORTANCE,china,1
indian army and air force,STATIONED,western_and_central_ladakh,1
indian army and air force,STATIONED,east_and_south-east_of_ladakh,1
indian army and air force,FACING,pakistani_counterparts,1
tibetan buddhism,SPIRIT_AND_ATMOSPHERE,other_cultures,1
old tibet,ISOLATIONISM,outsiders_except_traders_and_pilgrims,1
ladakh,WELCOMING,traders_from_kashmir_punjab_central_asia_and_tibet,1
kashmiri traders,SETTLING,leh,1
muslim families of dras and suru valley,ORIGINATING_FROM,migrants_from_baltistan_and_gilgit,1
ladakh,BE,unconnected,1
air from delhi,CREATE,sense of unreality,1
ladakh,HAVE,great altitude,1
traveller,OBSERVE,gradual change,1
vehicle,PUT,distance between the traveller and the landscape,1
traveller,REGRET,cutting off from its sounds,1
manali,BE,major tourist destination,1
palchan,START,ascent up the slopes,1
pir panjal,BE,major subsidiary of the great himalaya,1
rohtang pass,BE,regarded with trepidation,1
upper lahul,CONSIST,valleys of the chandra and bhaga rivers,1
the kulu style,HAS,deep wooden verandahs,1
the kulu style,HAS,slate or shingle roofs,1
houses,ARE CONSTRUCTED FROM,adobe bricks or stone cemented with mud,1
houses,HAVE,flat roofs for storing winter forage,1
lahul,HAS A CHEQUERED POLITICAL HISTORY,none,1
lahul,IS CULTURALLY LINKED TO,ladakh,1
lahul people,PROFIT FROM,situation mid-way between kulu and ladakh,1
seed potatoes,"ARE A CASH CROP THAT CAN BE RAISED SUSTAINABLY, YEAR AFTER YEAR",none,1
fields,ARE DEVOTED TO THE CULTIVATION OF,seed potatoes,1
pir panjal and the great himalaya's southern flank,ARE THE SUMMER DESTINATION OF,transhumant gaddi shepherds,1
gaddi shepherds,MAY TAKE A TREK TO AND FROM THEIR TRADITIONAL GRAZING RUNS ALONG THE MOTOR ROAD,none,1
vehicles,JOSTLE FOR WAY WITH A FLOCK OF SEVERAL HUNDRED SHEEP AND GOATS,none,1
chandra,"IS CROSSED AT KHOKSAR, THE FIRST VILLAGE",none,1
road,REMAINS ON THE RIGHT BANK,the water,1
river,"STARTS TO RISE AGAIN, FOLLOWING UP TO KEYLANG",none,1
darcha,OPENS OUT INTO A WIDE PLAIN WHERE THE PRINCIPAL TRAIL TO ZANSKAR DIVERGES FROM THE MAIN ROAD,none,1
bhaga,FOLLOWS,bridge at patseo,1
traders,BARTER,salt and wool,1
kulu and zanskar,BRING,"food-grains, tea and other essential commodities",1
tea-stalls and hotels,EXIST,seasonal entrepreneurs,1
army and border roads organization,MAINTAIN,road,1
chang-pa,LIVE,yak-hair tents,1
chang-thang,CONTAIN,nomadic herdspeople,1
tibet,HAVE,northern plateau land,1
rupshu,BE,south-eastern extremity of chang-thang,1
chang-pa goats,PROVIDE,"pashm, or 'cashmere'",1
kashmir shawl industry,USE,raw material,1
road,CROSS,left bank of bhaga at patseo,1
bhaga,FOLLOW,grazing ground of zingzingbar and source in suraj tal lake,1
watershed of the great himalaya,CROSS,bara-lacha-la pass,1
road to leh,CARRY ON,"northerly direction, down past glacial lakelets",1
travellers,CROSS,this bleak lunar landscape,1
tea-stall owners,PROVIDE,basic services,1
chang-pa,FOLLOW,strict system of movement,1
phalung danda,RISE,out of the plain,1
the road,LEAVE,himachal pradesh,1
yonam valley,DEBOUND,tsarap,1
great himalaya,HAVE,glaciers,1
zanskar range,MARK,divide between the great himalaya and,1
the road,FOLLOW,tsarap,1
sarchu,BE,isolated rock,1
chang-pa,SET UP CAMP,morey plain,1
marmots,DISAPPEAR,into their burrows,1
kyang,FRUSTRATE,any attempt to examine them more closely,1
indus basin,REACHED,pass,1
stream,JOINS,road,1
rumtse,VILLAGE,ladakh,1
gya river,FLOWS,indus,1
fields,CONTRAST,barren mountain slopes,1
oasis village,BECOMES,bigger,1
willows,GROW,repeated pollarding,1
gya stream,FLOWS,upshi,1
river,SNAKES,gorge,1
leh,DRIVE,reasonable,1
igu,BRIDGE,right bank,1
karu,VALLEY,opens up,1
chang-la,ROUTE,pang-gong lake,1
hemis,GOMPA,ladakh,1
stakna gompa,CROWN,eminence,1
road,PASSES,villages,1
ranbirpura,CARVED OUT,desert,1
tikse,GOMPA,fields,1
shey,FLOODED,occasionally,1
past choglamsar,HAS,tibetan refugee settlement,1
leh's outskirts,LOCATED_NEAR,jeevan sthal,1
dalai lama's prayer enclosure,LOCATED_AT,past choglamsar,1
travellers from srinagar,START_JOURNEY_FROM,sonamarg,1
road,ASCENDS_TO,zoji-la (3450 metres),1
tank crews,CONSTRUCTED_TRACK_FOR,tanks,1
engineers,CONSTRUCTED_TRACK_FOR,tanks,1
commanders,CONCEIVED_BRAINSTORM_SOLUTION,military problem,1
kashmir landscape,SHARED_CHARACTERISTICS_WITH,ladakh's landscape,1
sind river,TAKES_RIGHT_ANGLED_TURN,delectable valley,1
stream,FLINGS_ITSELF_DOWN,almost sheer ravine,1
village of baltal,LOCATED_AT,confluence of sind river and stream,1
summer route,ALIGNED_WITH,today's motor road,1
watershed,INCONSPICUOUS,none,1
inner ladakh,EXPERIENCES,heavy snowfall,1
travellers,FIND THEMSELVES,driving between snow walls,1
great himalaya,FORMS A BARRIER,moisture-laden clouds,1
zoji-la,ALLOWS MOISTURE-LADEN CLOUDS TO ENTER,ladakh,1
dras valley,OPENS OUT INTO,upland plateau,1
dras river,FOLLOWS,road,1
shingo stream,CONFLUENCES WITH,dras river,1
suru river,COMES IN FROM,south-east,1
kargil,IS REACHED AFTER,turning up the suru river,1
ladakh,HAS A POPULATION OF,about 2500,1
dras valley,ALLOWS FOR A LUSH GROWTH OF,fruit trees and crops,1
areas within reach of irrigation,ARE THUS INTENSIVELY CULTIVATED,two harvests a year,1
kargil's main highway,RUNS SLAP THROUGH,main bazaar,1
indus river,IS NOT DIRECTLY REACHED BY THE ROAD,from kargil,1
road,CROSSES TWO PASSES HIGHER THAN,zoji-la,1
khurbathang plateau,HAS BEEN IRRIGATED,by water diverted from wakha river since 1990,1
newly irrigated land,IS LAID OUT IN LARGE RECTANGULAR PLOTS,among residents of surrounding villages,1
road,DESCENDS,khurbathang,1
khurbathang channel,CONTOURING,mountainside,1
concrete structure,CONTRAST,'private enterprise' irrigation,1
gompa,PERCHES,crag,1
rock engraving,WATCHES OVER,villagers and tourists,1
road,LEAVES,wakha river,1
valley,RUNS DOWN THE CENTRE,pebbly river-bed,1
ladakh,UNDERGONE,geological ages ago upheavals,1
approach to namika-la,DESCEND,mountainside,1
road,FOLLOWS,kanji river,1
fatu-la,GATEWAY,central ladakh,1
balti army,LAY IN WAIT,king of ladakh,1
sengge namgyal,MET,force sent from kashmir,1
road,TURNS INTO,kanji valley,1
ruined casde,STANDS,opposite side of the river,1
old fort,PASSES BY,foot of the ascent to fatu-la,1
the indus,EMPTY INTO,the sea near karachi,1
the shayok,FLOW,into the indus,1
the hunza,FLOW,into the indus,1
the gilgit,FLOW,into the indus,1
the chitral,FLOW,into the indus,1
the kabul,FLOW,into the indus,1
the panjnad,FLOW,into the indus,1
the arno,BE COMPARABLE TO,one of the medium-sized rivers of europe,1
every one of the rivers and streams,PART OF,the immense river system of which this is the central artery,1
the indus,DRAIN,the area extending from chitral in the north to the great indian desert in the south; from lake manasarowar in the east to the arabian sea in the west,1
khaltse,ENTER,the heartland of ladakh,1
the road,PASSES,a modern sikh temple dedicated to guru nanak,1
the road,CROSSES,one more barren plateau,1
the valley,OPENS,ahead into a broad plain,1
the sun,CASTS,into relief with long shadows every contour of the mountains rising on either hand,1
the indus,MEANDERS,in a number of channels through the wide bed it cut for itself in the alluvium brought down by its tributary torrents,1
spituk hill,HAS,a gompa just below the summit,1
leh,CAN BE SPIED,"eight kilometres ahead, a collection of flat roofs among trees",1
the palace,DOMINATES,the now-deserted palace,1
skara village,IS NEAR,leh as to be almost a suburb,1
a large chorten,MARKS,the beginning of the city proper,1
the main bazaar,LIES,along the surprisingly broad and gracious main bazaar of leh,1
great himalaya,FALLING_TO,trough_of_zanskar_and_suru_valleys,1
zanskar range,EXTENDING_INTO,tibet_as_the_kailash_range,1
ladakh range,GIVING_BIRTH_TO,pang-gong_range,1
shayok,TRIBUTARY_OF,indus,1
karakoram,FORMING_WATERSHED_BETWEEN,india_and_central_asia,1
indian_subcontinent,DRIFTING_INTO,asia,1
asian_mass,STATIONARY_AS,ocean_of_tethys,1
indian_plate,GROUNDING_WAY_UNDER,asian_one,1
great_himalaya,FORMED_FROM_BASE_MATERIAL_OF,indian_plate,1
zanskar_range,CONSISTING_OF_LAYERS_OF_SEDIMENT_FROM,ocean_floor,1
ladakh_range,CONSISTING_OF_GRANITE_BORN_OF,heat_generated_by_friction_between_two_plates,1
suru,JOINS,indus,1
dras,COMBINED WATERS,shingo rivers,1
marol,LOCATION,pakistan side of the line of control,1
zanskar range,HEADWATERS RISE,great himalaya,1
glaciers,EMERGE FROM,nun-kun,1
rangdum,DESTINATION,bakar-wals (nomadic herdspeople),1
himalayan foothills near jammu,TREND FROM,suru valley,1
kargil,IMPORTANT STAGING POST,trade caravans,1
suru valley,DESTINATION,local traders,1
ladakh,ATTRACTIVE REGION,suru valley below panikhar,1
great himalaya,HEAVY SNOWFALL,water abundant enough to irrigate,1
rangdum,SOCIALLY AND CULTURALLY PART OF,zanskar,1
suru valley,ENTIRELY MUSLIM AS FAR AS,parkachik,1
julidok,VILLAGE TO SERVICE THE GOMPA THERE,rangdum,1
zanskar range,HAS_SUMMITS_AT,5500 to 6400 metres,1
stok kangri,IS_PART_OF,ladakh,1
indus valley,FORMS_BACKBONE_OF,ladakh,1
upshi and khaltse,DEFINE_POINTS_OF_ENTRY_INTO,ladakh,1
punjab and kashmir,ROUTES_DEBOUCH_FROM,upshi and khaltse,1
indus river,FLOWS_ALONG_FOOT_OF,northern flank of the ladakh range,1
hanle river,CONFLUENCE_WITH,indus river,1
pang-gong range,RUNS_PARALLEL_TO,ladakh range,1
tangtse river,DIVIDES_FROM,main range and pang-gong range,1
shayok river,FLOWS_INTO,pang-gong lake,1
chip-chap stream,RISES_BELOW,karakoram pass,1
"south rimo, chong kum-dan, kichik kumdan (or thangman), and ak tash",MAIN GLACIERS_MELT_INTO,shayok river,1
nubra,PLAYS_SIMILAR_TRICK_LIKE,shayok river,1
shayok,MEANDER,river,1
baitistan,MEET,indus at keris,1
nubra,COMPRISE,valley of the shayok and nubra itself,1
"deskit, hundar, tirit, tigur, sumur and panamik",HAVE,large and pretty villages,1
panamik,BE,twenty-one kilometres up the nubra,1
nubra,IRRIGATE,dense natural growth of hippophae (seabuckthorn),1
kar-koram,BOAST,highest peaks in the world outside the nepal himalaya,1
ladakh karakoram,NOT BE,in the same league as the karakoram,1
saltoro ridge,BE,scene of the highest artillery battle the world has ever seen,1
india and pakistan,WELCOME,trekking and mountaineering expeditions to the adjoining massifs,1
saser mustagh,RISE,7672 metres,1
ladakh,HAS_RANGE,ladakh range,1
indus,FLOWS_THROUGH,valley,1
chang-thang,IS_KNOWN_AS,northern plain,1
tibet,CONTAINS,chang-thang,1
pang-gong lake,LOCATED_AT_HEIGHT_OF,4300 metres,1
pang-gong lake,EXTENDS_FAR_ACROSS_BORDER_INTO,tibet,1
changchenmo range,SEPARATES,valley of the changchenmo river,1
changchenmo river,IS_MAJOR_TRIBUTARY_OF,upper shayok,1
lingzithang and aksai chin,FORM_COMPLEX_OF_ELEVATED_DRAINAGE_SYSTEMS_BETWEEN,changchenmo and galwan rivers,1
karakash,FLOWS_NORTHWARDS_INTO,sinkiang,1
chinese,HAVE_BEEN_IN_DE_FACTO_POSSESSION_OF,aksai chin since mid-1950s,1
pang-gon lake,ALONG_SOUTHERN_SHORE,tiny villages,1
chang-pa herdspeople,STAY_IN_SUMMER_TO_CULTIVATE_SCANTY_CROP_OF,barley,1
chang-pa herdspeople,TAKE_TO_THEIR_TENTS_IN_WINTER_TO_GRAZE THEIR_FLOCKS_OF,sheep and pashmina goats,1
ladakh,RAIN,more,1
rupshu,TOPOGRAPHY,similar,1
karzok,SETTLEMENT,permanent,1
tso-moriri lake,LOCATION,4500 metres,1
tso-moriri lake,WATERBODY,brackish,1
hanle,LOCATION,river of the same name,1
great himalaya,EFFECT,rain-shadow,1
indian monsoon,ENTRY,denied,1
winter snowfall,SOURCE,water,1
ladakh,PERCEPTION,increasing rainfall,1
ladakh,CLIMATE,moister and milder,1
glaciers,TENDENCY,retreat,1
himalaya and the karakoram,PHENOMENON,global warming,1
ladakh,BE,a desert,1
evaporation from extensive lakes and rivers,BE A MAJOR DETERMINANT OF THE REGION'S CLIMATE,rainfall,1
natural irrigation,CLOTHE,valleys and lower mountain slopes with vegetation,1
water,BE ALL THAT IS LACKING TO MAKE EVEN THESE POOR MOUNTAIN SOILS FERTILE,fertile,1
hillsides,BE COVERED WITH A CARPET OF LOW CREEPING PLANTS,low creeping plants,1
local population,NOURISH THEIR LIVESTOCK AND PROVIDE THEM WITH FUEL FOR THE WINTER,livestock and fuel,1
watercourse,CLING A STRIP OF NATURAL OR CULTIVATED VEGETATION,vegetation,1
oases of ladakh,BE CHARACTERIZED AS SPOTS MADE FERTILE BY THE AVAILABILITY OF WATER,spots,1
great himalaya,FLANK,regions,1
dras,EXPERIENCE,heavy snowfall,1
suru valley,EXPERIENCE,heavy snowfall,1
zanskar,EXPERIENCE,heavy snowfall,1
ladakh,BE CUT OFF FROM,rest of the country,1
valleys of central ladakh,RECEIVE,minimal precipitation,1
nubra,RECEIVE,minimal precipitation,1
rupshu,RECEIVE,minimal precipitation,1
leh,NEED,sun to shine,1
crops,IRRIGATE,fields,1
autumn,APPROACH,rapidly,1
khaltse,HARVEST,grim (naked barley),1
leh,SOW,crops,1
khaltse,HARVEST,"buckwheat, turnips, or other vegetables",1
karzok,LIMIT OF CULTIVATION,tso-moriri lake,1
zanskar,HAVE,space and light,1
suru,HAVE,pretty and relatively lush,1
mulbekh,SMILE,homely,1
bodh kharbu,BE FORBIDDING,openness,1
nubra,HAVE,thorn thickets and hedged fields,1
central ladakh,BE FULL OF,history,1
rupshu,BE,"open, rolling landscape with fierce winds",1
pang-gong lake,SURROUND,snowy mountains,1
chang-pa,INHABIT,rupshu and pang-gong lake,1
indus,FLOW,khaltse to leh,1
upper suru valley,SHOW,layers of sediment,1
zanskar range,BE SCULPTED,layers of sediment,1
mountain slopes,GIVE SUBSISTENCE TO,sparse populations of wild sheep and goats,1
alpine pastures,BE,summer destination of the transhumant bakarwals,1
landscape,BE,uncompromising,1
soil,LEAVE,untilled,1
rivers,BECOME,crystal clear,1
lakes,GLEAM,sapphire blue,1
hills,SET,bare hills,1
mountains,STRETCH,away,1
ridges,REVEAL,contours,1
sun,THROW,relief,1
zanskar range,STRIKE,south-east-to-north-west,1
bush,COVER,blooms,1
tamarisk bushes,GROW,flowers,1
iris,GROW,clumps,1
apricot trees,PRODUCE,blossoms,1
land,HAVE,wilderness,1
earth,PROTRUDE,through mantle,1
structure,SHOW,purity,1
oasis,HAVE,village,1
houses,BLEND,landscape,1
ladakh,HAS,wildlife,1
namgyal peak,STANDS,namgyal tsemo temple,1
leh,IS DOMINATED BY,palace,1
ladakhis,COMPLETE,picture,1
ladakh,WAS OPENED TO,visitors and other influences from outside,1
earlier generations,IMAGINED,"simple, cheerful, honest mountain folk",1
himalaya,HAS,variety of animal and bird life,1
ladakh,IS HOME TO,species that is quite remarkable,1
snow-leopard,MAY BE TAKEN AS,flagship species of trans-himalaya,1
great himalaya,FORMS A DIVIDING LINE BETWEEN,indian subcontinent and the rest of eurasian landmass to the north,1
ladakh,HAS MORE IN COMMON WITH,"tibet, central asia and mongolia than with india",1
hoopoe,IS A CONSPICUOUS EXAMPLE OF,migratory birds,1
indian redstart,IS SMALLER AND LESS EASY TO SPOT,migratory birds,1
this too,NEST,the tibetan plateau,1
other migratory birds,BREED,ladakh,1
the brahmini duck (ruddy sheldrake),NEST,rupshu,1
the barheaded goose,NEST,rupshu,1
the great crested grebe,NEST,rupshu,1
chushul,HAVE,extensive marshes,1
hanle,HAVE,extensive marshes,1
the tibetan or black-necked crane,BE OBSERVED,1976,1
the army,COMMIT TO PROTECTING,wildlife,1
migratory species,FALL INTO TWO CATEGORIES,high-altitude birds and desert birds,1
the black-necked crane,BE A HIGH-ALTITUDE BIRD,with a short migration range,1
the tibetan raven,BE AN EXAMPLE OF THE FIRST,high-altitude birds,1
the red-billed chough,BE AN EXAMPLE OF THE FIRST,high-altitude birds,1
the bactrian or white-rumped magpie,BE AN EXAMPLE OF THE FIRST,high-altitude birds,1
the snow-cock,BE AN EXAMPLE OF THE FIRST,high-altitude birds,1
the chukor or mountain partridge,BE AN EXAMPLE OF THE FIRST,high-altitude birds,1
the sand grouse,BE A CHARACTERISTICALLY DESERT BIRD,desert birds,1
the sand plover,BE A CHARACTERISTICALLY DESERT BIRD,desert birds,1
the desert wheatear,BE A CHARACTERISTICALLY DESERT BIRD,desert birds,1
the horned lark and twite,BE A CHARACTERISTICALLY DESERT BIRD,desert birds,1
the sparrow,BE SEEN IN THE WINTER OUT,leh,1
the crow,BE SEEN IN THE WINTER OUT,leh,1
the magpie,BE SEEN IN THE WINTER OUT,leh,1
the grey tit,BE SEEN IN THE WINTER OUT,leh,1
the ibisbill,BE SEEN IN THE WINTER OUT,leh,1
flocks of hill pigeons,DESCEND TO LOWER AREAS,ladakh in winter,1
black-necked crane,/BIOLOGY/PLANT,endangered list,1
bar-headed goose,/BIOLOGY/PLANT,endangered list,1
golden eagle,/BIOLOGY/PLANT,endangered list,1
tibetan sandgrouse,/BIOLOGY/PLANT,endangered list,1
tibetan partridge,/BIOLOGY/PLANT,endangered list,1
tibetan snow-cock,/BIOLOGY/PLANT,endangered list,1
chukor,/BIOLOGY/PLANT,endangered list,1
bactrian magpie,/FASHION/GARMENT,characteristic bird,1
bird-watchers,/BUSINESS/CONSUMER_PRODUCT,reward,1
those interested in spotting animals,/BUSINESS/CONSUMER_PRODUCT,fortune,1
wildlife of ladakh’s mountains,/EVENT/DISASTER_TYPE,havoc,1
big mammals of ladakh,/ECONOMY/LIVESTOCK,endangered list,1
sahibs,/BUSINESS/BUSINESS_LOCATION,mid-nineteenth century,1
shapu,/BIOLOGY/PLANT,flocks,1
bharal,/BIOLOGY/PLANT,flocks,1
goa,/BIOLOGY/PLANT,tibetan gazelle,1
army,/GOVERNMENT/GOVERNMENTAL_JURISDICTION,remote borders with tibet and china,1
jammu and kashmir wildlife protection act,/BUSINESS/PRODUCT_LINE,1978,1
hemis high-altitude national park,ESTABLISHMENT,public policy,1
wild goats,FREQUENT,world's high mountains,1
himalayan ibex,REPRESENTATIVE,ladakh,1
bharal,INTERMEDIATE,goat and sheep,1
argali or nayan,CLOSE RELATION,marco polo sheep,1
bharal,FOUND,great himalaya,1
ibex,RANGE,"sutlej gorge westward along the zanskar chain and the northern flank of the great himalaya, and on into the hindu kush, the pamirs and the tien-shan.",1
brokpa,TRADITION OF HUNTING,ibex,1
modern 'sportsmen',INDISCRIMINATE SHOOTING,ibex,1
domestic livestock,COMPETITION,ibex,1
shapu,NICHE,"rather lower terrain, especially along river valleys",1
human settlement,PRESSURE,eliminate shapu from many areas it used to frequent,1
nayan,DISTRIBUTION,south-east ladakh and the adjoining part of spiti being its only known habitat,1
animals,PRODUCE,wool,1
tibetan antelope or chiru,PRODUCE,shahtoosh shawls,1
weavers of srinagar,MAKE,shahtoosh shawls,1
mughals,EXIST,times,1
explorers in western tibet,RECORD,presence of chiru,1
theodore and kermit roosevelt,MAKE,journey,1
chiru,MIGRATE,routes,1
chang-pa,TRAP,chiru,1
chinese army,OCCUPY,aksai chin,1
