Source,Relation,Target,Weight
the road,PASSES_UNDER,the military station of sabathu,1
sabathu,OCCUPIES_THE_CREST_OF_THE_RIDGE,immediately to the east of the little river,1
the road,TURNS_TO_THE_RIGHT,round the projecting ridge of the range,1
the valley of the gambar river,CROSSED_BY,a good suspension bridge,1
the road,ASCENDS_BY_A_STEEP_AND_LABORIOUS_PATH,to haripur,1
haripur,IS_A_SMALL_VILLAGE,about 500 feet above the bed of the river,1
the gambar river,FLOWS_THROUGH,a narrow rocky ravine,1
the road,FOLLOWS_THE_RIDGE_PARALLEL_TO_THE_RIVER,nearly all the way to simla,1
the valley of the river gambar,MAY_BE_REGARDED_AS_AN_EXCELLENT_SPECIMEN_OF_A_SMALLER_HIMALAYAN_RIVER,"draining a large extent of country, and discharging its waters independently into the plains",1
this elevation,ELEVATION,2000 feet,1
the basin,ELEVATION,3500 feet,1
the hills,VEGETATION,tropical,1
the vegetation,APPEARANCE,low hills on the exterior of the himalaya,1
this climate,DRYNESS,greater part of the year,1
the surrounding mountain ranges,ATTRACTION,rain-clouds,1
the shady ravines north of kussowlee,FORESTATION,species of laurel,1
on the more exposed hills,OCCURRENCE,falconeria insignis and euphorbia pentagona,1
in the village of haripur,OCCURRENCE,ægle marmelos,1
the most common shrubs,TYPES,"adhatoda vasica, carissa, and zizyphus jujuba",1
the slopes between haripur and sairi,ABUNDANCE,plectranthus rugosus and meriandra strobilifera,1
the extreme drought in may,DRYNESS,all smaller plants,1
valley,BE,temperate flora,1
shady slopes,BE,small patches of brushwood,1
brushwood,CONTAIN,"species of berberis, rubus, spiræa, etc.",1
herbaceous species,OCCUR,forms common at simla,1
shrubby vegetation,EXTEND,under its shelter,1
small plants,GROW,which are now destroyed by the scorching heat of the sun,1
plants,CHARACTERIZE,temperate vegetation of the himalaya,1
european plants,MAKE THEIR APPEARANCE,in corn-fields and along the banks of water-courses,1
veronica anagallis,OCCUR,in corn-fields and along the banks of water-courses,1
anagallis,OCCUR,in corn-fields and along the banks of water-courses,1
medicago,OCCUR,in corn-fields and along the banks of water-courses,1
melilotus,OCCUR,in corn-fields and along the banks of water-courses,1
potentilla supina,OCCUR,in corn-fields and along the banks of water-courses,1
juncus bufonius,OCCUR,in corn-fields and along the banks of water-courses,1
arenaria serpyllifolia,OCCUR,in corn-fields and along the banks of water-courses,1
heliotropium europæum,OCCUR,in corn-fields and along the banks of water-courses,1
thalictrum,OCCUR,"in the valley of the gambar, at elevations not exceeding 3000 feet",1
fragaria,OCCUR,"in the valley of the gambar, at elevations not exceeding 3000 feet",1
rosa,OCCUR,"in the valley of the gambar, at elevations not exceeding 3000 feet",1
rubus,OCCUR,"in the valley of the gambar, at elevations not exceeding 3000 feet",1
berberis,OCCUR,"in the valley of the gambar, at elevations not exceeding 3000 feet",1
the ridge,RUNS FROM,haripur to sairi,1
the jutog spur,IS NEARLY NORTH OF,simla,1
the main south sutlej chain,GIVES OFF,the ridge,1
the road,LEAVES,it on the left hand,1
the road,DESCENDS INTO,a small stony ravine,1
the road,MOUNTS ABRUPTLY,a very steep spur,1
simla,WAS ORIGINALLY SELECTED AS A SANATARIUM,"for the servants of government, or other europeans",1
simla,HAS BECOME A PLACE OF GREAT IMPORTANCE,in consequence of the political state of north-western india,1
simla,CONTAINS NEARLY 400 HOUSES,scattered along the crest of different mountain ranges,1
the main range,RISES TO A HEIGHT OF,8100 feet,1
simla,EXTENDS ALMOST FOUR MILES,along the northern ridge,1
the mountain range,SUDDENLY ELEVATES AT THE PLACE WHERE SIMLA HAS BEEN BUILT,there is a most complete and surprising change in the vegetation and general appearance of the scenery,1
simla,HAS_FOREST,oak and rhododendron,1
the station,IS_LOCATED_ON,ridge,1
ridge,IS_PART_OF,mountain range,1
pinus longifolia,IS_COMMON_IN,dry sunny spurs,1
pinus longifolia,IS_ABLE_TO_ENDURE,heat and moisture variation,1
pinus longifolia,SELECTS,sunnier and warmer exposures,1
pinus excelsa,IS_COMMON_IN,southern face of mount jako,1
abies smithiana,IS_EXCEEDINGLY_RARE_IN,shady ravine facing the west,1
deodar,IS_COMMON_ON,southern and western slopes of jako,1
simla,COMMENCES,june,1
simla,RAIN-FALL,22 simla,1
ranges of 7-8000 feet,ATTRACT,moisture,1
peak of jako and other parts of simla,COVERED WITH,dense clouds or mist,1
simla,SIGNAL FOR THE APPEARANCE,vigorous and luxuriant growth of plants,1
simla,FIND,"numerous species of balsams, acanthaceæ, orchideæ, and labiatæ",1
simla,HAVE,many grasses and cyperaceæ,1
simla,BELONG TO,orders whose maxima occur in very humid climates,1
labiatæ of the rainy season,MOSTLY SPECIES OF,plectranthus and elsholtzia,1
balsams,ABOUND IN,humid shady places,1
simla,POSSESS,position on a part of the mountain range,1
jako,HAS_VIEW,himalaya,1
jako,IS_PART_OF,mountain,1
spurs and ridges,ARE_COVERED_WITH,scattered houses,1
ravines,TERMINATE,steep slopes,1
gambar valley,IS_SEEN_FROM,peak of jako,1
sabathu and kussowlee,ARE_STATIONS_IN,valley of the gambar,1
church and esplanade,ARE_PART_OF,sabathu,1
kussowlee houses,SPARKLE_IN,sunbeams,1
sutlej river,IS_TRACEABLE_FROM,peak of jako,1
simla valley,STRETCHES_TO,sutlej river,1
ridge,RUNS_PARALLEL_TO,simla valley,1
mahasu ridge,LIES_DUE_EAST_OF,peak of jako,1
chor mountain,IS_ACROSS_VALLEY_OF_THE_GIRI_FROM,peak of jako,1
cunningham,TO BE,fellow-travellers,1
captain henry strachey,TO BE,my fellow-travellers,1
the former,HAVING BEEN APPOINTED,head of the mission,1
i,TOOK ADVANTAGE OF,this delay,1
the necessary preparations,OCCUPIED,a good deal of time,1
the commencement 26 of the rainy season,RENDERED,"travelling difficult, and even out-of-door exercise unpleasant",1
i,HAVE ALREADY ATTEMPTED TO CONVEY AN IDEA OF,the general physical aspect of the scenery,1
the scenery,APPEARS VERY SIMPLE,after a short residence has made one familiar with the structure of the ridges,1
the spectator,LOOKS INTO,two of the immense basins,1
the himalaya,IS DIVIDED BY,transverse ranges running parallel to the great rivers,1
each ridge,"BEING CAPABLE OF BEING REFERRED TO ITS PARENT, AND THAT IN ITS TURN TO A BRANCH OF THE MAIN CHAIN",a definite shape,1
the main range,"IS GENERALLY MORE ELEVATED THAN ITS BRANCHES, AND THAT EACH CHAIN","diminishes in elevation, each peak being lower than its predecessor",1
nowhere,IS THERE THE LEAST APPROACH TO A SYSTEM OF PARALLEL RIDGES,such as is indicated by the distant view of these mountains,1
the great ranges,"ARE, THOUGH VERY IRREGULARLY, PERPENDICULAR TO THE GENERAL DIRECTION OF THE MOUNTAIN MASS, AND THAT IT IS ONLY THE SHORTER SPURS WHICH HAVE A GENERAL UNIFORMITY OF DIRECTION",nothing,1
humboldt,ENTERTAINED,the view of the sudden elevation of the himalaya out of a vast fissure in the external crust of the earth,1
i,"FOUND IT, ON THE SPOT, QUITE IMPOSSIBLE TO CONCEIVE IN WHAT WAY",any power in the least analogous to existing forces could have excavated out of the solid rock those numerous valleys,1
these mountains,HAVE EMERGED EXTREMELY GRADUALLY FROM AN OCEAN,nothing,1
coast of norway,RESEMBLANCE,present day,1
geological structure of himalaya,FOUNDATIONS,clay-slate,1
tertiary formations,EXTENSION,along the base of mountains,1
rocks in neighbourhood of sabathu,AGE,same as tertiary epoch,1
mahasu ridge,NEIGHBOURHOOD,pine forest,1
nagkanda,ASCENT,hattu,1
pine and oak forest,VEGETATION,summit of mountain,1
major cunningham,LEAVING,simla,1
captain strachey,ACCOMPANYING,major cunningham,1
fagu,LOCATION,british territory,1
these houses,CONVENIENCE,tourists,1
the road from simla to fagu,FOLLOWS,the course of the main range,1
the ridge,CONTINUES,in a direction for nearly four miles,1
cupressus torulosa,FOUND,major madden on shali,1
the road,ASCENDS,the steep face of the ridge,1
shali,LOCATION,sutlej valley,1
mahasu ridge,ELEVATION,8000 feet,1
mahasu ridge,RISE,at least 9000 feet,1
p. excelsa,ABUNDANCE,forest,1
abies smithiana,ABUNDANCE,forest,1
deodar,ABUNDANCE,slope,1
sycamore,INTERMIX,pines,1
cherry,RELIEVE,foliage,1
climbing vine,ADD ELEGANCE,scene,1
griffith,EXPRESSION,true himalayan forest,1
captain herbert,STATEMENT,9200 feet,1
one of the first of these knolls,CONTAINS,a small wooden shrine or temple,1
the top of a mountain,IS SELECTED AS A PROPER SPOT FOR,the erection of a sacred building,1
indian mountaineers,HAVE SUPERSTITION THAT EVERY HILL AND GROVE IS TENANTED BY,supernatural beings,1
mahasu,HAS STEEP ASCENT ON THE NORTHERN SHOULDER,"from 8000 feet, and even lower, to above 9000 feet",1
the steepest slopes,ARE PREFERRED FOR THIS PURPOSE IF THEY HAVE ONLY A SUFFICIENCY OF,soil,1
potatoes,"ARE PLANTED IN ROWS IN MAY AND EARLY IN JUNE, WHEN THE PLANTS HAVE ATTAINED A HEIGHT OF A FEW INCHES",the soil is earthed up round their stems in low ridges,1
the potatoes,ARE DUG AND READY FOR MARKET BY THE MIDDLE OF OCTOBER OR AFTER THE CLOSE OF THE RAINS,supplying not only the station of simla but being despatched in great quantities to the plains of india,1
mahasu ridge,HAS A FEW TREES OF QUERCUS SEMICARPIFOLIA AND PICEA WEBBIANA OR PINDROW,abundant in the forests of the interior,1
these trees,MAY BE ADOPTED AS THE CHARACTERISTICS OF THE SUBALPINE ZONE,in every part of which from 9000 to about 12000 feet which is the highest limit of tree vegetation in the western himalaya,1
mahasu,HAS A DESCENT FROM THE TOP TO THE FAGU BUNGALOW,at first abrupt the road leaving the ridge to enter the forest on the northern face,1
the bungalow of fagu,HAS BEEN BUILT AT AN ELEVATION OF 8200 FEET,at the very base of the steep mountain ridge behind,1
fagu,LOCATION_OF,valley of the river giri,1
ridge,ELEVATION_RANGE,7500-9000 feet,1
fagu,SITUATED_ABOVE,valley of the river giri,1
massuri,LOCATION_REACHED_BY_ROAD,across the jumnetic valleys,1
theog,LOCATION_REACHED_BY_ROAD,nearly eight miles from fagu,1
rana,BELONGING_TO,hill chieftain,1
fields,CULTIVATION_OF,barley,1
the highest part of the road,HAS AN ELEVATION OF,about 9000 feet,1
the northern face of this hill,IS PRETTILY WOODED WITH,holly-leaved oak,1
this little hill,"SWEEPS ROUND TO THE LEFT IN A SEMICIRCLE, ASCENDING VERY GRADUALLY AND GENTLY",to a low ridge,1
the crest of which,COMES INTO SIGHT,the bungalow of mattiana,1
mattiana,LOCATION,ravine,1
temperate region,HABITAT,holly-leaved oak,1
andromeda,SPECIES,tree,1
rhododendron,SPECIES,tree,1
pinus excelsa,SPECIES,tree,1
acacia,SPECIES,tree,1
albizzia julibrissin,SPECIES,plant,1
laurel,SPECIES,tree,1
olive,SPECIES,tree,1
rhus,SPECIES,tree,1
toon (cedrela toona),SPECIES,tree,1
caragana,SPECIES,plant,1
leguminous genus,CATEGORY,plant,1
ciliata,SPECIES,tree,1
benthamia fragifera,SPECIES,tree,1
yew,SPECIES,tree,1
european yew,SPECIES,tree,1
valley,LOCATION,simla,1
road,ROUTE,ravine,1
villages,SETTLEMENT,hillsides,1
apricot trees,CULTIVATION,valley,1
bears,PREY,apricots,1
rain-fall,DECREASE,elevation,1
hazelnut tree,SPECIES,tree,1
lappa,SPECIES,plant,1
achillea,SPECIES,plant,1
leonurus,SPECIES,plant,1
cheiranthus,SPECIES,plant,1
rumex acetosa,SPECIES,plant,1
polygonum,SPECIES,plant,1
nagkanda bungalow,IS SITUATED,on a depression of the main range,1
the ridge to the west,IS ELEVATED,"little more than 10,000 feet",1
hattu,RISES TO A HEIGHT OF,"10,674 feet",1
the valley of the sutlej,IS,3000 feet above the level of the sea,1
nagkanda stands,IS OCCUPIED BY A VERY DEEP VALLEY,dense forest,1
pindrow,COVERS THE SIDES OF,the deep receding bay which runs up nearly to the top of hattu,1
captain strachey's barometers,WERE USED TO VERIFY THEIR ACCURACY BY,the trigonometrically determined height of this mountain,1
hattu,RISE,peak,1
ridge,RISE,point,1
giri river,SOURCE,ravine,1
hattu,CONTAIN,remains of a square building,1
building,BE,sort of fort,1
building,HAVE,want of water,1
interior of building,BE FILLED WITH,"wilderness of hemp, nettles, galium aparine, dock and other coarse plants",1
summit of hattu,COVER,"luxuriant herbage of potentillæ, labiatæ, gentianaceæ, epilobium, polygonum, and anemone",1
forest,RISE,base of the cliffs on the western face,1
mountain bamboo,ADORN,rocky hollows close to the summit,1
view from top of hattu,OVERLOOK,peaks in the immediate vicinity,1
the sun,INFLUENCE,the atmosphere,1
strong winds,ACT,drying the atmosphere,1
hattu,HAVE,luxuriant vegetation,1
open glades of the forest,FILLED WITH,"tall balsams, acanthaceæ, dipsacus, compositæ, and calimeris",1
pine-forest,HAS,a graceful little bamboo,1
currant of the mahasu ridge,BE COMMON WITH,many shrubs,1
ridge close to nagkanda,HAVE,fewer peculiar plants,1
southern slopes of this ridge,HAVE,considerable patches of cultivation,1
simla flora,RESEMBLE,the ridge close to nagkanda,1
nagkanda bungalow,BE AT AN ELEVATION OF,9500 feet,1
loads,ARRIVE AT,nagkanda on the evening of the 5th of august,1
spur,RUN FROM,immediately west of the bungalow directly towards the river,1
forest,HAVE,"large pines, p. excelsa and spruce (abies smithiana), sycamore, cherry, and corylus lacera",1
rhododendron arboreum,COMMENCED,about 1000 feet below nagkanda,1
holly-leaved oak,FOLLOWED,soon by q.,1
q.,FOUND,a little lower by the road,1
road,LEAVES,the crest of the ridge,1
ridge,CONTINUES,"in a northerly direction, partly bare and partly pine-clad",1
stream,CROSSED,within a very short distance of one another at an elevation of about 5500 feet,1
forest,DENSE,along the banks of these streams,1
lauraceæ,PREVAILING,trees,1
horse-chesnut,FOUND,in this part of the himalaya,1
alder,COMMON,at 4-5000 feet in the north-western himalaya,1
hydrangea,TWINING,round the trunks of trees,1
calanthe,OBSERVED,in this shady forest,1
adenocaulon,ABUNDANCE OF,found in this ravine,1
balanophora,MET WITH,in the thickest part of the forest,1
the dense forest,PREVENTS,radiation,1
winter,DETERMINES,cessation of forms characteristic of the eastern himalaya,1
gerard,COMMANDED A DETACHMENT,in these mountains,1
captain gerard's house,IS ELEVATED,several hundred feet above the village of kotgarh,1
the river sutlej,IS VISIBLE FROM,the front of captain gerard's house,1
the rapid stream,WAS DISTINCTLY AUDIBLE,"from captain gerard's house, 4000 feet above it",1
the pine-forest,ACCOMPANIED US DOWN THE STEEP HILL-SIDE,from our night quarters to the village of kotgarh,1
simla,HAS FEATURES IDENTICAL WITH,the shrubby and herbaceous vegetation in the hills,1
it,GROWS,luxuriantly,1
the plant,HAS,large deltoid leaves,1
the seeds,ARE PRODUCED,on all the upper part of the plant,1
the road,DESCENDS,to the sutlej,1
quercus incana,DISAPPEARS,just at the point where,1
wood,ASSISTS,the rapidity of the change,1
the vegetation,BECOMES,subtropical,1
mollugo,IS A SPECIES OF,weeds,1
polanisia,IS A SPECIES OF,weeds,1
corchorus,IS A SPECIES OF,weeds,1
leucas,IS A SPECIES OF,weeds,1
euphorbia,IS A SPECIES OF,weeds,1
microrhynchus,IS A SPECIES OF,weeds,1
the valley,OCCUPIES,a flat piece of land overhanging the river,1
rice-fields,ARE EXTENSIVE,in the neighbourhood,1
tropical trees,ARE FOUND,in the grove,1
nirt or nirat,IS A VILLAGE,six or seven miles away,1
rampur,IS THE CAPITAL,of basehir,1
basehir,IS AN INDEPENDENT HILL STATE,governed by a rajah,1
the sutlej valley,HAS AN ELEVATION OF,little more than 3000 feet,1
river,BE_AT,season,1
river,BE_OF_SIZE,great size,1
river,BE_VARIABLE_IN,breadth,1
river,FOAM_ALONG,stony bed,1
river,HAVE_ROCKY_BANKS,precipitous rocky banks,1
river,BE_MUDDY,rainy season,1
river,DEPOSIT_MUD,tranquil parts of its course,1
valley,BE_NARROW,steep bare hills,1
valley,BE_DEVOID_OF_TREES,none,1
bays,CONTAIN_HARD_CONGLOMERATE_ROCK,very recent origin,1
road,FOLLOW,course of the river,1
road,RISE,200-300 feet,1
village,EXIST,small village,1
valley,BE_UTTERLY_STERILE,none,1
sutlej valley,HAVE_CURIOUS_MIXTURE_OF_VEGETATION,ordinary vegetation of the plains and mountainous nature of the country,1
mountain_ranges,INTERCEPT_RAIN,good deal of rain,1
sutlej valley,HAVE_DRIER_CLIMATE_THAN,valleys at the base of the himalaya,1
pinjor valley,BE_COMPARABLE_TO,sutlej valley,1
shrubs_of_sutlej,EXIST_AT_HEIGHT_OF,3000 feet,1
flacourtia sepiaria,BE,plant,1
capparis sepiaria,BE,plant,1
calotropis,BE,plant,1
caper,BE,new form,1
zizyphus,BE,new form,1
herbaceous vegetation,CONSIST OF,species,1
mountain plants,OCCUR OCCASIONALLY,in valleys,1
berberry,BE,plant,1
bramble,BE,plant,1
plectranthus rugosus,BE,shrub,1
melissa umbrosa,BE,plant,1
micromeria biflora,BE,plant,1
geranium,BE,plant,1
ajuga parviflora,BE,plant,1
galium,BE,plant,1
senecio,BE,plant,1
aplotaxis candicans,BE,plant,1
umbelliferæ,BE,plants,1
eriophorum,BE,common plant,1
rampur,BE,town,1
tibet,HAVE TRADE WITH,rampur,1
shawl wool,BE TRADED,with tibet,1
white soft shawl-cloths,BE MANUFACTURED,in rampur,1
river sutlej,CROSSED BY,rope suspension-bridge,1
captain gerard,MEASURE THE WIDTH OF,sutlej,1
major cunningham,DIRECT ATTENTION TO THE ALTERATION OF THE LEVEL OF,river sutlej,1
snows,FEED THE RIVER SUTLEJ,by solar action,1
the road,KEPT PARALLEL TO,the river,1
the sutlej,WAS TOO ROCKY AND PRECIPITOUS,to allow of a passage,1
the 56 river-bank,BECAME SO RUGGED AND DIFFICULT,that the road left it,1
the road,LEFT THE SUTLEJ,to ascend a long ridge,1
the early part of the road,WAS STRIKING,due to views of the river rushing over its rocky bed,1
the road,OVERHUNG THE RIVER,which ran through a narrow rocky ravine many hundred feet below,1
the river,FORMERLY FLOWED OVER HIGHER LEVELS,as indicated by curious excavations on the rocky surface,1
the large water-worn boulders,CONVEYED THE CONVICTION,that we were walking over an ancient river-bed,1
three miles from rampur,BEGAN TO ASCEND A LONG SPUR IN A SOUTH-EAST DIRECTION,the road,1
the course of the river,"COULD BE SEEN ON THE LEFT AMONG PRECIPITOUS ROCKS, QUITE IMPRACTICABLE",to us,1
the ascent,WAS THROUGH A WELL-CULTIVATED TRACT,with fields of rice and numerous fruit-trees,1
the road,ASCENDED RAPIDLY,through villages with numerous fruit-trees,1
the vegetation,CONTINUED THE SAME AS IN THE VALLEY,on the hills,1
the hill and lower slopes,"BEING COVERED WITH FIELDS OF RICE, STILL ONLY A FEW INCHES HIGH",base of the hill,1
the road,ENTERED A WOOD OF SCATTERED FIRS,mixed after a little with common oak,1
the steep lateral spur,JOINED THE RIDGE,and the road turned to the eastward,1
the sutlej,"WAS WELL SEEN, RUNNING AMONG BARE ROCKY HILLS",on the upper parts of the steep slopes,1
it,ASCEND,a height,1
it,PROCEED,to a considerable distance south,1
our object,KEEP,along the river as nearly as possible,1
the road,LEAVE,the banks of the sutlej,1
we,FIND,that the road again began to descend,1
the hill-side,BE,"bare, or only clothed with scattered pine-wood",1
the slopes,BECOME,well wooded with rhododendron and oak,1
the descent,COMMENCE,the sutlej,1
the lower part of the descent,BE,"principally alder, and a few subtropical grasses and cyperaceæ",1
we,CROSS,the ravine,1
the road,ASCEND,a well-wooded slope,1
gaora,BE SITUATED,about 3000 feet above rampur,1
our encampment,ELEVATE,not more than 5500 feet,1
we,RESUME,our journey,1
the spur,ASCEND,well wooded with the ordinary trees of the temperate zone of the himalaya,1
the forest,CHANGE,its character,1
the road,CONTINUE,for four or five miles,1
the forest,CEASE,and the road... descend abruptly,1
the manglâd river,BE,"a considerable stream, now swollen into a furious torrent",1
melia azedarach,OCCUR,apparently wild in the bottom of the glen,1
i,NOTICE,this tree occasionally in the interior of the himalaya,1
the tree,BE,invariably in the drier valleys of the mountains,1
hippophaë conferta,OCCUR,"near a spring, and a few hundred feet higher",1
serahan,BE,pleasantly situated at an elevation of 7000 feet above the level of the sea,1
the basehir rajah,RESIDE,in serahan as his summer residence,1
the mountain range,SURROUND,serahan on all sides by pine-forest,1
kotgarh,HAVE NOTED AT,plants of the same kind,1
we,FIND,"an empty house capable of sheltering our servants and baggage, as well as ourselves",1
edgeworth,DESCRIBE,oxybaphus himalayanus as a species,1
tranda,LOCATION,mountain-side,1
forest,CHARACTERISTIC,"oak, deodar and spruce",1
valleys,VIEW,well-wooded valleys below,1
ridges,DISTANCE,north of the sutlej,1
sutlej,LOCATION,"river, ravine",1
tranda ridge,ELEVATION,8000 feet,1
kunawar,LOCATION,valley to the eastward,1
wangtu bridge,LOCATION,lower kunawar,1
nachar,LOCATED_ON,sutlej,1
kunawar,EXTENDS_TO,both sides of the river,1
kulu,OCCUPIED,northern bank,1
villages on the north side of the sutlej,CONNECTED_WITH,district opposite to them,1
punjab,TRANSFERRED_TO,british rule,1
sutlej,NO_LONGER_SERVED_AS_BOUNDARY,between hostile states,1
north side of the river,MORE_POPULOUS_AND_FERTILE_THAN,south side of the river,1
main road or highway through kunawar,CROSSES_TO,right bank of the sutlej,1
fruit-trees,OBSERVED,many,1
horse-chesnut trees,OBSERVED,a few,1
"deodar, spruce, or pine trees",OBSERVED,occasionally,1
bridge,THROWN_ACROSS,sutlej river,1
captain gerard,DETERMINED,elevation of the sutlej river,1
the pier of the bridge,FORMED BY,an isolated rock,1
the ancient bed of the river,BLOCKED UP BY,a fall of rocks from above,1
the isolated rock,STOOD AS AN ISLAND IN THE CENTRE OF,the stream,1
