Source,Relation,Target,Weight,Evidence,Confidence
islam bai,supplies,"sugar, tea, stearine candles, petroleum, leather trunks, saddles, and so forth",1,"He was all the time busy organising the caravan and getting it ready to start, engaging servants, seeing after two tents being made, and laying in the requisite stores, such as sugar, tea, stearine candles, petroleum, leather trunks, saddles, and so forth.",0.8
colonel saitseff,governs,the district of osh,1,"He held the appointment of uyasdny natyalnik (district commissioner) of the district of Osh, ruling over a population of some 175,000...",0.8
colonel saitseff,administers,islam's salary,1,"I deposited his first year's salary with Colonel Saitseff, who agreed to pay over to his family 10 roubles every month.",0.8
pamir,connects_to,fort pamir,1,and then on further vid Kizil-art and Ak-baital to Fort Pamir.,0.8
osh,connects_to,russian outpost on the murghab,1,"You can now drive the whole of the way from Osh, and the Russian outpost on the Murghab is supplied with provisions and building materials by cart.",0.8
kulenkeh-tokai,connects_to,main river,1,"In an expansion of the valley known as Kulenkeh-tokai, we granted ourselves our first day's rest.",0.85
poplars,supplies,camp,1,"The bushy grove on the right bank of the river, in an expansion of the valley known as Kulenkeh-tokai, we granted ourselves our first day's rest.",0.75
horses,migrates_through,summer pastures,1,The horses were sent off to graze on certain yeylaus (summer pastures) in the neighbourhood.,0.8
camp,depends_on,packaging cases and baggage,1,"Shortly after striking camp on the following morning we crossed the river two or three times, but after that kept for the most part to the right bank.",0.7
talldik,connects_to,alai mountains,1,"we came to the foot of the real ascent. On the summit of the pass of Talldik, within an inclosed area, there stands a post...",0.9
tong-burun,connects_to,syr-daria,1,From this watershed the contour sloped all the way to Lop-nor.,0.8
shwa glen,depends_on,mountains,1,"After riding a short distance up the glen of Shwa on our right, we climbed the steep slope which overhung it.",0.7
kizil-su,connects_to,nura,1,"After their confluence, the united Nura and Kizil-su formed quite a respectable stream.",0.8
torpag-bel,connects_to,pass of torpag-bel,1,"The road led along the left side of the Kizil-su, and then through a narrow gorge up to the pass of Torpag-bel.",0.8
pamirs,connects_to,low hills and ridges of gravel-and-shingle,1,"The outliers of the Pamirs, amongst which we were now travelling, were everywhere diminishing in elevation, until finally they ended in low hills and ridges of gravel-and-shingle, seamed by trenches, gulleys, and erosive furrows.",0.8
kara-davan,connects_to,yeghin valley,1,"Thence crossing over the little pass of Kara-davan, we reached, at first by a steep descent, but afterwards by easier slopes, the broad, open valley of Yeghin.",0.8
horses,depends_on,ledges and gravel tongues,1,"by dint of letting his horse go where he liked, managed at last to find a firm ledge, which ran diagonally across the stream...",0.8
animals (horses),migrates_through,river (kizil-su),1,"...the heavily-laden horses struggling against the fierce energy of the current, for the ledge I have mentioned ran for the greater part of the way Fording the Kizil-su.",0.85
packages,exchanges_for,dryness (being tied up higher before entering the river),1,"Luckily we all got over without mishap, for the packages that were likely to suffer from wetting were tied up higher before the horses entered the river.",0.75
caravans,trades_with,camel-drivers and merchants (traveling to kashgar),1,...the shouts and singing of the camel-drivers more and more distinctly. And finally the riot died away amongst the mountains.,0.9
east turkestan,administers,chinese authorities,1,For each animal we had to pay to the Chinese authorities four shillings as a sort of market toll.,0.9
m. petrovsky,supplies,travellers,1,"Then a last greeting, a last farewell, and off we went to the dull, but significant, tingle-tingle of the camels' bells.",0.8
macartney,trades_with,caravan,1,"He appointed two durgaz (policemen), with instructions to see that the inhabitants of the city supplied the caravan with everything it needed- of course, in return for a handsome equivalent.",0.8
road,depends_on,water,1,For now the road was for long stretches under water...,0.85
canals,supplies,water for flooding rice fields,1,"The canals which bordered both sides of the road not only brought moisture to the roots of the trees, but also, by means of smaller irrigation rills, supplied water for flooding the rice fields.",0.9
villagers,exchanges_for,douceur,1,in the hope of getting a little douceur in return-a form of polite attention which in the long run is apt to become irksome.,0.8
merket,governs,"dao tai, or chinese procurator, of the province",1,"the beg of the place had got into trouble through it, having been summoned before the Dao Tai, or Chinese Procurator, of the province",0.8
lailik,connects_to,river,1,"Accordingly we got out and dragged our little craft across the tongue of soft, tenacious clay, yellow or bluish-black in colour, which separated the river from its lateral branch.",0.9
the boat,depends_on,"sound, rough-hewn planks",1,"The boat which Islam had picked out was a first-rate affair, newly built of sound, rough-hewn planks...",0.8
"hakirn, the beg of merket",supplies,close upon a hundred men,1,"Our Building-slip. requisitioned close upon a hundred men, who came with their spades...",0.8
lailik,connects_to,the river,1,...move the craft down the river to a point on the right bank immediately opposite our camp...,0.8
the yarkand-daria,connects_to,chahr-bagh,1,At the same time the Yarkand-daria itself took a more easterly course towards Chahr-bagh...,0.9
the river,connects_to,the boat,1,"I could see through them, namely, the river behind us and its right bank at the side;",0.8
the samovar,supplies,clean water,1,"When the samovar was full, I shut off the supply by a clamp round the tube;",0.9
ferry-boat,connects_to,river,1,The ferry-boat had been brought over as close to the left bank of the river...,0.95
the banks,connects_to,lailik and merket,1,"The.banks marched swiftly past us, and once round the first turn, we disappeared for ever from the memorable locality of Lailik and Merket.",0.8
i,supplies,table,1,"My table stood so far forward in the tent opening that I commanded an uninterrupted view of the landscape, not only before me, but also on both sides.",0.8
i,regulates,"map of the tarim-mariner's compass, watch, field-glass, measuring scale, yens, knives, compasses, ink eraser, telescope, and so forth",1,"Before me lay ready to hand a piece of clean paper-the first sheet of my big map of the Tarim-mariner's compass, watch, field-glass, measuring scale, yens, knives, compasses, ink eraser, telescope, and so forth, and I set to work immediately.",0.8
i,regulates,piece of clean paper,1,"Before me lay ready to hand a piece of clean paper-the first sheet of my big map of the Tarim-mariner's compass, watch, field-glass, measuring scale, yens, knives, compasses, ink eraser, telescope, and so forth, and I set to work immediately.",0.8
i,regulates,"big map of the tarim-mariner's compass, watch, field-glass, measuring scale, yens, knives, compasses, ink eraser, telescope, and so forth",1,"Before me lay ready to hand a piece of clean paper-the first sheet of my big map of the Tarim-mariner's compass, watch, field-glass, measuring scale, yens, knives, compasses, ink eraser, telescope, and so forth, and I set to work immediately.",0.8
i,trades_with,materials for a detailed monograph on the largest river in the heart of asia,1,"And not only did I by continuous and daily labour gather materials for a detailed monograph on the largest river in the heart of Asia, and traverse a route which had never been traversed by anybody before, but I also discovered a mode of travel fraught with the most idyllic charm.",0.8
the author,trades_with,tarim ferry-boat,1,"I had my meals served on the table where I worked as often as I wished it, and seldom have I enjoyed my food better than during my life on board that Tarim ferry-boat.",0.8
the boatmen,supplies,wares,1,and came and laid their wares on the foredeck in front of my study table.,0.9
"the wives, children, and other relatives of my boatmen",trades_with,my boatmen,1,"It turned out that the people who hit upon this stratagem for getting the better of us were the wives, children and other relatives of my boatmen.",0.8
the river,connects_to,tonkuzlik (belt of wood),1,"A particular belt of wood was called Tonkuzlik, because it was frequented by wild boar ; and a ford was known as Kalmak-yilgazi (the Mongol ford), because Mongols are said to have lived near that part of the river in former times.",0.8
the river,connects_to,mohammed-ili-lengher (hostelry or guest-house),1,"A hostelry or guest-house (lengher) on the great caravan road, which we almost touched at a sudden turn in the river, was called Mohammed-Ili-lengher after the man who built it.",0.8
the river,connects_to,eski-daria (old river),1,"At this place the stream two years ago altered its course for a short distance ; the old bed, which was plainly discernible at the junction, was called Eski-daria (the Old River).",0.8
shashkak,connects_to,river,1,"The place was inhabited by four shepherds and their families, who owned some two hundred sheep, in addition to goats and cattle. Besides that, they cultivated the ground, and grew maize and wheat, their fields being watered by an artificial canal led out of the river below Besh-koll.",0.8
the boatmen,trades_with,pheasants/ducks,1,"And then roamed the woods for hours together, and when he came back, he generally carried pheasants, or ducks, or both in his hand.",0.8
islam bai,migrates_through,woods,1,and then roamed the woods for hours together...,0.75
the river,depends_on,weather in the mountains,1,"During the night, the river had risen six inches, a circumstance not at all surprising when you bear in mind that its height was dependent upon the state of the weather in the mountains.",0.85
river,supplies,water for drinking and other purposes,1,The water in the river was now so chilly that the men never jumped in if they could avoid it.,0.95
river,depends_on,mountains,1,"This meant, there had been a more copious influx of water from the mountains during the last twenty-four hours.",0.8
yanghi-daria,connects_to,river,1,"Immediately after entering the main stream, the Yanghi-daria, or Kotteklik (Dry Timber Place), as it was also called, ... because of the large quantity of driftwood and logs of dead poplars which had become stranded upon its sandbanks...",0.8
kasim the on-bashi,exchanges_for,boatmen's earnings,1,"who was returning to Lailik, taking with him part of the other boatmen's earnings, which he undertook to hand over to their families or parents.",0.8
sand-dune,connects_to,river,1,"The sand-dune of Karaul-dung, which was about 35 feet high and covered with tamarisks and tussocks of grass, rose steeply on the very brink of the river,",0.0
carnival of malice,disputes,persons,1,"At this place the river had a volume of only 802 cubic feet in the second ; consequently its various side-arms had deprived it of very nearly one-third of its total flood. The sand-dune of Karaul-dung, which was about 35 feet high and covered with tamarisks and tussocks of grass, rose steeply on the very brink of the river, and its top commanded an extensive view of the whole district.",0.8
desert,connects_to,dunes,1,"Half a mile to the south and south-east, beyond a narrow belt of vegetation, were the yellow crests of the billowy dunes of the desert.",0.9
lailik,supplies,goose,1,"Amongst our live stock was a goose, which we brought all the way from Lailik.",0.8
kasim,trades_with,lailik,1,"It travelled with Kasim in the commisariat boat, and was originally intended to be killed and eaten ; but its staid and irreproachable respectability led to its being gradually promoted to be the 'pet of the regiment.'",0.7
regiment,licenses,goose,1,"'It was a comical bird, and often paid visits to the big ferry-boat, and waddled about wherever it liked.'",0.6
yarkand-daria,regulates,current,1,"After this the Yarkand-daria again showed its former characteristics-a broad current, numerous alluvial deposits, and deeply eroded vertical banks.",0.8
river,extracts_from,sandbanks,1,"Two or three times we ran aground upon the submerged sandbanks, it being difficult to detect their presence owing to the crumpling of the surface by the wind.",0.85
poplar forest,supplies,green leaves,1,"making a dense curtain of foliage which seldom allowed a glimpse of the tree-trunks to gleam between-green, but green shot with various shades of rich brown...",0.8
yarkand-daria,connects_to,khorem,1,"Mohammed Ahun, the hunter, told me that two or three miles from the right bank of the Yarkand-daria I should find the dry bed of the Khorem...",0.85
mountains,connects_to,river,1,"For a considerable distance the mountains lay directly ahead of us ; then they appeared on our right, and after that on our left ; and finally they stood right astern of us, and we seemed to be sailing away from them.",0.8
tian-shan mountain range,connects_to,northern horizon,1,"Away to the north, a faint contour, which might well have passed for rising mist, had it not been for its serrated edge, showed the mountain range of the Tian-shan.",0.85
on-bashi,exchanges_for,"pelts, boots for boatmen, rice, flour, and vegetables",1,"Summoning the on-bashi of the place, I commissioned him to go to the bazaar of Tumshuk, and buy pelts and boots for my boatmen, and I also bade him procure a supply of rice, flour, and vegetables.",0.85
kasim,trades_with,fish,1,"In the space of about a minute, Kasim captured two big fellows, and after that several others.",0.9
kasim,supplies,fish,1,We were supplied with fish for several days to come.,0.8
river,connects_to,chokka-tagh,1,"The river had looped round upon itself, so as to bring us once more within sound of the man's glad and light-hearted song.",0.9
river,connects_to,yugan-balik-kill (big fish lake),1,"The lake beside which we rested on that occasion was called Yugan-balik-kill (Big Fish Lake), and was fed by kivulets from the Yarkand-daria, to the right of which it lay.",0.95
river,connects_to,masar-tagh,1,"Sometimes we had the Masar-tagh, which we left the day before; but before night, the latter range became shrouded in the dust-haze and disappeared altogether from sight.",0.95
the yarkand-daria,connects_to,the lake of choll-koll,1,"it was clearly nothing but a natural water-course, kept open by the alternate ebb and flow between the Yarkand-daria and the lake of Choll-koll.",0.9
the chokka-tagh,connects_to,a yilga (eroded glen),1,"After crossing several minor crests, we finally struck into a yilga (eroded glen), which led us to the summit of the range.",0.9
the yarkand-daria,connects_to,sai-tagh,1,Here the volume of the river was 8864 cubic feet in the second. At this place I suffered's great loss-my favourite dog Dovlet died.,0.85
shepherds,trades_with,salt,1,The Mollah said they were fires made by the shepherds to scare tigers and wolves away from their flocks.,0.8
shepherd,supplies,flock,1,The Mollah said they were fires made by the shepherds to scare tigers and wolves away from their flocks.,0.8
the mollah,governs,the river,1,"On we flew before the wind, the banks swept past us like railway-trains, the water hissed off our bow.",0.8
the tarim,connects_to,khotan-daria,1,"During the short season in which the Khotan-daria does carry water, it is said to swell to a really large river ; and this seemed to be borne out by facts, for the Tarim, just below its confluence, was considerably broader...",0.8
the yoll-beghi,supplies,valuable information,1,"The boatmen were in good heart, and observed with the yoll-beghi accompanied us, and as he sat in front of my tent he plied me with valuable information about the locality...",0.9
the big ferry-boat,connects_to,the river,1,The boat glided so swiftly down the broad highway of the mighty river...,0.95
i,regulates,the life-blood of the tarim river,1,every evening I felt its pulse and took the measure of its life-blood in feet and inches,0.85
i,controls,the knowledge about the tarim river,1,I gathered into my diary everything that the natives knew about it,0.8
i,exchanges_for,topographical knowledge,1,we picked up one day and dropped the next as soon as their topographical knowledge came to an end,0.7
the ferry-man,disputes,us (the expedition),1,"But no sooner did the ferry-man, who lived in a hut on the bank, catch sight of us than he took to his heels and ran off as fast as he could put foot to ground.",0.9
the expedition,trades_with,the tarim (river),1,"Here we raced along at a dizzy rate, and were making straight for a projecting headland, where a violent collision seemed inevitable, when we were saved by the current itself swerving to one side, so that we merely grazed the branches of some tamarisks which hung out over the stream.",0.8
river,connects_to,reed-beds,1,...framed in on both sides by yellow lines of reed-beds...,0.8
alim,connects_to,the river,1,he as near as nothing fell back headlong into the river.,0.8
alim,connects_to,bank,1,"I put to shore in the skiff; then Alim flung me a line, at which I hauled away until I got the big boat so close in to the bank that he was able to jump out and take the line from me.",0.8
yanghi-daria,connects_to,kona-daria,1,"Before the day was over we came, on the left, to the reunion of the Yanghi-daria and the Kona-daria, and after that the stream reverted to its normal character.",0.8
the river,connects_to,the steppe of yellow reeds,1,On both sides it was bordered by a vast steppe of yellow reeds...,0.9
river,connects_to,desert,1,"This day the river made only one bend, but that was a double one, like the letter S, with an island in the one loop and deposits of mud in the other.",0.8
the river,connects_to,the inchikkeh-daria,1,"On the following day, in a sharp north-going loop, we passed the confluence of the Inchikkeh-daria, coming in from the left.",0.9
the poplars,depends_on,the autumn attire,1,"There was now scarcely a leaf left on the poplars ; they had put off their autumn attire, and stood bare and naked, awaiting winter's approach.",0.85
the wayfarer,exchanges_for,crisply rustled fallen leaves,1,The fallen leaves lay on the banks in heaps and rustled quite crisply under the wayfarer's footsteps.,0.8
the forest,depends_on,the river,1,"The main mass of the forest stood however somewhat back from the margin of the river, and only sent a few outposts close up to it.",0.9
the lower tarim,connects_to,the lake of ak-kumning-yugan-koll,1,"On the right of the river at this part lay the lake of Ak-kumning-yugan-koll ("" the Big Lake in the White Sand "")...",0.8
lop-men,trades_with,fish,1,"and pushed the fish into the net with his paddle, and then went and picked up the net and drew it into his canoe.",0.8
river,connects_to,lop country,1,and which became more pronounced the nearer we approached to the Lop country and the more insignificant the fall of the Tarim became.,0.85
yanghi-daria,connects_to,tarim river,1,"This Yanghi-daria, or h'ew River, furnished yet another illustration of the great river's tendency to deviate to the right.",0.9
lop-men,depends_on,tarim river,1,"'If ever we stood in need of pilots to point out the way, this surely was the time, and they were our men.'",0.8
canoe-men,extracts_from,tarim river,1,"The river divided into five arms, and guided us to that which they considered to be the principal one.",0.8
alim,exchanges_for,fish,1,Islam had just come to bring me a dish of fresh-cooked fish...,0.8
the river,connects_to,the yarkand-daria below lailik,1,The river here exhibited the same characteristics as the Yarkand-daria below Lailik.,0.8
the men,depends_on,frozen ground,1,"The ground was everywhere frozen hard, so that the men were no longer afraid of venturing into marshy or recently inundated places.",0.85
the river,supplies,floating disks,1,"Thus we were surrounded by a countless number of snow-white rings, the burial-wreaths, as it were, of the great river.",0.9
the river,connects_to,the ughen-daria,1,"We were now approaching, on the left, the Ughen-daria,",0.9
tarim river,regulates,its own flow,1,"The volume of the current is also regulated to no slight degree by the innumerable lagoons and marginal lakes which cling like parasites to the Tarim, and suck up its life-blood all the way down its lower course.",0.8
ughen-daria,connects_to,tarim,1,"The main river carried a volume of 1,967 cubic feet, the Ughen-daria a very much smaller amount.",0.9
russian consul at urumchi,supplies,cigarettes,1,"a few hundred cigarettes which the Russian Consul at Urumchi had sent me four years before, but which only now reached their destination.",0.8
river,regulates,karaul,1,Karaul stands at the point where the river makes the great bend to the south-east which takes it direct to Lopnor without any further tedious windings.,0.7
the chinese authorities,governs,the survivors,1,The Chinese authorities had transferred the survivors to the left bank...,0.8
these people,depends_on,irrigation,1,they might easily have irrigated their fields by digging rivulets from the river...,0.75
chernoff,connects_to,the bank,1,"and yet lower down by Siaz Hadji and several other men of the caravan, all of whom escorted us along the bank...",0.8
aksu,governs,neighbourhood,1,The begs of the neighbourhood arranged that their Lop-men should sell us fodder for our animals...,0.8
islam bai,supplies,horses,1,"Parpi Bai I appointed to look after the horses ; when they did not require his attention, he amused himself with hawking, and fed his hawks upon live poultry...",0.8
turdu bai,supplies,camels,1,"Turdu Bai and Faisullah took charge of the camels, one ef them being always on watch whilst the animals were out grazing.",0.8
kurban,supplies,horses,1,"A fine old fellow from Aksu, sixty years of age, but frank and happy as a boy, Kurban by name, acted as errand-boy, taking the horses down to water...",0.8
kurban,supplies,camels,1,...taking out his meals to the man who watched the camels.,0.8
lop-men,trades_with,fodder,1,The begs of the neighbourhood arranged that their Lop-men should sell us fodder for our animals...,0.8
the fire,supplies,bearded barbarians,1,"But although our fire was not allowed to go out until May of the following year, it was not tended by vestal virgins, but by bearded barbarians.",0.8
the night-watchmen,depends_on,cossacks,1,"in fact during the cold winter nights they generally sat beside it when not making their periodical rounds, looked after by the Cossacks.",0.7
turfan,connects_to,lop country,1,"He told me too that in the days of his forefathers begs had come from Turfan to exact, on behalf of the Chinese, tribute of otter skins from the inhabitants of the Lop country.",0.9
bash-koll,depends_on,river,1,"As this last was cut off from the river ten years ago, its water was now salt ; we therefore took with us a supply of ice for drinking and cooking.",0.8
lake,supplies,water,1,"The bottom was entirely free from sand, and consisted of concentric belts of different formation.",0.8
tarim,connects_to,yanghi-koll,1,"After having with some difficulty piloted the camels over a formidable ridge, we went down into the big oblong bayir which lay next the innermost part of the Yanghi-koll.",0.9
yanghi-koll,connects_to,tarim,1,"Continuing alongside the channel which connected the Yanghi-koll with the Tarim, we came to the latter...",0.9
bonin,trades_with,his attendants,1,He had his task behind him-he had done his work ; whereas mine lay before me - a host of enigmas shrouded in an impenetrable mist.,0.8
i,depends_on,islam bai,1,"For the new expedition I appointed as caravan-bashi Islam Bai, the faithful and experienced companion of my former journey across the Takla-makan Desert.",0.8
i,supplies,my travelling-cases,1,"With the view of safeguarding my travelling-cases against fire, I had them taken out of the hut and carried back on board the big ferry-boat.",0.7
i,regulates,my meteorological observatory,1,"My meteorological observatory still remained on the roof of the dark-room, and there the instruments continued to work all through, the winter.",0.7
they,exchanges_for,"two yambas (£15) to meet all expenses, besides a superauity of provisions.",1,"I gave them two yambas (£15) to meet all expenses, besides a superAuity of provisions.",0.8
they,supplies,all the animals i left behind me,1,They were made responsible for the safety of the camp and the protection of all the animals I left behind me...,0.8
the camels,depends_on,water,1,"we halted, cut four small holes in the ice, and let the camels drink all they possibly could hold ; this was the last water they would get for a long time to come.",0.8
the little white horse,depends_on,water,1,"The little white horse also-he came from Kashgar- as well as the dogs, and the men, all had a good drink ; for, although we carried a supply of ice with us, it might easily happen that later on we should be pinched for the precious fluid.",0.8
the route,connects_to,the village of tatran on the cherchen-daria,1,"It was of course abundantly evident that the route we had chosen was the only possible direction for us to travel in, since it would take us straight to our goal, the village of Tatran on the Cherchen-daria, a day's journey below the town of Cherchen.",0.8
bayirs,connects_to,inland lake or sea,1,"This view was supported by the general level of the whole of the Tarim basin, by the direction in which the two rivers, the Tarim and the Cherchen-daria, flow, and by the position of the several chains of bayirs ; for, as we shall see lower down, each of these chains curved like a bow, while all radiated from a point intermediate between the old Lop-nor and the existing Kara-koshun, or the point where the lowest depression of the whole of the Tarim basin occurs.",0.8
bayirs,depends_on,water,1,"These, however, did not owe their origin to the erosive force of the wind, but to the action of water; in fact they resembled ancient beach-lines, marking the different levels of lake or river.",0.8
tarim basin,connects_to,inland lake or sea,1,"This view was supported by the general level of the whole of the Tarim basin, by the direction in which the two rivers, the Tarim and the Cherchen-daria, flow, and by the position of the several chains of bayirs ; for, as we shall see lower down, each of these chains curved like a bow, while all radiated from a point intermediate between the old Lop-nor and the existing Kara-koshun, or the point where the lowest depression of the whole of the Tarim basin occurs.",0.8
the desert,depends_on,salt,1,"Although the ground was moist right up to the surface, it was nowhere frozen, owing to its very strong impregnation of salt.",0.85
the caravan,depends_on,water supply,1,Our supply of water would last longer now that there were six lives less dependent upon it.,0.85
firewood,depends_on,opportunity,1,"if it did not, we should have no opportunity to melt the ice.",0.8
camels,depends_on,water,1,"Now, however, we were chilled to the bone, owing to the intense cold, and had an abundance of water.",0.9
the bayir,connects_to,bayir no. 37,1,"The pass that bounded it on the south resembled a very low 'threshold' or cross-ridge, and beyond it we were unable to perceive any sand...",0.9
the caravan,trades_with,the earth,1,...which made the earth all the colder.',0.8
bayir,disputes,steppes,1,The men even fed themselves with the foolish hope that this was the beginning of the steppes which stretched down to the bank of the Cherchen-daria.,0.7
cherchen-daria,connects_to,desert,1,What was he looking for in the desert ? Surely he could find a more fruitful field for his predatory instincts nearer theriver.,0.8
the author,depends_on,the fire,1,"we must have a fire that night, for we were all literally stiff with cold.",0.8
the camels,supplies,food and water,1,"Everything we wanted, every single thing we possessed in fact, had to be fished out from underneath this soft white coverlet.",0.7
the desert,controls,the weather,1,The black clouds... had been induced to part with their contents.,0.75
the desert,connects_to,mountains of sand,1,"Who would have believed that such a thing could be possible in the desert ? Generally speaking, the snow facilitated our march, for by keeping along the lines of contact between snow and sand, we were able to take advantage of the effects of regelation, which were strongest marked there.",0.8
snow,regulates,sand,1,"The crests of the dunes in particular were as hard as ice, and a single step on the steeper slopes sufficed to set a patch of twenty to twenty-five square yards slipping bodily down the declivity.",0.8
buran (black desert tempest),disputes,the snow,1,The snow had the same effect upon the sand that oil has upon waves; it would have been impossible for even the fiercest buran (black desert tempest) that ever blew to have shifted it with that snow lying upon it.,0.8
dead forest,connects_to,cherchen-daria,1,"We did not trouble to carry firewood with us, for we perceived other dead trees some distance ahead.",0.8
dead poplars,connects_to,camp,1,"Shovelling away the snow, they began to ply their axes, and very soon had several piles of wood ready for kindling.",0.9
tokkuz-davan range,connects_to,kwen-lun system,1,"Here we obtained our first glimpse of the outermost chain of the great Kwen-lun system, namely, the range of Tokkuz-davan.",0.9
tatran,connects_to,cherchen-daria,1,We were only four miles from Tatran.,0.8
mollah toktamet beg,administers,cherchen,1,"With his seventy-two years, he was the same pleasant old man, aristocratic looking, and polite, that I had known him before, and he placed his house at my disposal.",0.8
the man,trades_with,keriya,1,"The man told us his dog had had a brush with some wolves during the night, and had got rather badly mauled.",0.8
shepherds,controls,the sheep,1,"The shepherds say, that if a wolf only just touches a sheep, the animal will die of fright ; and once wolves set upon a flock they will destroy it to the last sheep, unless interrupted.",0.8
the bai,governs,his family,1,"The man only dwelt there during the winter ; in summer his home was at Andereh-terem, for at the latter season the whole of this region is fearfully hot, and swarms with gnats and mosquitos.",0.8
the chinese,administers,their district,1,"As I have stated in my former book (Throccgh Asia), the river Molldya or Miillja, at the point where it was crossed by the upper road, was a large river ; but here on the lower road or astin-yoll, along which we were now travelling, it was hardly perceptible, owing to the fact that it was divided into a number of capricious arms, like an interlacing delta.",0.8
bostan-tograk,connects_to,canal,1,"We also detected traces of a canal, which had clearly been connected with the adjacent stream of Bostan-tograk.",0.9
keng-laika,connects_to,cherchen-daria,1,It was my intention to find out if possible where the old bed of the Cherchen-daria ran.,0.9
the cherchen-daria,connects_to,an ancient river-bed,1,"And there we did discover a kona-davia, or 'ancient river-bed,' proving that the Cherchen-daria had not always shifted to the right when it changed its channel.",0.8
russians,migrates_through,siberia,1,"All the indications pointed to these people having been Russians, and I jumped to the conclusion, that they possibly belonged to the Raskolnikis (Nonconformists), who a little after 1820 fled from Siberia towards Lop-nor",0.8
toktamet beg,disputes,robbers,1,"One of them, who had a dram knife in his hand, threatened to kill Toktamem if he offered any resistance.",0.9
tarim,depends_on,east wind,1,"for if there had been, it would have been impossible for the dominant east wind to pile up such stupendous masses of sand in that situation.",0.8
lop-nor,controls,tarim,1,for there was at that time nothing to prevent it doing so.,0.8
togdasin beg,controls,tura-sallgan-uy-the buriat cossacks,1,"Here that fine old fellow Togdasin Beg took leave of us and returned home, but eighteen months later he again rendered us important services.",0.8
consul uspensky,controls,buriat cossacks,1,"there they had been detained two months by the great Chinese scholar (now dead) Consul Uspensky, who had lost traces of me, and did not know exactly where to send them on to.",0.8
buriat cossacks,depends_on,russian territory,1,they travelled fr6e so long as they were in Russian territory.,0.7
shagdur and cherdon,supplies,cattle,1,"resume their native dress and native manner of life, and live principally by breeding cattle.",0.9
