Book,Source,RawRelation,Target,Action,Reason
Becoming_India,sara aparajita,DAUGHTER_OF,father,drop,legacy row without strict relation mapping
Becoming_India,father,FINISH,book,drop,legacy row without strict relation mapping
Becoming_India,colonial encounter,TAKE_PLACE_IN,western himalayas,drop,legacy row without strict relation mapping
Becoming_India,western himalayas,BE_REGION,outside conventional historical accounts of colonialism in india,drop,legacy row without strict relation mapping
Becoming_India,book,HIGHLIGHT,geographical and historical specificity of the western himalayas,drop,legacy row without strict relation mapping
Becoming_India,book,ARGUE,colonialism in the western himalayas as not possible to understand merely as a sub-set of colonialism in india,drop,legacy row without strict relation mapping
Becoming_India,western himalayas,REPRESENT,border region between india and china,drop,legacy row without strict relation mapping
Becoming_India,book,ARGUE,alternative way of studying colonialism and modern indian history,drop,legacy row without strict relation mapping
Becoming_India,contemporary historians,STUDY,colonialism as pan-indian phenomenon,drop,legacy row without strict relation mapping
Becoming_India,india,BE_CONSTITUTED_AS,country and nation during the course of colonial rule and in opposition to it,drop,legacy row without strict relation mapping
Becoming_India,agricultural communities,BE_ACCEPTED_AS,representative and normative of india,drop,legacy row without strict relation mapping
Becoming_India,kashmir,STRETCH_FROM,mountains of burma,drop,legacy row without strict relation mapping
Becoming_India,western himalayas,BE_PART_OF,historical processes of the indian sub-continent,drop,legacy row without strict relation mapping
Becoming_India,indian nation,INTEGRATION_INTO,colonial rule,drop,legacy row without strict relation mapping
Becoming_India,himalayan region,STUDY_AS_PART_OF,indian sub-continent,drop,legacy row without strict relation mapping
Becoming_India,tibetan plateau,IMBIBE_FEATURES_FROM,western himalayas,drop,legacy row without strict relation mapping
Becoming_India,caste,BE_USED_TO_UNDERSTAND,social formation of the region,drop,legacy row without strict relation mapping
Becoming_India,nineteenth century british writers,REFER_TO_AS_CASTE,social division in the western himalayas,drop,legacy row without strict relation mapping
Becoming_India,simla states,EXIST_HIERARCHY_OF_SOCIAL_STATUS_IN,western himalayas,drop,legacy row without strict relation mapping
Becoming_India,brahmins and rajputs (kshatriyas),CONSIST_OF_UPPER_CLASS,social status in the western himalayas,drop,legacy row without strict relation mapping
Becoming_India,artisan elements,FORM_LOWER_STRATA_OF,population of these parts,drop,legacy row without strict relation mapping
Becoming_India,western himalayas,HAVE_SOCIAL_DIVISIONS_LIKE,the plains,drop,legacy row without strict relation mapping
Becoming_India,gerald d. berreman,STATEMENT,there can be no doubt that we are dealing with a caste society,drop,legacy row without strict relation mapping
Becoming_India,berreman,AUTHOR,"hindus of the himalayas, delhi, 1997",drop,legacy row without strict relation mapping
Becoming_India,caste society,DESCRIPTION,a caste society,drop,legacy row without strict relation mapping
Becoming_India,himalayan brahmins,SIMILARITY,village menials,drop,legacy row without strict relation mapping
Becoming_India,family and marriage ceremonies,DESCRIPTION,do not differ much between the himalayan brahmins and the village menials,drop,legacy row without strict relation mapping
Becoming_India,western himalayas,SETTING,social formation,drop,legacy row without strict relation mapping
Becoming_India,caste,CATEGORY,social organisation,drop,legacy row without strict relation mapping
Becoming_India,caste institution,QUALIFICATION,flexibility,drop,legacy row without strict relation mapping
Becoming_India,purity,RELEVANCE,marker of caste distinction,drop,legacy row without strict relation mapping
Becoming_India,western himalayan social organisation,DESCRIPTION,adherence to the category of caste,drop,legacy row without strict relation mapping
Becoming_India,himalayan peasants,SOCIAL_ORGANISATION,caste,drop,legacy row without strict relation mapping
Becoming_India,gangetic plain,COMPARISON,social structure,drop,legacy row without strict relation mapping
Becoming_India,researcher,WARNING,possibility of a different social structure,drop,legacy row without strict relation mapping
Becoming_India,western himalayas,BE PART OF,historical processes of the indian sub-continent,drop,legacy row without strict relation mapping
Becoming_India,himalayan region,INTEGRATE INTO,indian nation,drop,legacy row without strict relation mapping
Becoming_India,social features,BE MARKERS OF,successful integration,drop,legacy row without strict relation mapping
Becoming_India,western himalayas,DIFFER FROM,plains of north india,drop,legacy row without strict relation mapping
Becoming_India,british rule,SETTLE IN,local habitations,drop,legacy row without strict relation mapping
Becoming_India,colonial empire,MERGE WITH,western himalayas,drop,legacy row without strict relation mapping
Becoming_India,rebellions,BE A CENTRAL FEATURE OF,local polity,drop,legacy row without strict relation mapping
Becoming_India,praja mandal movement,EMERGE IN,1930s-40s,drop,legacy row without strict relation mapping
Becoming_India,british rule,NOT DISRUPT,local processes,drop,legacy row without strict relation mapping
Becoming_India,british rule,NOT DESTROY,"local structures of economic, social and political power",drop,legacy row without strict relation mapping
Becoming_India,narrative method,ADOPTED,in an attempt to draw readers into the world of the himalayan peasant,drop,legacy row without strict relation mapping
Becoming_India,himalayan peasant,UNDERSTAND,the nature of contact between the himalayan peasant and british rule,drop,legacy row without strict relation mapping
Becoming_India,colonialism,EXEMPLIFY,in this region,drop,legacy row without strict relation mapping
Becoming_India,physical world,DIFFERENT FROM,that of the riparian plains,drop,legacy row without strict relation mapping
Becoming_India,himalayas,FREEZE IN TIME,the transition from lineage to state,drop,legacy row without strict relation mapping
Becoming_India,romila thapar,DESCRIBE,the north indian plains,drop,legacy row without strict relation mapping
Becoming_India,social formation,IN A STATE OF FLUX,defined by a constant struggle between structures and agents,drop,legacy row without strict relation mapping
Becoming_India,colonial state,ENTER AND TAKE CONTROL,of this historical stage,drop,legacy row without strict relation mapping
Becoming_India,british rule,PROVIDE THE ENABLING CONDITIONS FOR THE SOCIAL AND POLITICAL INTEGRATION,with the emergent indian nation,drop,legacy row without strict relation mapping
Becoming_India,hill states,STABILISATION OF POLITICAL RELATIONS WITH,through the sanads,drop,legacy row without strict relation mapping
Becoming_India,sanads,INTRODUCTION OF MONEY AND MARKETS,establishment of the european 'hill stations,drop,legacy row without strict relation mapping
Becoming_India,european 'hill stations,SETTLEMENT OF AGRICULTURAL LAND AND FORESTS,the second category of enabling conditions,drop,legacy row without strict relation mapping
Becoming_India,schools and courts,OPENING UP OF COMMUNICATIONS,"first with roads and then with newspapers, telegraphs, phones and railways",drop,legacy row without strict relation mapping
Becoming_India,people from other parts of the british indian raj,INCREASED TRAVEL TO AND EXTENDED RESIDENCE IN,the western himalayas,drop,legacy row without strict relation mapping
Becoming_India,western himalayas,IMPORTANCE_TO,the political takeover of punjab,drop,legacy row without strict relation mapping
Becoming_India,western himalayas,PROVIDE_PASSAGES_TO,china and russia,drop,legacy row without strict relation mapping
Becoming_India,british officials,BUILD_HOUSES_IN,the western himalayas,drop,legacy row without strict relation mapping
Becoming_India,simla,BECOME_SUMMER_SEAT_OF,the british indian government,drop,legacy row without strict relation mapping
Becoming_India,british rule,IMPACT_ON_REGION,the western himalayas,drop,legacy row without strict relation mapping
Becoming_India,colonial history,COLOUR_NATURE_OF,british rule in the western himalayas,drop,legacy row without strict relation mapping
Becoming_India,conquest of western himalayas,REASON_FOR,extraneous' reasons,drop,legacy row without strict relation mapping
Becoming_India,british rule,INITIATE_UNPRECEDENTED_CHANGES,the region's economy and political structure,drop,legacy row without strict relation mapping
Becoming_India,rebellions,PRIMARY_MEANS_OF,himalayan peasants greeting changes in their life,drop,legacy row without strict relation mapping
Becoming_India,peasant rebellions,MAIN_FEATURES_OF,trying to identify the main features of peasant rebellions in the western himalayas,drop,legacy row without strict relation mapping
Becoming_India,himalayan hill states,CHANGING_RELATION_WITH,the british under pressure of rebellions,drop,legacy row without strict relation mapping
Becoming_India,reform of himalayan family,PRIMARY_ROUTE_FOR_INTEGRATION,with the specific indian society that was emerging under colonialism,drop,legacy row without strict relation mapping
Becoming_India,social reforms,STUDY_PATTERN_OF,"marriage reforms, literacy, occupational structure, and popular theophany",drop,legacy row without strict relation mapping
Becoming_India,independence movement,MOMENT_OF_FINAL_INTEGRATION_WITH,india,drop,legacy row without strict relation mapping
Becoming_India,himachal pradesh,FORMATION,indian nation,drop,legacy row without strict relation mapping
Becoming_India,region's dominant social groups,PARTNERS,indian nation,drop,legacy row without strict relation mapping
Becoming_India,british rule,INTEGRATION,regions' people with the indian nation,drop,legacy row without strict relation mapping
Becoming_India,market,EXTENSION,the regions' people,drop,legacy row without strict relation mapping
Becoming_India,social reforms,SUCCESS,the regions' people with the indian nation,drop,legacy row without strict relation mapping
Becoming_India,praja mandal movements,SUCCESS,the regions' people with the indian nation,drop,legacy row without strict relation mapping
Becoming_India,himalayan proprietary peasant,ENTRY,arena of the indian nation,drop,legacy row without strict relation mapping
Becoming_India,western himalayas,LEFT OUT,himachal pradesh due to politics within the praja mandal in the 1940s,drop,legacy row without strict relation mapping
Becoming_India,the western himalayas,MANAGED TO WREST,some form of equality and autonomy for its dominant groups in the form of a separate state of uttaranchal,drop,legacy row without strict relation mapping
Becoming_India,india,HAVE,knowledge of the himalayas,drop,legacy row without strict relation mapping
Becoming_India,british,CONQUEST,western himalayas,drop,legacy row without strict relation mapping
Becoming_India,india,REMAINED,perfunctory knowledge about the himalayas,drop,legacy row without strict relation mapping
Becoming_India,western himalayas,BE,unique ecological niche of the south asian region,drop,legacy row without strict relation mapping
Becoming_India,south asian region,HAVE,various social and economic processes,drop,legacy row without strict relation mapping
Becoming_India,british rule,CONSOLIDATE,western himalayas,drop,legacy row without strict relation mapping
Becoming_India,himalayas,EXHIBIT,land forms developed when earth strata are intensely folded,drop,legacy row without strict relation mapping
Becoming_India,himalayas,LACK,intermontane plateaux and large sized basins,drop,legacy row without strict relation mapping
Becoming_India,western himalayas,DIVIDE,into three zones,drop,legacy row without strict relation mapping
Becoming_India,himalayas,NOT CUT THROUGH,by any river due to their altitude and youth,drop,legacy row without strict relation mapping
Becoming_India,river sutlej,CUT THROUGH,form a valley,drop,legacy row without strict relation mapping
Becoming_India,river sutlej,PROVIDE ACCESS,traders and others,drop,legacy row without strict relation mapping
Becoming_India,simla,NEED BUILDING OF ROAD,to the borders of tibet,drop,legacy row without strict relation mapping
Becoming_India,capt. singh,EDIT,india: a regional geography,drop,legacy row without strict relation mapping
Becoming_India,gopal singh,WRITE,a geography of india,drop,legacy row without strict relation mapping
Becoming_India,s.c.bose,WRITE,geography of the himalaya,drop,legacy row without strict relation mapping
Becoming_India,joshi,WRITE,"geography of himachal pradesh, india",drop,legacy row without strict relation mapping
Becoming_India,bose,WRITE,ibid,drop,legacy row without strict relation mapping
Becoming_India,briggs,REPORT ON,operations connected with the hindostan and thibet road,drop,legacy row without strict relation mapping
Becoming_India,himalayas,PROVIDE BARRIER TO,her majesty's public works department in india,drop,legacy row without strict relation mapping
Becoming_India,the western himalayas,CAN BE DIVIDED,into three main ranges,drop,legacy row without strict relation mapping
Becoming_India,these three physiographic divisions,RUN,in a north-westerly to south-easterly direction,drop,legacy row without strict relation mapping
Becoming_India,the outer himalayas or the shiwaliks,ARE,the southern zone,drop,legacy row without strict relation mapping
Becoming_India,these ranges,RISE,in altitude from the plains to the tibetan plateau,drop,legacy row without strict relation mapping
Becoming_India,the sutlej,CUTS,through the great himalayan range,drop,legacy row without strict relation mapping
Becoming_India,these mountain ranges and the transverse ridges,FORM,the basins for all the rivers of the western himalayas,drop,legacy row without strict relation mapping
Becoming_India,each valley,REMAINS,isolated from the other and feeds its waters to its main drainage channel,drop,legacy row without strict relation mapping
Becoming_India,"g.c. barnes, commissioner and superintendent cis sutlej states",WROTE,about bushahr state (bussahir) in the sutlej valley when he went there for the first time in 1859,drop,legacy row without strict relation mapping
Becoming_India,george francis white,PUBLISHED HIS TRAVELOGUE ALONG WITH PRINTS OF SKETCHES OF THE HIMALAYAS,in 1836,drop,legacy row without strict relation mapping
Becoming_India,the hill villagers,BETRAYED,"on almost every subject unconnected with their own little community, being often unacquainted with the names, or even the existence, of villages a few days journey from their own",drop,legacy row without strict relation mapping
Becoming_India,george francis white,VIEWS,india,drop,legacy row without strict relation mapping
Becoming_India,himalaya mountains,CHIEFLY AMONG,the valleys,drop,legacy row without strict relation mapping
Becoming_India,valleys,HAVE BEEN SETTLED BY MAN,and have emerged as distinct cultural areas,drop,legacy row without strict relation mapping
Becoming_India,highland areas,REMAIN ONLY AS WATER GAPS,providing few possibilities for agriculture or other human activity,drop,legacy row without strict relation mapping
Becoming_India,valleys,CAN BE DIVIDED INTO THREE CATEGORIES ON THE NATURE OF THEIR RELIEF FEATURES AND THEIR CAPABILITY OF SUSTAINING HUMAN SETTLEMENTS,three categories,drop,legacy row without strict relation mapping
Becoming_India,first category of valleys,"ARE FOUND ONLY IN THE FOOTHILLS OF THE HIMALAYAS AND DO NOT STRICTLY COME INSIDE THE HIMALAYAN REGION, BUT ARE IMPORTANT SINCE THEY BORDER IT AND HAVE STRONG HISTORICAL LINKS WITH THE AREAS UNDER STUDY",the areas under study,drop,legacy row without strict relation mapping
Becoming_India,second category of valleys,"ARE FOUND ALONG THE MIDDLE HIMALAYAS AND ARE STRICTLY LINEAR, WITH A REDUCED BREADTH AND RELATIVELY STEEP GRADIENTS OF THE HILLS WHICH ENCOMPASS THEM",the middle himalayas,drop,legacy row without strict relation mapping
Becoming_India,third category of valleys,"ARE AROUND MINOR HILL TORRENTS MAKING CULS-DE-SAC WHERE SMALL AND ISOLATED POPULATIONS SURVIVE THROUGH INTENSIVE AGRICULTURE COMBINED WITH OTHER ECONOMIC ACTIVITIES LIKE PASTORALISM, TRADE, ETC.",intensive agriculture combined with other economic activities,drop,legacy row without strict relation mapping
Becoming_India,valleys of the middle and inner himalayas,SHOW 'MASSIVE ROCKY OUTCROPS AND RUGGED PRECIPICES' WHILE THE VALLEYS THEMSELVES ARE 'DEEPLY INCISED',precipices,drop,legacy row without strict relation mapping
Becoming_India,captain thomas skinner,"EXCURSIONS IN INDIA, INCLUDING A WALK OVER THE HIMALAYA MOUNTAINS",2 vols,drop,legacy row without strict relation mapping
Becoming_India,g.c. barnes,DESPAIR OF ENFORCING A LAND SETTLEMENT IN CASH,the area's physical and cultural isolation,drop,legacy row without strict relation mapping
Becoming_India,the climate,BE,perfect,drop,legacy row without strict relation mapping
Becoming_India,the british settlements,ORIGINATE,because,drop,legacy row without strict relation mapping
Becoming_India,almost all,COME UP,on the top of the ridges in the middle himalayas,drop,legacy row without strict relation mapping
Becoming_India,the region,LIE,in the same latitudes as the mediterranean climatic zone of west asia,drop,legacy row without strict relation mapping
Becoming_India,the western himalayas,GET,its winter precipitation as a consequence of depressions originating there,drop,legacy row without strict relation mapping
Becoming_India,the sutlej valley,BE,one of the more monetised of the regions of the western himalayas when the british arrived in 1815,drop,legacy row without strict relation mapping
Becoming_India,the bhageerathi valley,BE,due to the large number of hindu pilgrims who went to gangotri for many centuries,drop,legacy row without strict relation mapping
Becoming_India,altitude and aspect,NEED,to be taken into consideration when discussing climate at any given spot,drop,legacy row without strict relation mapping
Becoming_India,the region's climatic pattern,BE MARKED BY,"the snowline, the limit of the glaciers, the limit of the monsoon, the relative altitude of the observer's position vis-à-vis the valley and the angle of the terrain towards the sun",drop,legacy row without strict relation mapping
Becoming_India,simla,ALTITUDE,"2,000 metres",drop,legacy row without strict relation mapping
Becoming_India,snow,HEIGHT,8 to 9 feet,drop,legacy row without strict relation mapping
Becoming_India,weather pattern,CHANGE IN,the early nineteenth century till today,drop,legacy row without strict relation mapping
Becoming_India,deforestation,FACTOR,of this change in weather pattern,drop,legacy row without strict relation mapping
Becoming_India,altitudinal and topographical variations,MODIFY,all extra regional influences,drop,legacy row without strict relation mapping
Becoming_India,mountainous type of climate,GENERATE,more appropriately,drop,legacy row without strict relation mapping
Becoming_India,grasslands,FOUND IN,this intermediate area,drop,legacy row without strict relation mapping
Becoming_India,western himalayas,EXPERIENCE,monsoon rainfall,drop,legacy row without strict relation mapping
Becoming_India,rainfall,DECREASE,from the east towards the west,drop,legacy row without strict relation mapping
Becoming_India,shiwaliks,LOCATION OF,the greatest rain,drop,legacy row without strict relation mapping
Becoming_India,lesser himalayas and great himalayas,SOUTH AND EAST FACING SLOPES OF,the main ranges,drop,legacy row without strict relation mapping
Becoming_India,monsoon clouds,HIT,these hills and large quantities of cloud gather there,drop,legacy row without strict relation mapping
Becoming_India,great himalayan range,BARRIER TO,the monsoon,drop,legacy row without strict relation mapping
Becoming_India,certain places,MOUNTAIN TOPOGRAPHY IS SUCH THAT,"clouds get trapped and thus, these places get quantitatively more rain than neighbouring areas in the vicinity",drop,legacy row without strict relation mapping
Becoming_India,valleys,WINTER DAY NOT LONGER THAN A FEW FLEETING HOURS,in which it would not be uncommon to find snow,drop,legacy row without strict relation mapping
Becoming_India,hill slope,HIGHER ALTITUDE ONE MAY NEVER ENCOUNTER SNOW,at,drop,legacy row without strict relation mapping
Becoming_India,shiwaliks and middle himalayas,MORE RAIN AND LESS SNOW DUE TO MORE SUN ON THE SLOPES THAT FACE THE SOUTH,in which there is usually,drop,legacy row without strict relation mapping
Becoming_India,south facing slopes,THE SNOW STAYS LONGER IN,since the winter sun hardens it and makes it more resistant to thawing,drop,legacy row without strict relation mapping
Becoming_India,a place,RELATIVE POSITION VIS-À-VIS THE VALLEY AND THE RIDGE OR MOUNTAIN PEAK,one also needs to take account of its,drop,legacy row without strict relation mapping
Becoming_India,gravity winds,"SPECIFIC TO EACH VALLEY AND, KEEPING ALL OTHER FACTORS IN MIND, IT MAY BE SAID THAT","local site factors such as the location of ridges and valleys, the direction of the spur and even the shape of the mountain folds all contribute to the formation of the climate of any given spot in the western himalayas",drop,legacy row without strict relation mapping
Becoming_India,jakhu,GETS,much heavier snow,drop,legacy row without strict relation mapping
Becoming_India,town of simla,PROPER,town,drop,legacy row without strict relation mapping
Becoming_India,villages in the valley below,NEVER EVER GET,snow,drop,legacy row without strict relation mapping
Becoming_India,region's soils,ARE,young and thin,drop,legacy row without strict relation mapping
Becoming_India,region's soils,ARE,unstable,drop,legacy row without strict relation mapping
Becoming_India,british administrators,DIVIDED,the region's soils into three main categories,drop,legacy row without strict relation mapping
Becoming_India,three categories,WERE,"kiar, bakhal, and karali",drop,legacy row without strict relation mapping
Becoming_India,kiar,WAS,the most fertile and well-irrigated land,drop,legacy row without strict relation mapping
Becoming_India,bakhal,WAS,land near the homestead,drop,legacy row without strict relation mapping
Becoming_India,karali,WAS,land that was either newly reclaimed waste or old soil which lay at some distance from the village,drop,legacy row without strict relation mapping
Becoming_India,soil of the himalayan foothills,IS,embedded with stones,drop,legacy row without strict relation mapping
Becoming_India,mid and high hill soil,CONSISTS,silty or clay loam,drop,legacy row without strict relation mapping
Becoming_India,areas beyond the great himalayan range,HAS,high texture' variety and low in organic content,drop,legacy row without strict relation mapping
Becoming_India,gazetteer of the simla hill states,WAS REPRINTED AS,"new delhi, 1995",drop,legacy row without strict relation mapping
Becoming_India,before the coming of the british,HAD,the greatest forests of the south asian subcontinent,drop,legacy row without strict relation mapping
Becoming_India,forests,WERE,inaccessible to those who carried out the extensive forest clearing for settled agriculture during the iron age,drop,legacy row without strict relation mapping
Becoming_India,natural vegetation of the region,VARIED,with the climatic zone,drop,legacy row without strict relation mapping
Becoming_India,slopes along the big rivers and at the higher end of the mountains,WERE,covered with trees of various types,drop,legacy row without strict relation mapping
Becoming_India,the trees of the western himalayas,CAN BE CLASSIFIED INTO,two broad categories,drop,legacy row without strict relation mapping
Becoming_India,deciduous forests,ARE A TYPE OF,forests,drop,legacy row without strict relation mapping
Becoming_India,coniferous forests,ARE A TYPE OF,forests,drop,legacy row without strict relation mapping
Becoming_India,the local population,USE AS,"fuel wood, building material for houses, tools and implements",drop,legacy row without strict relation mapping
Becoming_India,the trees,PROVIDE,leaves for grazing the cattle and herds of sheep and goats,drop,legacy row without strict relation mapping
Becoming_India,h. cleghorn,WROTE A REPORT ABOUT,the forests of the punjab and the western himalaya,drop,legacy row without strict relation mapping
Becoming_India,lieut. george francis white,WROTE AN OPUS ABOUT,the local implements for cutting trees and working on wood,drop,legacy row without strict relation mapping
Becoming_India,the british,USE AS A SOURCE OF,timber for commercial forestry,drop,legacy row without strict relation mapping
Becoming_India,broad leaf trees,MAINLY CONSIST OF,"oak, sal, walnut, maple, horse chestnut, etc",drop,legacy row without strict relation mapping
Becoming_India,oak,COULD NOT FLOAT IN WATER AND THUS HAD NO,commercial value,drop,legacy row without strict relation mapping
Becoming_India,the trees of the deciduous type,WERE CRUCIAL TO THE LIVELIHOOD OF,the people,drop,legacy row without strict relation mapping
Becoming_India,the conifers,ARE THE PREFERRED TYPE FOR,the forest department,drop,legacy row without strict relation mapping
Becoming_India,pines and deodars,ARE USED TRADITIONALLY BY,the hillmen to build houses and other structures,drop,legacy row without strict relation mapping
Becoming_India,the forests,PROVIDED ESSENTIAL GRAZING TO,"the cattle, which had to stay close to the homestead for purposes of agriculture and milk",drop,legacy row without strict relation mapping
Becoming_India,many plants,WERE FOUND IN,the himalayas,drop,legacy row without strict relation mapping
