Source,Target,TotalWeight,Relations
"nineteenth century cis-sutlej hill states, h.p. university, simla, 1987",mohan singh rathore,1.0,unpublished ph.d.
i,unfree labour,1.0,am no apologist for
the region's peasantry,such labour by,1.0,opposition to
reciprocal labour,unfree labour in the western himalayas,1.0,linked as closely to
servile unfree labour,the commonly understood form of,1.0,as it was to
polyandrous himalayan family,unfree labour,1.0,located inside the matrices of
colonialism,all subsumed under,1.0,overarching structure of
sociological and historical literature on india under colonialism,the social history of the western himalayas,1.0,seemed to provide diminishing conceptual clarity the deeper i delved into
western himalayas,there was a clearly discernable sociological gap between the plains of north india and this region,1.0,never been a political part of any indian entity throughout history
i,this effort,1.0,"realised that to write a contextualised history of unfree labour in the western himalayas, i would need to understand the local dynamics of social and economic transformations during the colonial period separate from the general history of india under colonialism"
i,this book,1.0,finally decided to shift the focus of my research from unfree labour under colonial conditions to a mapping of the colonial encounter in the region by foregrounding its exceptionalism and focusing primarily on transformative processes
doctoral thesis,consequences of colonial rule,1.0,study
book,doctoral research,1.0,based on
history of indian colonialism,not studied independently,1.0,general history
british rulers,not discussed,1.0,intentions
himalayan people,transformative processes of colonialism,1.0,response to
social geography of western himalayas,touristy idyll,1.0,emerged as
sutlej river,book,1.0,focus of narrative
beas and tons river valleys,book,1.0,complimentary evidence from
region's geography,pre-british social formation,1.0,impacted
british rule in the region,extant social formation,1.0,impact on
panikkar,space to pursue divergent ideas,1.0,gave
father (javeed alam),initial inputs,1.0,provided
chetan singh,find my feet in the world of himalayan history,1.0,helped
sumit sarkar,many drafts,1.0,read
hari sen,many drafts,1.0,read
kumaresh chakravarty,many drafts,1.0,read
emma flatt,many drafts,1.0,read
tanika sarkar,many drafts,1.0,read
ravinder kumar,many drafts,1.0,read
vasudha pande,experiences of research on the western himalayas,1.0,shared
staff (jnu library),library services,1.0,thankful to
staff (nehru memorial library),library services,1.0,thankful to
staff (h.p. secretariat library),library services,1.0,thankful to
staff (h.p. university library),library services,1.0,thankful to
staff (national archives of india),library services,1.0,thankful to
staff (british library’s oriental and india office collection),library services,1.0,thankful to
staff (soas library),library services,1.0,thankful to
"staff (south asia centre, cambridge)",library services,1.0,thankful to
staff (asiatic society of bengal),library services,1.0,thankful to
sara aparajita,father,1.0,daughter_of
father,book,1.0,finish
colonial encounter,western himalayas,1.0,take_place_in
western himalayas,outside conventional historical accounts of colonialism in india,1.0,be_region
book,geographical and historical specificity of the western himalayas,1.0,highlight
book,colonialism in the western himalayas as not possible to understand merely as a sub-set of colonialism in india,1.0,argue
western himalayas,border region between india and china,1.0,represent
book,alternative way of studying colonialism and modern indian history,1.0,argue
contemporary historians,colonialism as pan-indian phenomenon,1.0,study
india,country and nation during the course of colonial rule and in opposition to it,1.0,be_constituted_as
agricultural communities,representative and normative of india,1.0,be_accepted_as
kashmir,mountains of burma,1.0,stretch_from
indian nation,colonial rule,1.0,integration_into
himalayan region,indian sub-continent,1.0,study_as_part_of
tibetan plateau,western himalayas,1.0,imbibe_features_from
caste,social formation of the region,1.0,be_used_to_understand
nineteenth century british writers,social division in the western himalayas,1.0,refer_to_as_caste
simla states,western himalayas,1.0,exist_hierarchy_of_social_status_in
brahmins and rajputs (kshatriyas),social status in the western himalayas,1.0,consist_of_upper_class
artisan elements,population of these parts,1.0,form_lower_strata_of
western himalayas,the plains,1.0,have_social_divisions_like
gerald d. berreman,there can be no doubt that we are dealing with a caste society,1.0,statement
berreman,"hindus of the himalayas, delhi, 1997",1.0,author
caste society,a caste society,1.0,description
himalayan brahmins,village menials,1.0,similarity
family and marriage ceremonies,do not differ much between the himalayan brahmins and the village menials,1.0,description
western himalayas,social formation,1.0,setting
caste,social organisation,1.0,category
caste institution,flexibility,1.0,qualification
purity,marker of caste distinction,1.0,relevance
western himalayan social organisation,adherence to the category of caste,1.0,description
himalayan peasants,caste,1.0,social_organisation
gangetic plain,social structure,1.0,comparison
researcher,possibility of a different social structure,1.0,warning
himalayan region,indian nation,1.0,integrate into
social features,successful integration,1.0,be markers of
western himalayas,plains of north india,1.0,differ from
british rule,local habitations,1.0,settle in
colonial empire,western himalayas,1.0,merge with
rebellions,local polity,1.0,be a central feature of
praja mandal movement,1930s-40s,1.0,emerge in
british rule,local processes,1.0,not disrupt
british rule,"local structures of economic, social and political power",1.0,not destroy
narrative method,in an attempt to draw readers into the world of the himalayan peasant,1.0,adopted
himalayan peasant,the nature of contact between the himalayan peasant and british rule,1.0,understand
colonialism,in this region,1.0,exemplify
physical world,that of the riparian plains,1.0,different from
himalayas,the transition from lineage to state,1.0,freeze in time
romila thapar,the north indian plains,1.0,describe
social formation,defined by a constant struggle between structures and agents,1.0,in a state of flux
colonial state,of this historical stage,1.0,enter and take control
british rule,with the emergent indian nation,1.0,provide the enabling conditions for the social and political integration
hill states,through the sanads,1.0,stabilisation of political relations with
sanads,establishment of the european 'hill stations',1.0,introduction of money and markets
european 'hill stations',the second category of enabling conditions,1.0,settlement of agricultural land and forests
schools and courts,"first with roads and then with newspapers, telegraphs, phones and railways",1.0,opening up of communications
people from other parts of the british indian raj,the western himalayas,1.0,increased travel to and extended residence in
western himalayas,the political takeover of punjab,1.0,importance_to
western himalayas,china and russia,1.0,provide_passages_to
british officials,the western himalayas,1.0,build_houses_in
simla,the british indian government,1.0,become_summer_seat_of
british rule,the western himalayas,1.0,impact_on_region
colonial history,british rule in the western himalayas,1.0,colour_nature_of
conquest of western himalayas,'extraneous' reasons,1.0,reason_for
british rule,the region's economy and political structure,1.0,initiate_unprecedented_changes
rebellions,himalayan peasants greeting changes in their life,1.0,primary_means_of
peasant rebellions,trying to identify the main features of peasant rebellions in the western himalayas,1.0,main_features_of
himalayan hill states,the british under pressure of rebellions,1.0,changing_relation_with
reform of himalayan family,with the specific indian society that was emerging under colonialism,1.0,primary_route_for_integration
social reforms,"marriage reforms, literacy, occupational structure, and popular theophany",1.0,study_pattern_of
independence movement,india,1.0,moment_of_final_integration_with
himachal pradesh,indian nation,1.0,formation
region's dominant social groups,indian nation,1.0,partners
british rule,regions' people with the indian nation,1.0,integration
market,the regions' people,1.0,extension
social reforms,the regions' people with the indian nation,1.0,success
praja mandal movements,the regions' people with the indian nation,1.0,success
himalayan proprietary peasant,arena of the indian nation,1.0,entry
western himalayas,himachal pradesh due to politics within the praja mandal in the 1940s,1.0,left out
the western himalayas,some form of equality and autonomy for its dominant groups in the form of a separate state of uttaranchal,1.0,managed to wrest
india,knowledge of the himalayas,1.0,have
india,perfunctory knowledge about the himalayas,1.0,remained
western himalayas,unique ecological niche of the south asian region,1.0,be
south asian region,various social and economic processes,1.0,have
british rule,western himalayas,1.0,consolidate
himalayas,land forms developed when earth strata are intensely folded,1.0,exhibit
himalayas,intermontane plateaux and large sized basins,1.0,lack
western himalayas,into three zones,1.0,divide
himalayas,by any river due to their altitude and youth,1.0,not cut through
river sutlej,form a valley,1.0,cut through
river sutlej,traders and others,1.0,provide access
simla,to the borders of tibet,1.0,need building of road
capt. singh,india: a regional geography,1.0,edit
gopal singh,a geography of india,1.0,write
s.c.bose,geography of the himalaya,1.0,write
joshi,"geography of himachal pradesh, india",1.0,write
bose,ibid,1.0,write
briggs,operations connected with the hindostan and thibet road,1.0,report on
himalayas,her majesty's public works department in india,1.0,provide barrier to
the western himalayas,into three main ranges,1.0,can be divided
these three physiographic divisions,in a north-westerly to south-easterly direction,1.0,run
the outer himalayas or the shiwaliks,the southern zone,1.0,are
these ranges,in altitude from the plains to the tibetan plateau,1.0,rise
the sutlej,through the great himalayan range,1.0,cuts
these mountain ranges and the transverse ridges,the basins for all the rivers of the western himalayas,1.0,form
each valley,isolated from the other and feeds its waters to its main drainage channel,1.0,remains
"g.c. barnes, commissioner and superintendent cis sutlej states",about bushahr state (bussahir) in the sutlej valley when he went there for the first time in 1859,1.0,wrote
george francis white,in 1836,1.0,published his travelogue along with prints of sketches of the himalayas
the hill villagers,"on almost every subject unconnected with their own little community, being often unacquainted with the names, or even the existence, of villages a few days journey from their own",1.0,betrayed
george francis white,india,1.0,views
himalaya mountains,the valleys,1.0,chiefly among
valleys,and have emerged as distinct cultural areas,1.0,have been settled by man
highland areas,providing few possibilities for agriculture or other human activity,1.0,remain only as water gaps
valleys,three categories,1.0,can be divided into three categories on the nature of their relief features and their capability of sustaining human settlements
first category of valleys,the areas under study,1.0,"are found only in the foothills of the himalayas and do not strictly come inside the himalayan region, but are important since they border it and have strong historical links with the areas under study"
second category of valleys,the middle himalayas,1.0,"are found along the middle himalayas and are strictly linear, with a reduced breadth and relatively steep gradients of the hills which encompass them"
third category of valleys,intensive agriculture combined with other economic activities,1.0,"are around minor hill torrents making culs-de-sac where small and isolated populations survive through intensive agriculture combined with other economic activities like pastoralism, trade, etc."
valleys of the middle and inner himalayas,precipices,1.0,show 'massive rocky outcrops and rugged precipices' while the valleys themselves are 'deeply incised'
captain thomas skinner,2 vols,1.0,"excursions in india, including a walk over the himalaya mountains"
g.c. barnes,the area's physical and cultural isolation,1.0,despair of enforcing a land settlement in cash
the climate,perfect,1.0,be
the british settlements,because,1.0,originate
almost all,on the top of the ridges in the middle himalayas,1.0,come up
the region,in the same latitudes as the mediterranean climatic zone of west asia,1.0,lie
the western himalayas,its winter precipitation as a consequence of depressions originating there,1.0,get
the sutlej valley,one of the more monetised of the regions of the western himalayas when the british arrived in 1815,1.0,be
the bhageerathi valley,due to the large number of hindu pilgrims who went to gangotri for many centuries,1.0,be
altitude and aspect,to be taken into consideration when discussing climate at any given spot,1.0,need
the region's climatic pattern,"the snowline, the limit of the glaciers, the limit of the monsoon, the relative altitude of the observer's position vis-à-vis the valley and the angle of the terrain towards the sun",1.0,be marked by
simla,"2,000 metres",1.0,altitude
snow,8 to 9 feet,1.0,height
weather pattern,the early nineteenth century till today,1.0,change in
deforestation,of this change in weather pattern,1.0,factor
altitudinal and topographical variations,all extra regional influences,1.0,modify
mountainous type of climate,more appropriately,1.0,generate
grasslands,this intermediate area,1.0,found in
western himalayas,monsoon rainfall,1.0,experience
rainfall,from the east towards the west,1.0,decrease
shiwaliks,the greatest rain,1.0,location of
lesser himalayas and great himalayas,the main ranges,1.0,south and east facing slopes of
monsoon clouds,these hills and large quantities of cloud gather there,1.0,hit
great himalayan range,the monsoon,1.0,barrier to
certain places,"clouds get trapped and thus, these places get quantitatively more rain than neighbouring areas in the vicinity",1.0,mountain topography is such that
valleys,in which it would not be uncommon to find snow,1.0,winter day not longer than a few fleeting hours
hill slope,at,1.0,higher altitude one may never encounter snow
shiwaliks and middle himalayas,in which there is usually,1.0,more rain and less snow due to more sun on the slopes that face the south
south facing slopes,since the winter sun hardens it and makes it more resistant to thawing,1.0,the snow stays longer in
a place,one also needs to take account of its,1.0,relative position vis-à-vis the valley and the ridge or mountain peak
gravity winds,"local site factors such as the location of ridges and valleys, the direction of the spur and even the shape of the mountain folds all contribute to the formation of the climate of any given spot in the western himalayas",1.0,"specific to each valley and, keeping all other factors in mind, it may be said that"
jakhu,much heavier snow,1.0,gets
town of simla,town,1.0,proper
villages in the valley below,snow,1.0,never ever get
region's soils,young and thin,1.0,are
region's soils,unstable,1.0,are
british administrators,the region's soils into three main categories,1.0,divided
three categories,"kiar, bakhal, and karali",1.0,were
kiar,the most fertile and well-irrigated land,1.0,was
bakhal,land near the homestead,1.0,was
karali,land that was either newly reclaimed waste or old soil which lay at some distance from the village,1.0,was
soil of the himalayan foothills,embedded with stones,1.0,is
mid and high hill soil,silty or clay loam,1.0,consists
areas beyond the great himalayan range,'high texture' variety and low in organic content,1.0,has
gazetteer of the simla hill states,"new delhi, 1995",1.0,was reprinted as
before the coming of the british,the greatest forests of the south asian subcontinent,1.0,had
forests,inaccessible to those who carried out the extensive forest clearing for settled agriculture during the iron age,1.0,were
natural vegetation of the region,with the climatic zone,1.0,varied
slopes along the big rivers and at the higher end of the mountains,covered with trees of various types,1.0,were
the trees of the western himalayas,two broad categories,1.0,can be classified into
deciduous forests,forests,1.0,are a type of
coniferous forests,forests,1.0,are a type of
the local population,"fuel wood, building material for houses, tools and implements",1.0,use as
the trees,leaves for grazing the cattle and herds of sheep and goats,1.0,provide
h. cleghorn,the forests of the punjab and the western himalaya,1.0,wrote a report about
lieut. george francis white,the local implements for cutting trees and working on wood,1.0,wrote an opus about
the british,timber for commercial forestry,1.0,use as a source of
broad leaf trees,"oak, sal, walnut, maple, horse chestnut, etc",1.0,mainly consist of
oak,commercial value,1.0,could not float in water and thus had no
the trees of the deciduous type,the people,1.0,were crucial to the livelihood of
the conifers,the forest department,1.0,are the preferred type for
pines and deodars,the hillmen to build houses and other structures,1.0,are used traditionally by
the forests,"the cattle, which had to stay close to the homestead for purposes of agriculture and milk",1.0,provided essential grazing to
many plants,the himalayas,1.0,were found in
some plants,the peasants for purposes of agriculture and human consumption,1.0,were domesticated by
"fruits like apple, apricot, mulberry, fig, pear, peach and green gage",to the people,1.0,grew wild and were known as edible
"strawberry, raspberry, currant and gooseberry",the people,1.0,were eaten by
western himalayas,implement,1.0,had human inhabitation since around late stone age
shiwalik foothills,period,1.0,found implements of which period
river valleys and hills,period,1.0,found implements of which period
hill state,basis,1.0,developed from trade in large river valleys
hillmen,geographical imperatives,1.0,engaged with their environment
western himalayas,people,1.0,had no one environmental context
stable human settlement,"at least two, and often, three ecological-climatic zones",1.0,gear itself towards economic activities
british rule,nuances of transformations,1.0,transformed historical social formations
travelogues,market in the british hill stations,1.0,comment on spread of fruit and vegetable cultivation
james baillie fraser,1815,1.0,introduced potato into the hills
thomas skinner,reference,1.0,"op.cit. vol 1, pg. 14"
one,british figures,1.0,should always be careful about
the first estimates of the population,right at the time of granting ‘sanads’,1.0,was made
bhajji hill state,"9,001 with an area of 96 square miles",1.0,is recorded as having a population
bhajji hill state,"9,000 in the ‘sanad’ of 1815 and similarly in figures from the begar register of 1855",1.0,remains
coldstream,"19,000 in the 1870s",1.0,is recorded as having a population
bhajji hill state,"12,106 and then at the turn of the century in the 1901 census figures it is recorded as 13,309",1.0,is recorded as having a population
denzil c.j. ibbetson,"of the punjab taken on the 17th of february, 1881",1.0,wrote a report on the census
w. coldstream,manuscript history of the punjab hill states,1.0,had personal papers in oioc
capt. briggs,appendix b,1.0,wrote an op.cit.
"gazetteer of the simla hill states, 1910",bhajji state,1.0,published information about
the population of the region,the entire period of british rule,1.0,did not show much change apart from a gradual secular increase over
sex ratio,for the present,1.0,is an important classification to be aware of
the density of population,in an economy with a negligible market,1.0,gives an indication of the maximum human population that the existing technology and knowledge could sustain in an economy with a negligible market
the sex ratio has been historically low,the entire punjab province and this phenomenon is also found in the western himalayas,1.0,is found in
female infanticide,among the ‘jut’ sikhs and among the hill rajpoots,1.0,was advanced as an explanation for the low sex ratio
sex ratio,cause,1.0,be
polyandrous family,origin,1.0,be
entire region,at any substantial rate,1.0,grow
nineteenth century,similar deficiencies,1.0,have
punjab hill states,sex ratio for the entire region,1.0,have
table 1.1,pubjab hill states (sex ratio),1.0,show
punjab hill states,gradual but definite secular trend,1.0,have
western himalayas,demographic pattern over the different climatic zones,1.0,have
human population,to the actual cultivated land,1.0,rise
"punjab census, 1881",figures,1.0,provide
r.l,the geography of the western himalayas,1.0,write
land,population,1.0,sustains_population
social relations,production patterns,1.0,changes_qualitatively
hill states,altitudinal-climatic zones,1.0,emerges_and_develops
human population,cattle population,1.0,incidence_of
fertile valleys,agriculture,1.0,supports
sub-himalaya and siwalik hills,pastoralism,1.0,supports
outer himalayas,trade,1.0,supports
community,labour,1.0,shares_resources
family,activities,1.0,participates_in
population,economic units,1.0,curtails
western himalayas,plains family,1.0,differs_from
family,polyandry,1.0,uses
kanet,"2,56,971",1.0,population
brahmin,"1,00,283",1.0,population
koli,"85,227",1.0,agricultural labour
chamar,"41,349",1.0,agriculture labour & menial
dagi,"32,682",1.0,agriculture labour & menial
dumna/dom,"25,916",1.0,agriculture labour & menial
gujar,"17,445",1.0,migratory pastoralists (muslim)
bhat,"13,318",1.0,category of hill bramhin
julaha,"13,236",1.0,mainly in lower hills
lohar,"11,902",1.0,menial ( some nagas)
gaddi,"11,177",1.0,pastoralists on great himalayan range
khatri,"7,788",1.0,"mainly in mandi, chamba, bilaspur"
tarkhan,"6,469",1.0,menial ( both khash & naga)
kumhar,"5,783",1.0,menial (mainly naga)
thori/turi,"3,072",1.0,"menial , temple attendant (naga)"
bohra,"3,054",1.0,immigrant trader caste
pujari,"2,454",1.0,low priests (naga)
banya,"2,081",1.0,lowhills (85% nahan & chamba)
chuhra,"1,896",1.0,menial
settlements,in the lower hills and the valleys,1.0,are found
homesteads,high winds,1.0,should not be exposed to
homesteads,landslips in the mountain slope overlooking,1.0,should not have
homesteads,a source of water which can be harnessed for irrigation,1.0,should not be too far from
homesteads,land which can be terraced into cultivable strips,1.0,should have
houses,those of the upper ‘castes’,1.0,are rarely together with
house plots,"parameters, by which house plots are selected",1.0,are selected based on
the situation,keep a check on the crops and is also safe from floods,1.0,provides the best location to
british settlements,the pattern of settlements,1.0,completely changed
agriculture,the most important component of the hill economy,1.0,has historically been
many 'inferior' crops,at this time,1.0,were also grown
tobacco and bhang,to the plains and to tibet,1.0,were sent
pastoralism,to the sustenance of,1.0,was central
the hill state,the individual polyandrous peasant family,1.0,but also
cultivable land,of the total land available,1.0,was a small percentage
the entire region,the brunt of commercial forestry for a century,1.0,had faced
large tracts of land,for cultivation due to,1.0,had been made potentially available
agriculture,one is engaged in,1.0,often happens that out of four brothers
the state,a third was previously required,1.0,required to give service for six months in a year
grass and forest undergrowth,at various times of the year,1.0,was available at all climatic zones
the himalayan peasant,them from one climatic zone to another,1.0,had to continually move
the herds,during winter,1.0,would be moved into the foothills and valleys
the herds,when the snow had melted there,1.0,would be taken up into the high mountains and meadows
the herds,as they moved up and down the mountains,1.0,would manure the cultivable land with their droppings
nomadic pastoralists,shiwalik foothills,1.0,travelled
gaddis,trans-himalayan regions,1.0,mainly travelled
gujars,lower and middle himalayas,1.0,moved
state,nomadic pastoral groups,1.0,had interest in
nomadic pastoralists,in cash and kind,1.0,paid tax
pastoralism,into an economic asset,1.0,converted
trade,overcoming barriers to communication,1.0,provided the impetus for
river valleys,the wall of mountains,1.0,provided the most natural gaps in
the valley of this river,the most important route,1.0,became
one single valley,entire trade and communication with the trans-himalayan region and tibet,1.0,could not sustain
travellers,low points of the mountain chains that came to be called 'passes',1.0,had to find
places,important junctions of routes on either side of the great himalayan range,1.0,became
settlements,these passes,1.0,catered to
these river valleys,the collaboration of people living in different climatic zones with each other and thus utilise their natural resources commonly,1.0,made possible
the river,"flat lands along its banks and water for irrigation, and by providing routes for communication",1.0,provided
mandi,the focus of this trade,1.0,became
these states,large tracts of agricultural and pastoral lands into a stable state system,1.0,used the trade network to integrate
the western himalayas,two central components of hill life,1.0,have provided
these wooden bridges,single long pine trunks thrown across the water channel,1.0,were
the monsoon,active,1.0,was
travel,in accordance with the seasons,1.0,had to be timed
the great himalayan range,the river valleys,1.0,divided
many river valleys,since they were difficult for mules or ponies to access,1.0,never became important as travel routes
high mountains,the river valleys and communication between them,1.0,divided
these valleys,as the basins of the respective rivers,1.0,should also be remembered
the sutlej valley,from rampur bashahr,1.0,had to be accessed by coming down to bilaspur in the siwaliks before ascending up to kullu
travel routes specific to each river valley,each such route had its specific pass at the point where it met the great himalayan range,1.0,developed over time
physical geography,interrelated aspects,1.0,considers
himalayas,parallel mountain ranges,1.0,has
shiwaliks,sub-tropical climate,1.0,has
middle himalayas,temperate and alpine climate,1.0,has
regions beyond great himalayan range,'cold desert' climate,1.0,have
himalayas,entire region,1.0,define
river valley,sub-regions,1.0,defines
human settlements,in relative isolation,1.0,developed
hill states,stable village communities and territorial,1.0,formed
western himalayas,river valleys,1.0,has
study,distinct regions of river valleys,1.0,should focus on
sutlej valley,one of the most important historical regions,1.0,has been
yamuna and ganga valleys,religions pilgrims brought strong influences,1.0,have features as found in
himalayas,unusual features as found in yamuna and ganga valleys,1.0,does not have
western himalayas,study of sutlej valley for comparison,1.0,will be confined to
political economy of the western himalayas,uniqueness of the western himalayan political economy,1.0,study
production,geography and demography,1.0,condition
forms of labour,various productive processes,1.0,study
begar labour,surplus appropriation,1.0,method
rent-in-kind,surplus appropriation,1.0,method
production,demographic and geographic constraints,1.0,intensification
monetisation,economic and spatial,1.0,exceptional marginality
women,total domestic labour,1.0,bear responsibility for
women,agricultural work,1.0,do large part of
women,sowing,1.0,take part in
women,harvesting,1.0,take part in
women,ploughing,1.0,also do at places
children,sowing and harvesting,1.0,used as additional labour during periods of intensive labour
people,the community's labour,1.0,had to be fed and looked after from the total produce of
"peasant rebellions, dumhs",new revenue system imposed new burdens,1.0,related to
women,sowing and ploughing,1.0,perform all kinds of agricultural labour except
women,family economy,1.0,continued working
high birth rate,labour,1.0,affected health
labour,infant nurturing,1.0,reduced capacity
population between 10-55,none specified,1.0,main labour force
sex ratio,872,1.0,was
kolis,agricultural labourers,1.0,were
settlements and gazetteers,"1/4, 1/5, 1/7 of their total population",1.0,put them
tenants,17.1 % of the population of the punjab hills,1.0,account for
non-family labour,heavy agricultural operations,1.0,provided by
community,"the limits of, first, the networks... and second, the natural resource base",1.0,can be defined as
village,between 200 to 1000 individuals,1.0,usual range of size
agricultural yields,the seed sown,1.0,were low in relation
agricultural yields,to the area of cultivable land,1.0,were low
agricultural work,building and maintaining terraces,1.0,involved
agricultural work,cutting irrigation water channels,1.0,involved
himalayan villages,the official documents,1.0,has no proper data on the size and composition
revenue administration,conveniences of revenue administration,1.0,was formed keeping in mind
kullu,irrigated rice,1.0,reported yield for
waziris rupi and saraj,rice,1.0,reported yield for
pastoral herds,adolescent children or the aged,1.0,was given to
hill state,begar,1.0,had demands on special occasions
artisan manufacture,for survival of non-productive members of the community,1.0,was used up
social labour,individual purposes,1.0,provided social labour for individual purposes
hill state,institutions like the hill state and the deity,1.0,used for developing forms of appropriation of social labour
labour of agricultural labourers,women and children,1.0,was of the latter type
labour of brothers in a polyandrous family,labor,1.0,was of the former type
labour of women and children,product,1.0,had lack of political control over its product
peasant family,land and other natural resources under its possession,1.0,controlled its product
peasant family,begar,1.0,had no control over
labour,social in nature,1.0,was not confined to the individual peasant family
labour,family,1.0,was_requisitioned
peasant families,labour,1.0,provided
clan,labour,1.0,provided
hill state,six months of one male member's labour per family,1.0,demanded
institutions,labour,1.0,demanded
individual,his own field or division of land,1.0,tilled
village,other villagers,1.0,aided
family,labour,1.0,gives
people of the village or phati,him,1.0,turn out to help
participants,at his expense,1.0,are fed
bhaichara,other members,1.0,is_requisitioned_from
"kolis, doms, dagis",beth (labour),1.0,provided
this agricultural labour,peasant landholders,1.0,was given to
this agricultural labour,individual families who had cultivable fields,1.0,was provided to
this agricultural labour,the royal family on its agricultural holdings which were called bassa,1.0,was given to
the system called bowara,"extra field labour is required, as for instance at harvest",1.0,is employed when
the first zamindar,"to help him, and gives them their food during the time they are employed",1.0,calls in all his neighbours
bethus,their masters who could transfer this bondage to others,1.0,were hereditarily attached to
payment for beth,chhak and a share in the harvest,1.0,was given through
bushahr,less land,1.0,held
punjab hill states agency,simla hill states/estates,1.0,policy regarding beth
mohan singh rathore,"h.p. university, simla",1.0,nineteenth century cis-sutlej hill states
jai deep negi,himachal pradesh,1.0,begar and beth system
phsa,"1939, bundle 19, no. 146",1.0,begar in the simla hill states
gazetteer of the simla hill states,"lahore, 1935, chapter 2b",1.0,baghal state
simla district gazetteer,"pg. census of india, 1911, op.cit., pg",1.0,"1904, lahore"
becoming india,artisan goods,1.0,manufacture
artisan groups,tools,1.0,work with
dominant village community,servile groups,1.0,control
village deity,servile groups,1.0,control
ruler of the tract,servile groups,1.0,control
western himalayas,"agriculture, pastoralism and domestic artisan manufacture",1.0,forms of production
himalayan economy,revenues of the hill state,1.0,contribute to
trade,pastoral and forest products for goods required by the pastoralists and peasants,1.0,exchange
himalayan villagers,resources not available within the village limits,1.0,have local level networks
settled agriculture,seventh century ad at least,1.0,practised
agricultural production,similar technology used in the entire region under consideration,1.0,organised
land,various families within the same village or lineage group,1.0,possessed by
peasant families,whose produce was not sufficient for their dietary needs,1.0,possess land
some families,land,1.0,had
agricultural labourers,regularly,1.0,employed
land,tenants,1.0,leased out
peasants,other peasants,1.0,became indebted
kullu,average size of land in the control of one family (3 acres),1.0,had
barnes,average amount of cultivation held by each ‘assamee’ (1.45 acres),1.0,gave
jubbal state,amount of land held on an average by the proprietary peasants (more than 12 acres),1.0,had
bushahr,average holding (a little more than six acres) in the early twentieth century,1.0,had
peasant families,some irrigated land and some well manured land near the homestead,1.0,had access to
beth labourers,holdings that were too large to be worked on by family labour,1.0,worked on
hill states,relatives of the ruler and other state officials,1.0,had a noticeable proportion of the agricultural land under the control
agricultural labour,maximum during summer,1.0,requirement
peasants,get two harvests between spring thawing and autumn snow,1.0,attempted
