Source,Relation,Target,Weight
tshong spyi,INFORM,lhasa about passage of goods,1
tibetan interests,REPRESENT,government,1
monasteries,PROVIDE,storage facilities,1
pilgrims,DONATE,salt and goods to monasteries,1
monks and lamas,INVOLVE,commercial transactions,1
amdowas,OFFER,"black salt, butter, wool, and sheep and yak skins",1
chinese merchants,BRING,"tea, silk, cotton, porcelain, and chinese salt",1
opium traffickers,COME TO,streets of zitsa degu and ngaba or barkham,1
the ma clan,POLITICAL_CONTROL,the province,1
ma qi,GOVERNOR,qinghai,1
ma bufang,CHIEFTAIN,amdo,1
the premis,ETHNIC_GROUP,tibeto-burman,1
salt pans of tsakalho,SUPPLIES_SALT,kham and the nearby extended eastern himalayan foothills,1
the water,IS EXTRACTED FROM,the wells,1
the wells,POURED INTO,salt pans,1
tsakalho,NAMED AFTER,the town,1
tsakalho,SUPPLIED TO,central and southern kham,1
tsakalho,SUPPLIED TO,himalayan areas,1
the salt from the wells,REACHED,chamdo,1
the salt from the wells,REACHED,tsawarong and zayul,1
the salt from the wells,REACHED,mishmi hills of present-day arunachal,1
the salt from the wells,REACHED,myanmar himalayas and nujiang,1
tsakalho salt pans,MET POINT FOR,caravans and traders,1
the view,IS BREATHTAKING FROM,above tsakalho,1
the accumulated brine,SHINES IN THE RIVER BED,from the sky,1
the salt pans,ARE ARRANGED IN TERRACES,on the banks with sticks and soil,1
the water,IS LEFT TO EVAPORATE IN,the heat of the sun,1
tibet,WAS ONCE COVERED BY AN OCEAN,underground saltwater lake,1
the underground saltwater lake,SUPPLIES THESE WELLS,through that past,1
the ponds,ARE LOCATED CLOSE TO,wells and terraces,1
water drawn from the wells,IS DEPOSITED FOR THREE DAYS,to increase salinity,1
these springs,GUSH THROUGH,cracks in the rocks,1
the soil,TAKES ON A PINKISH HUE WHEN THE WATER EVAPORATES,on this shore,1
terrain,HAS,salt pans,1
salt pans,IS COVERED BY,thin layer of sand,1
salt,IS INTENDED FOR,human consumption,1
salt,USED IN,preparation of tsampa and tibetan tea,1
high tsakalho,SITS ON TOP OF,salt flats of lower tsakalho,1
women,PERFORM,extraction of salt water from wells and collection of salt from terraces,1
naxi women,GO DOWN TO,wells,1
tibetan women,CARRY,buckets of salt water,1
red salt,IS DIFFERENT FROM,salt of pakistan and rock salt of bhutan,1
water,IS DEPOSITED,terraces,1
salt water,WILL BE,concentrated,1
salt,WILL PRODUCE,higher quality,1
water,IS TRANSPORTED,terraces,1
water,IS POURED THROUGH,wicker basket,1
salt,IS COLLECTED,first batch,1
salt,IS INTENDED FOR,human consumption (first collection),1
salt,IS USED FOR,animal consumption (second collection),1
salt,IS HIGHLY VALUED,highest purity and quality,1
men,ARE FORBIDDEN FROM BEING INVOLVED IN,salt production,1
art of salt making,HAS BEEN PASSED DOWN FROM,mother to daughter,1
person,CAN PRODUCE MORE THAN,50 kg of salt in one day,1
damyon,BELONG_TO,village,1
kawa karpo,MARRIED_TO,mianzumu,1
damyon,GO_TO,lhasa,1
dza chu,RISE_UP,banks,1
footsteps of the golden rooster,BECOME,saltwater wells of jada,1
footprints of the silver hen,BECOME,wells of lower tsakalho,1
gesar of ling,DEFEAT,naxi king qiangba,1
rawang people,DESCRIBE,route of their migration from tibet to northern myanmar,1
tsawarongba of menkung,BE_CALLED_BY,shawalong,1
salt springs near the rawang area,PRODUCE,zipìp shălaq 'sand-coarse-salt',1
tsakalho,BE_TURNED_INTO_A_COVETED_TARGET_FOR,various powers deployed on the borderlands,1
damyon,ORIGIN,naxi,1
li-hua ying,COMMENTATOR,none,1
john studley,COMMENTATOR,none,1
katia buffetrille,COMMENTATOR,none,1
jan salick,COMMENTATOR,none,1
bob moseley,COMMENTATOR,none,1
jim goodman,COMMENTATOR,none,1
brendan galipeau,COMMENTATOR,none,1
tsakalho,UNDER JURISDICTION OF,bathang,1
naxi kingdom,RULED BY,mu family,1
bathang,PAID TAXES TO,mu of lijiang,1
qing armies,OCCUPIED,bathang,1
sichuan,PASSED INTO HANDS OF,none,1
bathang khampa chiefs,EXERCISED INFLUENCE BY,none,1
gelukpa monasteries,EXERCISED INFLUENCE BY,none,1
bathang principality,INCLUDED IN TERRITORY OF,none,1
dzunghar mongols,MILITARY CAMPAIGN AGAINST,qing armies,1
local khampa and naxi traders,BENEFITED FROM,profits generated by salt production,1
french catholic missionaries,JOINED THE RACE FOR INFLUENCE ON THE FRONTIER,the frontier,1
the missions étrangères de paris,SETTLED IN,bathang,1
the missions étrangères de paris,BOUGHT,the great monastery of ba chode,1
qing dynasty,GRANTED THE TITLE OF TUSI TO,hereditary local chiefs of kham,1
zhao erfeng,SENT FROM CHENGDU TO RESTORE ORDER IN,bathang,1
qing officer,CHARACTERIZED BY THE EXTREME CRUELTY OF HIS METHODS,his methods,1
zhao erfeng,LAUNCHED A RELENTLESS MILITARY CAMPAIGN AGAINST,tibet,1
zhao erfeng,PROMOTED THE TRANSFER OF CHINESE SETTLERS TO,kham,1
zhao erfeng,ESTABLISHED A SALT TAX OFFICE IN,tsakalho,1
zhao,ENACTED,heavy fines,1
naxis,KNOWN AS,mossos,1
lhagong monks,ALLIED WITH,local khampa,1
zhao's soldiers,TOOK OVER,monastery,1
zhao,PRIVATIZED,collection of salt taxes,1
qing dynasty,DECLINED,1911,1
zhao erfeng,CAPTURED AND BEHEADED,chinese republican forces,1
sino-tibetan wars,REQUIRED MEDIATION OF,british consul and american missionary,1
tsakalho,WAS WITHIN BORDERS OF,tibet,1
republic of china,ESTABLISHED PROVINCE OF,xikang,1
lhasa government,CONTROLLED,salt pans,1
communist army,ARRIVED IN,1950,1
men,COLLABORATED BY,collecting firewood and engaging in small businesses,1
men,TRANSPORTED,salt to places,1
khampa herders,COME,tsakalho,1
drokpas,BUY,yak butter,1
shepherds,TRADE,jada family,1
long-distance caravans,TRAVEL,tea horse road,1
pilgrims,COME,tsakalho,1
buddhist devotees,ACQUIRE,tsakalho salt,1
nomads,GO,salt pans,1
common salt,IS NOT,bread,1
common salt,IS NOT,opium,1
extreme scarcity of salt,MADE,the most valuable commodity for trade,1
iodine,WAS DEFICIENT IN DUE TO INSUFFICIENT SALT INTAKE,goiter,1
tsakalho salt,REACHED,many areas of southeastern tibet and the eastern tip of the himalayas,1
communities owning salt wells,HELD,central political positions in the network of inter-group relations,1
naxi and tibetan traders,EXCHANGED,"the precious salt from the salt pans for herbs, agricultural products and cloth",1
agents of the naxi tusi,SET A HIGH PRICE FOR THE GOODS AND SOMETIMES IMPOSED THEIR EXCHANGE,"for medicinal plants, grain, gold and textiles to the tribal communities",1
pilgrims,VISIT A CAVE CONTAINING THREE SPONTANEOUSLY 'SELF-GENERATED' FIGURES ON THE ROCK,"precisely songtsen gampo and his wives, the chinese and nepalese princesses",1
locals,SUFFERED EXPLOITATION BY,traders,1
mishmi hills tibetan and chinese traders,"CROSSED THE PASSES OF THE UPPER DIBANG BASIN, OR THE BORDER OF THE LOHIT OR ZAYUL CHU VALLEY",exchanging,1
tibetan and chinese traders,EXCHANGED,"precious salt, tibetan swords, coarse woolen cloaks and copper pots for mishmee-teeta, musk, bear skins and other jungle products",1
zakhrings/meyors of walong,PURCHASED SALT FROM,the tibetan side of the border,1
adis who crossed the doshong la,OBTAINED SALT FROM,the nakchu lakes,1
pe customs house,"COLLECTED THE RICE, CORN AND CANE AND DISTRIBUTED THE SALT IN EXCHANGE",tibetan official,1
king of powo or kanam depa,COLLECTED THE TAX SET FOR HIS LORD,a representative,1
apa tanis,"MANUFACTURED THEIR OWN 'SALT', THE TAPYO",obtained from the ashes produced by burning a cane that grows in the rice fields,1
nyihsi middlemen,OBTAINED SALT FROM,tibetan,1
apa tanis,GREATLY REDUCED THEIR DEPENDENCE ON,nyishi middlemen,1
chinese administration,EXTENDED OVER THE DALAI LAMA'S TERRITORY,"drastically changed the exploitation of salt, and especially its trade with the southern slope of the himalayas",1
himalayan border,WAS SEALED,cutting off the transnational salt trade and eroding the netsang trade friendship relations between fictive kin on both sides of the border,1
ma bufang,FELL,the proclamation of the new people's republic of china in 1949,1
local administration,BEGAN TO MANAGE THE MERCHANDISE OF SEVERAL LOCAL PRODUCERS WITH PERSONNEL TRANSFERRED FROM THE SALT OFFICES OF SHANXI AND SHAANXI AS WELL AS BROUGHT IN FROM XINING,major changes were experienced,1
tsaidam region,"GREW FROM ABOUT 16,000 INHABITANTS (MOSTLY MONGOLIAN AND TIBETAN) TO ABOUT 250,000 (MOSTLY HAN CHINESE)",in just the first ten years after the establishment of the chinese communist regime,1
maoist troops,INVADED,tsaikalho in 1950,1
local administration,CAME UNDER THE CONTROL OF,the exploitation of the wells,1
system of 'popular communes',"WAS IMPOSED IN AGRICULTURAL, LIVESTOCK AND MINING PRODUCTION",in the 1960s,1
harvesting,GAVE WAY TO,the exploitation of lakes and salt pans,1
communes of men and women working for the state,EXPLOITED,lakes and salt pans,1
local governments,WORKED FOR,men and women,1
individuals or family groups,EXTRACTED SALT,individually or in small family groups,1
state,WAS WORKING FOR,local governments,1
certain political opening,ALLOWED GREATER FLEXIBILITY AT,some border crossings,1
himalayan areas,RECOVERED AT LEAST PART OF THEIR OLD TRADE,in the 1980s,1
traditional saltmen,WERE ALLOWED TO RESUME THEIR TRADITIONAL ACTIVITY,of extracting and selling salt,1
people of tsakalho,OBTAINED MORE PROFIT FROM THE SALT THEY WORKED,when the government approved their right to produce and sell salt autonomously,1
government,APPROVED THEIR RIGHT TO PRODUCE AND SELL SALT AUTONOMOUSLY,people of tsakalho,1
salt flourished again,WITH,liberalized production,1
streets of tsakalho,REGAINED SOME OF THEIR FORMER DYNAMISM,when the sale of salt flourished again,1
lim i and upper humla,WERE ALLOWED TO MAINTAIN THE TRANSNATIONAL SALT-GRAIN TRADE,exceptionally,1
"wallung, in northeastern nepal",FOUND NEW TRADING OPPORTUNITIES,after the gradual opening of the nepal-tibet border since the mid-1960s,1
chinese companies with modern machinery,SPREAD,industrial exploitation of the salt lakes,1
salt mines,CONTINUED TO EXTRACT SALT,in the southeast,1
end of the 2000s,"PRODUCED ABOUT 150,000 KG OF SALT",in tsakalho,1
tibetan salt,REPLACED BY,indian or nepalese iodized salt,1
tibetan salt,LOST A SHARED SOCIAL SPHERE AND WEAKENED,their ancient cultural universe,1
products from china,ARRIVED BY TRUCK,the plateau,1
caravans,BROUGHT GOODS AND GENERATED SOCIAL AND CULTURAL RELATIONS,thus reducing the flow of goods,1
rupshu ladakhi nomads,REPRODUCED EARLIER PRACTICES TO EXTRACT SALT FROM IT,the tso kar (salt lake),1
himalayan peoples,ATTRIBUTED PROPERTIES AND MADE POSSIBLE A SMALL-SCALE TRADE TO SURVIVE,tibetan salt,1
caravans,"BROUGHT MOST COVETED GOODS SUCH AS CELL PHONES, TVS, DVDS, ETC.",the himalayas,1
china's economic strength,PLACED TRANS-HIMALAYAN TRADE IN THE NEW ASIAN ECONOMY,driven by beijing's quest for new markets,1
china's great western development strategy,FACILITATED AND MADE CHEAPER THE ARRIVAL OF PRODUCTS FROM CHINA,tibet,1
many roads to the himalayas,FACILITATES AND MAKES CHEAPER THE ARRIVAL OF PRODUCTS FROM CHINA,the himalayas,1
tsakalho,DECLARE,site of protected cultural relic,1
gyalthang,RENAME,shangrila county,1
three parallel rivers and meili snow mountain area,DECLARE,unesco world natural heritage site,1
chatreng,RENAME,shambhala,1
tibetan catholic villages,INHERIT,vineyards,1
ancient tea horse road,CLAIM,national cultural heritage,1
tibet,CONNECTION,people from different areas,1
trade routes,MAINTAIN,social ties,1
himalayan peoples,LINK,traditional tibetan society,1
new forms of exchange,TRANSMIT,economic power of china,1
developing populations of the himalayas,INCLUDE,new asian economic sphere dominated by china,1
salt pans,FRAME,tourist projects,1
current activity in the salt pans,SYMBOLIZE,chinese national pride,1
tsakalho salt pans,BECOME,stage for tourists,1
fan wen,WARN,danger of the salt-pans becoming a stage for tourists,1
nubri and tsum,LOCATION,nepal,1
the salt trips,LOCATION,tibet and the himalayas,1
mishmi hills,LOCATION,"arunachal pradesh, india",1
batang,LOCATION,sino-tibetan frontier,1
tibet,LOCATION,early qing,1
edmund leach's analysis,APPLICATION,kachin society,1
tsakhalho,SALT PRODUCTION,and the preservation of a catholic church,1
tibet journal,PUBLISHED_IN,the tibet journal,1
apatanis of arunachal pradesh,INHABITANTS_OF,arunachal pradesh,1
"saxer, martin",AUTHOR_OF,in and out of wallung,1
cross-currents e-journal,PUBLISHED_IN,september 2013,1
revue d’etudes tibétaines,PUBLISHED_IN,"new roads, old trades neighbouring china in nepal",1
dalai lama,SOVEREIGN_OF,1697,1
"chen, jinhua",EDITOR_OF,festschrift for koichi shinohara,1
"schrempf, mona",AUTHOR_OF,"from popular pilgrimage festival to state monastic performance - the politics of cultural production at gomphu kora, east bhutan",1
"ute, luig",EDITOR_OF,"sigley, gary. 'the ancient tea horse road. the politics of cul- tural heritage in southwest china'",1
"sigley, gary",AUTHOR_OF,"china heritage quarterly, no. 29, march 2012",1
tibet oral history project,CONDUCTED_BY,#39d – tashi samphel,1
"tsybikov, gombozhab",AUTHOR_OF,a buddhist pilgrim at the shrines of tibet,1
"van spengen, wim",AUTHOR_OF,tibetan border worlds: a geo-historical analysis of trade and traders,1
"von der heide, susanne",AUTHOR_OF,the thakalis of north western nepal,1
"wang, xiuyu",AUTHOR_OF,china's last imperial frontier: late qing expansion in sichuan's tibetan borderlands,1
"wangdi, kencho",AUTHOR_OF,laya: not quite a hidden land,1
caterpillar fungus production,SUSTAINABILITY,tibetan plateau,1
caterpillar fungus production,SUSTAINABILITY,himalayas,1
tibetan pastoralists,DEVELOPMENT,grassland livelihoods,1
ingo breuer,EDITING,tibetan pastoralists and development,1
andreas gruschke,EDITING,tibetan pastoralists and development,1
northern myanmar enclave,EXPLORATION,china,1
tibet's last caravan,TRANSPORTING SALT,iii,1
salt language,CARAVAN,transporting salt iii,1
yanbing ancient salt fields,LOCATION,"markam county, chamdo",1
li-hua ying,EDITING,mapping shangrila,1
chris coggins,EDITING,mapping shangrila,1
