Source,Relation,Target,Weight
lhasa,INFORM,the passage of tsaidam salt and amdo wool to the chinese lowlands,1
sichuan grain and tea,PASSAGE,nomadic interior regions,1
transactions,CONDITIONS,powers involved in them,1
tibetan interests,REPRESENT,procuring goods for his government,1
merchants,USE,buddhist pilgrimage routes to do business,1
monasteries,PROVIDE,storage facilities for the merchants,1
pilgrims,DONATE,"salt, which they traded in the gansu and sichuan markets",1
amdowas,OFFER,"salt, butter, wool, sheep, and yak skins in their markets",1
chinese merchants,BRING,"tea, silk, cotton, and porcelain to exchange for salt, grain, and textiles",1
han and hui businessmen,DOMINATE,the opium trade in amdo,1
tibetan businessmen,INVOLVE,in the opium trade,1
ma clan,CONTROL,the salt trade and govern the province with an iron fist,1
qing empire,REESTABLISH,the salt bureau in 1907-1908,1
ma qi,BECOME,the first qinghai governor of the ma family in 1915,1
yanjing,SUPPLIED,salt,1
amdo mongols,DESCENDED,mongol oirat polity,1
qing administration,ESTABLISHED,salt bureau,1
ma bufang,STOOD OUT FOR,cruelty with the tibetans,1
washul clan,ENCOUNTERED RESISTANCE FROM,ma bufang's conquest,1
premis,LIVING IN,muli and southeastern kham,1
salt,WAS A HIGHLY SOUGHT-AFTER COMMODITY IN THIS AREA,none,1
tsakalho,PRODUCED,salt,1
changtang salt lakes,SUPPLIED,central and southern kham and its adjacent himalayan areas,1
nakchu and tsaidam,EXTRACTED FROM,lakes,1
caravans and traders,MET AT,salt pans,1
stone wells,PROTECTED,salt water,1
desgodins,LISTS,fifteen wells,1
tibet,WAS ONCE COVERED BY,ocean,1
underground saltwater lake,SUPPLIES,these wells,1
terraces,ARE LOCATED UNDER,wells and ponds,1
stuart blackburn,COINED THE CONCEPT,extended eastern himalayas,1
toni huber,DEVELOPED TOGETHER WITH,the concept extended eastern himalayas,1
sikkim,ADDS TO,"present-day arunachal pradesh, the burmese region of hkakabo razi, northwestern yunnan province, and the strip of tibetan territory contiguous to the north",1
tibetans,CONSIDER,these springs a gift from the gods,1
jada,LIES ON THE RIGHT BANK,west of the river,1
soil,IS,clayey,1
lower tsakalho,IS LOCATED ON THE OPPOSITE SHORE,to the east,1
naxi ethnicity,THE INHABITANTS ARE MOSTLY OF,although they are partially tibetanized,1
high tsakalho,SITS ON TOP OF,the salt flats of lower tsakalho,1
ladder,THEY DESCEND DOWN WITH,to load their buckets with salt water,1
water,TRANSPORTED,terraces,1
water,EVAPORATE,salt pan,1
salt,COLLECTED,human consumption,1
salt,USED,animal consumption,1
water,FILTERED,terraces,1
salt,FORMED,stalactites,1
men,FORBIDDEN,salt production,1
art of salt making,PASSED DOWN,mother to daughter,1
person,PRODUCE,50 kg of salt per day,1
damyon,STOOD,in front of the village,1
dza chu,FLOODED,banks,1
kawa karpo,MARRIED TO,female deity,1
gesar of ling,DEFEATED,naxi king qiangba,1
tsa-kalho,PRODUCES,salt,1
tsakalho's domain,WAS A COVETED TARGET FOR,various powers deployed on the borderlands,1
8th century,WAS A NOTABLE COMMERCIAL NODE CONNECTING,tibetan empire with the flourishing kingdom of nanzhao,1
damyon,IS ITSELF A FEMALE DEITY TO,tsakalho people,1
"li-hua ying, john studley, katia buffetrille, jan salick, bob moseley, jim goodman, and brendan galipeau",GAVE COMMENTS,"personal communications march 6-14, 2021",1
zhao yuanzhi,WROTE ABOUT,salt well town on the 'roof of the world' in 2006,1
yanjing ancient salt fields in markam county,WAS AN IMPORTANT SALT CENTER IN THE REGION,as well as an obligatory passage for yunnan tea on its way to lhasa,1
naxi kingdom ruled by the mu family from jang sadam (lijiang),EXPANDED NORTHWARD TO,bathang and lithang,1
tsakalho,CAME UNDER THE JURISDICTION OF,bathang,1
bathang,PAID TAXES TO THE MU OF LIJIANG,during the transitional period from the ming to the qing dynasty in china,1
depas or local chiefs,HELD THE TITLE OF TUSI AND RULED,"bathang, one of the semi-independent political entities of eastern kham",1
locals,HAD TO PROVIDE OFFICIALS WITH LODGING AND SUSTENANCE FOR THREE MONTHS A YEAR,and transport the salt themselves to bathang,1
revenues,WERE,in the hands of these bathang depa,1
local khampa and naxi traders,BENEFITTED FROM A SMALL PART,the profits generated by salt production,1
ba chode,WAS THE MAIN AND MOST POWERFUL MONASTERY,in the region,1
qing dynasty,GRANTED THE TITLE OF TUSI TO THE HEREDITARY LOCAL CHIEFS OF KHAM,to show nominal control over the area,1
zhao erfeng,WAS SENT FROM CHENGDU TO BATHANG IN JUNE 1905,to restore order,1
zhao,ATTACK,monastery,1
zhao,JUSTIFY,attack,1
zhao,ENACT,fines,1
zhao,PRIVATIZE,salt taxes,1
zhao,INCREASE,tax burden on grain,1
wang huitong,SET OUT TO END,missionaries' privileges,1
qing dynasty,FALL,none,1
zhao erfeng,BE CAPTURED AND BEHEADED,chinese republican forces,1
tibetan army,SKIRMISH,chinese nationalist troops,1
sichuan and yunnan,OCCUPY,tsakalho,1
khampa autonomists,ALLY WITH,monastic elites,1
british consul in dartsedo,MEDIATE,sino-tibetan wars,1
american missionary marion duncan,MEDIATE,sino-tibetan wars,1
tsakalho,BE WITHIN BORDERS OF,tibet,1
republic of china,ESTABLISH PROVINCE OF XIKANG,none,1
communist army,ARRIVE,lhasa government,1
tsakalho,LOCATION,tibet,1
caravans,CONSIST_OF,horses and mules,1
salt trips,REACH,towns,1
caravans,CROSS,mighty rivers,1
khampa herders,COME,tsakalho,1
drokpas,NEED,red salt of jada,1
shepherds,BUY,yak butter,1
long-distance caravans,TRAVEL,tea horse road,1
buddhist devotees,ARRIVE,tsakalho,1
pilgrims,VISIT,kawa karpo mountain,1
vairocana,BELIEVED TO HAVE BEEN CARVED BY,the chinese princess wengchen,1
common salt,IS NOT,"bread, nor opium either",1
pre-modern times,MADE THIS PRODUCT PROBABLY THE MOST VALUABLE COMMODITY FOR,trade,1
southeastern tibetans and tibeto-burman-speaking groups,HAD CASES OF GOITER DUE TO INSUFFICIENT SALT INTAKE CAUSING,iodine deficiency in diet,1
communities owning salt wells,HELD CENTRAL POLITICAL POSITIONS IN THE NETWORK OF INTER-GROUP RELATIONS,with respect to lowland kingdoms but also with regard to neighboring hill peoples,1
naxi and tibetan traders,EXCHANGED THE PRECIOUS SALT FROM THE SALT PANS FOR,"herbs, agricultural products and cloth",1
locals,EXPLOITATION,traders,1
tibetan and chinese traders and small groups of mishmis,EXCHANGING,"precious salt, tibetan swords, coarse woolen cloaks and copper pots for medicinal plant mishmee-teeta, musk, bear skins and other jungle products",1
zakhrings/meyors of walong,PURCHASED,salt from tibetan side of the border,1
adis who crossed the doshong la,OBTAINED,salt from nakchu lakes,1
tibetan official,COLLECTED,"rice, corn and cane",1
representative of the king of powo or kanam depa,COLLECTED,tax set for his lord,1
apa tanis,MANUFACTURED,tapyo (salt) from ashes produced by burning cane that grows in the rice fields,1
chinese administration,EXTENDED,dalai lama's territory,1
salt,BE_EXTRACTED,locally,1
local governments,WORK_WITH,saltmen,1
traditional saltmen,RESUME_ACTIVITY,trucks,1
people of tsakalho,OBTAIN_PROFIT_FROM,salt production,1
government,APPROVE_RIGHT_TO_PRODUCE_AND_SELL,salt autonomously,1
sale of salt,FLOURISH_AGAIN,streets of tsakalho,1
limi and upper humla,MAINTAIN_TRADE_WITH,nepal-tibet border,1
"wallung, nepal",FIND_NEW_TRADING_OPPORTUNITIES_WITH,tibet-nepal border,1
chinese companies,INDUSTRIALLY_EXPLOIT,salt lakes,1
tsakalho,PRODUCE_SALT,"150,000 kg (per year)",1
caravans and small-scale salt trade,SUBSIST_TODAY_IN_SOME_PARTS_OF,himalayas,1
caravaneers trading salt,ESTABLISH_COMMERCIAL_ALLIANCES_WITH,clients,1
social and cultural links,WEAKEN_PROGRESSIVELY,himalayan peoples,1
rupshu ladakhi nomads,TOOK ADVANTAGE,the opportunity,1
himalayan caravans,GENERATED,new social and cultural impact,1
some,RE-PRODUCED,earlier practices to extract salt from,1
himalayan peoples,ATTRIBUTE,to it properties they attribute,1
caravans,BRING,chinese manufactured goods,1
salt pans,IS BEING RELOCATED,in tourist exploitation projects in the area aimed at the increasing chinese population,1
tsakalho,FITS PERFECTLY IN,the 'greater shangrila' tourist circuit,1
three parallel rivers and meili snow mountain area,DECLARE,unesco world natural heritage site,1
chatreng,RENAME,shambhala,1
tibetan catholic villages,INHERIT,vineyards,1
"tibet autonomous region, yunnan and sichuan",BORDER,entire area,1
ancient tea horse road,CLAIM,national cultural heritage,1
trade and distribution of salt,EXERCISE,cohesive function,1
tibetan world,FUELED,sense of belonging,1
tibetan buddhism,FUNDAMENTAL POLE OF REFERENCE,lhasa,1
trade routes and nodes,REVITALIZE,cultural life of tibetan civilization,1
old caravan trade,REINFORCE,links of the himalayan peoples with traditional tibetan society,1
new forms of exchange,TRANSMIT,economic power of china and the attraction of its modernity,1
fan wen,WARNS,danger,1
tsakalho salt pans,ACT,symbolically,1
wim van spengen,HONOUR OF,anna balikci,1
blackburn,ESSAY IN HONOUR OF,"brauen, martin",1
gros,ED.,frontier tibet: patterns of change in the sino-tibetan borderlands,1
kunzang choden,FOOD AND SOCIETY,bhutan,1
northern tibet,NOMADS OF,changes in family material life,1
asian ethnology,"VOLUME 77, NUMBERS 1&2",pp.,1
yar-luṅ dynasty,CONTRIBUTION,myths and legends,1
tibet,ORIGIN,kings,1
lhasa,TRADE,kalimpong,1
sino-tibetan border-lands,POLITICS,economies and environments,1
arunachal pradesh,SOUTH-WESTERN SILK ROAD,context,1
tibetan nomadic trade,SYSTEM,sino-tibetan border market,1
stong 'khor / dan' gaer,MARKET,19th/20th century,1
studies on the history and literature of tibet and the himalaya,PUBLICATION,"vitali, roberto (ed.)",1
source of life,REVITALISATION,rites and bon shamans,1
bhutan and eastern himalayas,ETHNICITY,religion and state,1
sino-tibetan borderland,CONTESTING,yellow dragon,1
tibetans,STUDY,"history, myths, rituals and beliefs",1
hkamti long,EDGE OF THE WORLD,plant hunting,1
plant hunter's paradise,CHRISTIAAN 2006,publication,1
tibeto-burman 'pygmies',TALE,"proceedings of the tenth seminar of the iats, 2003",1
"koch, ulrike",VISUAL CULTURE OF EXPLORATION,acquisition of knowledge related to trade in tibet in the mid-19th century,1
"bischoff, jeannine and alice travers (eds.)",COMMERCE AND COMMUNITIES,social status and the exchange of goods in tibetan societies,1
an atlas of the himalayas by a 19th century tibetan lama,JOURNEY OF DISCOVERY,publication,1
"lazcano, santiago 1999",LAST SALT CARAVAN,the ancient trade route to tibet,1
"mckay, alex",SALT IN YAN-JING,crystal by women,1
himalayan salt trek,"ASIAN CORRIDOR IN HEAVEN, 5",publication,1
a himalayan border trilogy,POLITICS AND ECONOMIES OF TRANSPORT INFRASTRUCTURE AND DISASTER RELIEF,between china and nepal,1
mountains of goddess - 'damyon' in southeast tibet,PUBLICATION,"japanese alpine news, vol. 14",1
journal of bhutan studies,IN,volume,1
on the narrative of the killing of the evil yak and the discovery of salt in the chos-byung of nyang-ral,IN,s. tibetan studies: proceedings,1
"frontier process, provincial politics and movements for khampa autonomy during the republican period",IN,"epstein, lawrence (ed.): khams pa histories: visions of people, place and authority",1
tsakhalho: salt production and the preservation of a catholic church,IN,"china's tibet, 2008.4",1
alliances and power in central bhutan,IN,bulletin of tibetology 2009 vol.,1
distant neighbours either side of the omasi la: the zanskarpa and the bod communities of paldar,IN,"van beek, martijn and fernanda pirie (eds.): modern ladakh: anthropological perspectives on continuity and change",1
rockhill's travels in north-east tibet,IN,"proceedings of the royal geographical society and monthly record of geography, vol.",1
sangs rgyas tshe ring,IN,"asian highlands perspectives, 58",1
salt collection and trading in a mdo,IN,"asian highlands perspectives, 58",1
glossary of the 'government monastic and private taxation in tibet',IN,the tibet journal vol.,1
the story of tapyo: the alkaline salt substitute of the apatanis of arunachal pradesh,IN,"culture, agriculture, food and environment, volume 39, issue1",1
between china and nepal: trans-himalayan trade and the second life of development in upper humla,IN,"cross-currents e-journal, no 8, september 2013",1
"new roads, old trades neighbouring china in nepal",IN,revue d’etudes tibétaines,1
the tea-horse road,PROJECT,nationalist,1
tashi samphel,INTERVIEW,#39d,1
gombozhab tsybikov,AUTHOR,tibetan border worlds,1
wim van spengen,AUTHOR,tibetan border worlds,1
thakalis,GROUP,north western nepal,1
china,IMPERIAL FRONTIER,late qing expansion,1
laya,PLACE,hidden land,1
tibetans,PEOPLE,salt trips in tibet and the himalayas,1
camels,ANIMAL,salt trips in tibet and the himalayas,1
yurts,STRUCTURE,salt trips in tibet and the himalayas,1
sing-ing,ACTIVITY,to the salt goddesses,1
caterpillar fungus production,TOPIC,sustainability on the tibetan plateau and in the himalayas,1
tibetan pastoralists,GROUP,development - negotiating the future of grassland livelihoods,1
china exploration & research society (cers),ORGANIZATION,newsletter,1
