subject,relation,object,sentence,doc_id
routes,leave,times,"In pre-modern times (before 1950 and the Chinese administration), many routes left the solitary nomadic camps of the Changthang to- wards the high mountain passes of the south.",block_43
routes,leave,times,"In pre-modern times (before 1950 and the Chinese administration), many routes left the solitary nomadic camps of the Changthang to- wards the high mountain passes of the south.",block_44
caravan,cross,them,"the caravan crossed them, and on the back of mules and yaks, the precious merchandise reached as far away as Baltistan, Ladakh, Zanskar, Spiti, Kinnaur, Garwhal, Kumaon, the middle hills of...",block_44
merchandise,reach,back,"the caravan crossed them, and on the back of mules and yaks, the precious merchandise reached as far away as Baltistan, Ladakh, Zanskar, Spiti, Kinnaur, Garwhal, Kumaon, the middle hills of...",block_44
caravan,cross,them,"the caravan crossed them, and on the back of mules and yaks, the precious merchandise reached as far away as Baltistan, Ladakh, Zanskar, Spiti, Kinnaur, Garwhal, Kumaon, the middle hills of Nepal, Sikkim, Bhutan and Monyul.",block_45
merchandise,reach,back,"the caravan crossed them, and on the back of mules and yaks, the precious merchandise reached as far away as Baltistan, Ladakh, Zanskar, Spiti, Kinnaur, Garwhal, Kumaon, the middle hills of Nepal, Sikkim, Bhutan and Monyul.",block_45
government,station,centres,"Taxes and intermediaries The Ganden Phodrang government stationed officials at crucial points along the southern routes to collect taxes from these traders, usually in the population centres that they passed through or on the banks of the rivers that were to be crossed.",block_45
they,pass,that,"Taxes and intermediaries The Ganden Phodrang government stationed officials at crucial points along the southern routes to collect taxes from these traders, usually in the population centres that they passed through or on the banks of the rivers that were to be crossed.",block_45
caravan,cross,them,"...animals (bandits, wild animals, precipices and terrible temperatures) the caravan crossed them, and on the back of mules and yaks, the precious merchandise reached as far away as Baltistan, Ladakh, Zanskar, Spiti, Kinnaur, Garwhal, Kumaon, the middle hills of Nepal, Sikkim, Bhutan and Monyul.",block_46
merchandise,reach,back,"...animals (bandits, wild animals, precipices and terrible temperatures) the caravan crossed them, and on the back of mules and yaks, the precious merchandise reached as far away as Baltistan, Ladakh, Zanskar, Spiti, Kinnaur, Garwhal, Kumaon, the middle hills of Nepal, Sikkim, Bhutan and Monyul.",block_46
government,station,centres,"Taxes and intermediaries The Ganden Phodrang government stationed officials at crucial points along the southern routes to collect taxes from these traders, usually in the population centres that they passed through or on the banks of the rivers that were to be crossed.",block_46
they,pass,that,"Taxes and intermediaries The Ganden Phodrang government stationed officials at crucial points along the southern routes to collect taxes from these traders, usually in the population centres that they passed through or on the banks of the rivers that were to be crossed.",block_46
revue,d’etude,tibétaines,"...These traders were generically Revue d’Etudes Tibétaines 74 referred to as Bhotias, that is, culturally and linguistically Tibetan groups living on the Indian, Nepalese or Bhutanese side of the bor- der.",block_47
bhotias,act,intermediaries,"These Bhotias acted as intermediaries with the peoples further south, and it was they who brought the salt to Kashmir and the Him- alayan midlands.4 Both among the Drokpas and Bhotias, and be-",block_47
who,bring,salt,"These Bhotias acted as intermediaries with the peoples further south, and it was they who brought the salt to Kashmir and the Him- alayan midlands.4 Both among the Drokpas and Bhotias, and be-",block_47
bhotias,act,intermediaries,"These Bhotias acted as intermediaries with the peoples further south, and it was they who brought the salt to Kashmir and the Him- alayan midlands.4 Both among the Drokpas and Bhotias, and be-",block_48
who,bring,salt,"These Bhotias acted as intermediaries with the peoples further south, and it was they who brought the salt to Kashmir and the Him- alayan midlands.4 Both among the Drokpas and Bhotias, and be-",block_48
nomads,have,agreement,Only in one case were those coming from across the border allowed to collect their own salt: the nomads of the Rupshu (western end of the Changthang Plateau entering Ladakh) had an agreement with the Tibetan government that allowed them to collect on Mim- dum and Gyaltse lakes.,block_50
them,collect,lakes,Only in one case were those coming from across the border allowed to collect their own salt: the nomads of the Rupshu (western end of the Changthang Plateau entering Ladakh) had an agreement with the Tibetan government that allowed them to collect on Mim- dum and Gyaltse lakes.,block_50
nomads,have,agreement,Only in one case were those coming from across the border allowed to collect their own salt: the nomads of the Rupshu (western end of the Changthang Plateau entering Ladakh) had an agreement with the Tibetan government that allowed them to collect on Mim- dum and Gyaltse lakes.,block_51
them,collect,lakes,Only in one case were those coming from across the border allowed to collect their own salt: the nomads of the Rupshu (western end of the Changthang Plateau entering Ladakh) had an agreement with the Tibetan government that allowed them to collect on Mim- dum and Gyaltse lakes.,block_51
changpas,pay,tax,"The leave was granted by an official in Ruthok in favor of the goba (chief) of Rupshu, and the Changpas or Rupshupas also paid the tax on the collected salt to the Government of Tibet.",block_51
nomads,have,agreement,...coming from across the border allowed to collect their own salt: the nomads of the Rupshu (western end of the Changthang Plateau entering Ladakh) had an agreement with the Tibetan government that allowed them to collect on Mim- dum and Gyaltse lakes.,block_52
them,collect,lakes,...coming from across the border allowed to collect their own salt: the nomads of the Rupshu (western end of the Changthang Plateau entering Ladakh) had an agreement with the Tibetan government that allowed them to collect on Mim- dum and Gyaltse lakes.,block_52
changpas,pay,tax,"The leave was granted by an official in Ruthok in favor of the goba (chief) of Rupshu, and the Changpas or Rupshupas also paid the tax on the collected salt to the Government of Tibet.",block_52
nomads,have,agreement,...allowed to collect their own salt: the nomads of the Rupshu (western end of the Changthang Plateau entering Ladakh) had an agreement with the Tibetan government that allowed them to collect on Mim- dum and Gyaltse lakes.,block_53
them,collect,lakes,...allowed to collect their own salt: the nomads of the Rupshu (western end of the Changthang Plateau entering Ladakh) had an agreement with the Tibetan government that allowed them to collect on Mim- dum and Gyaltse lakes.,block_53
changpas,pay,tax,"The leave was granted by an official in Ruthok in favor of the goba (chief) of Rupshu, and the Changpas or Rupshupas also paid the tax on the collected salt to the Government of Tibet.",block_53
them,collect,lakes,...of the Rupshu (western end of the Changthang Plateau entering Ladakh) had an agreement with the Tibetan government that allowed them to collect on Mim- dum and Gyaltse lakes.,block_54
changpas,pay,tax,"The leave was granted by an official in Ruthok in favor of the goba (chief) of Rupshu, and the Changpas or Rupshupas also paid the tax on the collected salt to the Government of Tibet.",block_54
officials,wait,crossings,"Along the banks of the sprawling Yarlung Tsangpo the tsasho,5 or salt tax collecting officials, waited patiently at the ferry crossings that nomads would necessarily have to cross to reach the Himalayan but-",block_54
changpas,pay,official,"...by an official in Ruthok in favor of the goba (chief) of Rupshu, and the Changpas or Rupshupas also paid the tax on the collected salt to the Government of Tibet.",block_55
officials,wait,crossings,"Along the banks of the sprawling Yarlung Tsangpo the tsasho,5 or salt tax collecting officials, waited patiently at the ferry crossings that nomads would necessarily have to cross to reach the Himalayan but-",block_55
state,collect,tax,"In Nepal, the income from the salt trade was very high and the Nepalese state also collected a tax through...",block_55
who,receive,nomads,"In Zan- skar, for example, the Zanskaris (who received the Tibetan salt from the Rupshu nomads) exchanged it with the Bods of Paldar, and the Bods in turn with the Pa- haris, with a consequent increase in the price of the product.",block_56
zanskaris,exchange,bods,"In Zan- skar, for example, the Zanskaris (who received the Tibetan salt from the Rupshu nomads) exchanged it with the Bods of Paldar, and the Bods in turn with the Pa- haris, with a consequent increase in the price of the product.",block_56
who,receive,nomads,"In Zan- skar, for example, the Zanskaris (who received the Tibetan salt from the Rupshu nomads) exchanged it with the Bods of Paldar, and the Bods in turn with the Pa- haris, with a consequent increase in the price of the product.",block_57
zanskaris,exchange,bods,"In Zan- skar, for example, the Zanskaris (who received the Tibetan salt from the Rupshu nomads) exchanged it with the Bods of Paldar, and the Bods in turn with the Pa- haris, with a consequent increase in the price of the product.",block_57
nomads,exchange,bods,"...the Rupshu nomads) exchanged it with the Bods of Paldar, and the Bods in turn with the Pa- haris, with a consequent increase in the price of the product.",block_58
people,carry,purang,"In Purang under the holy Kailash and next to Lake Manasarovar, people from distant Kinnaur, Bhotias of Garwhal and Kumaon, Limiwas, Humlis and Mugulis, carried the salt to take it through the high steps to their homes, keep some and resell the rest in more dis-",block_61
lobas,load,tradün,"In Tradün, the Lobas of Mustang also loaded the salt to carry it through the narrow canyon of the Kali Gandaki to the Hindu...",block_61
kinnaur,carry,salt,"...Kinnaur, Bhotias of Garwhal and Kumaon, Limiwas, Humlis and Mugulis, carried the salt to take it through the high steps to their homes, keep some and resell the rest in more dis-",block_62
lobas,load,tradün,"In Tradün, the Lobas of Mustang also loaded the salt to carry it through the narrow canyon of the Kali Gandaki to the Hindu villages of the middle region of Nepal.",block_62
langtangpas,collect,kyirong,"Further east, in Kyirong and Rongshar the Nubripas, Langtangpas and Sherpas collected the salt that would reach the eastern valleys of Nepal.",block_62
that,reach,valleys,"Further east, in Kyirong and Rongshar the Nubripas, Langtangpas and Sherpas collected the salt that would reach the eastern valleys of Nepal.",block_62
langtangpas,collect,kyirong,"Further east, in Kyirong and Rongshar the Nubripas, Langtangpas and Sherpas collected the salt that would reach the eastern valleys of Nepal.",block_63
that,reach,valleys,"Further east, in Kyirong and Rongshar the Nubripas, Langtangpas and Sherpas collected the salt that would reach the eastern valleys of Nepal.",block_63
salt,come,nakchu,"Further east of the Chumbi Valley the salt reaching Bhutan and Monyul was already coming from the easternmost part of the Changthang, from Nakchu and also from nearby Yamdrok tso.",block_63
langtangpas,collect,kyirong,"Further east, in Kyirong and Rongshar the Nubripas, Langtangpas and Sherpas collected the salt that would reach the eastern valleys of Nepal.",block_64
that,reach,valleys,"Further east, in Kyirong and Rongshar the Nubripas, Langtangpas and Sherpas collected the salt that would reach the eastern valleys of Nepal.",block_64
salt,come,nakchu,"Further east of the Chumbi Valley the salt reaching Bhutan and Monyul was already coming from the easternmost part of the Changthang, from Nakchu and also from nearby Yamdrok tso.",block_64
langtangpas,collect,kyirong,"...east, in Kyirong and Rongshar the Nubripas, Langtangpas and Sherpas collected the salt that would reach the eastern valleys of Nepal.",block_65
that,reach,valleys,"...east, in Kyirong and Rongshar the Nubripas, Langtangpas and Sherpas collected the salt that would reach the eastern valleys of Nepal.",block_65
salt,come,nakchu,"Further east of the Chumbi Valley the salt reaching Bhutan and Monyul was already coming from the easternmost part of the Changthang, from Nakchu and also from nearby Yamdrok tso.",block_65
nubripas,collect,salt,"...Nubripas, Langtangpas and Sherpas collected the salt that would reach the eastern valleys of Nepal.",block_66
that,reach,valleys,"...Nubripas, Langtangpas and Sherpas collected the salt that would reach the eastern valleys of Nepal.",block_66
salt,come,nakchu,"Further east of the Chumbi Valley the salt reaching Bhutan and Monyul was already coming from the easternmost part of the Changthang, from Nakchu and also from nearby Yamdrok tso.",block_66
salt,come,nakchu,"Further east of the Chumbi Valley the salt reaching Bhutan and Monyul was already coming from the easternmost part of the Changthang, from Nakchu and also from nearby Yamdrok tso.",block_67
bumthaps,return,salt,"These Bumthaps returned with salt, tea, silk, musk,... Co-occurring Entities (sorted by frequency): ↳ salt [/food/ingredient] — 4 times ↳ valley",block_67
valley,buy,salt,"...Valley, Sikimese9 and Western Bhutanese bought salt and sold it at the Gangtok and Paro markets.",block_68
salt,come,nakchu,"Further east of the Chumbi Valley the salt reaching Bhutan and Monyul was already coming from the easternmost part of the Changthang, from Nakchu and also from nearby Yamdrok tso.",block_68
merchants,carry,pass,"Northeastern Bhu- tanese merchants also carried their rice through the icy pass of Me la10 to barter in Dongkhar or Tsona Dzong, where traders from As- sam and especially Monpas from the Monyul corridor also came.",block_69
merchants,carry,pass,"Northeastern Bhu- tanese merchants also carried their rice through the icy pass of Me la10 to barter in Dongkhar or Tsona Dzong, where traders from As- sam and especially Monpas from the Monyul corridor also came.",block_70
merchants,carry,pass,"Northeastern Bhu- tanese merchants also carried their rice through the icy pass of Me la10 to barter in Dongkhar or Tsona Dzong, where traders from As- sam and especially Monpas from the Monyul corridor also came.",block_71
merchants,carry,pass,"Northeastern Bhu- tanese merchants also carried their rice through the icy pass of Me la10 to barter in Dongkhar or Tsona Dzong, where traders from As- sam and especially Monpas from the Monyul corridor also came.",block_72
mountain,hold,treasures,"On the south-east route leading to Tawang, and on the south-west route to Bhutan, there were two caravan stations charging tolls to mer- chants.11 9 The Lepchas and Lhopos of Sikkim believe that their sacred mountain, the Kang- chenjunga, holds in its five peaks five valuable treasures that will be available to humans in times of need.",block_73
which,confirm,value,"The treasure of the first peak is salt, which confirms once again the high value given to it by the Himalayan peoples....",block_73
mountain,hold,treasures,"On the south-east route leading to Tawang, and on the south-west route to Bhutan, there were two caravan stations charging tolls to mer- chants.11 9 The Lepchas and Lhopos of Sikkim believe that their sacred mountain, the Kang- chenjunga, holds in its five peaks five valuable treasures that will be available to humans in times of need.",block_74
which,confirm,value,"The treasure of the first peak is salt, which confirms once again the high value given to it by the Himalayan peoples.",block_74
mountain,hold,treasures,"...of Sikkim believe that their sacred mountain, the Kang- chenjunga, holds in its five peaks five valuable treasures that will be available to humans in times of need.",block_75
which,confirm,value,"The treasure of the first peak is salt, which confirms once again the high value given to it by the Himalayan peoples.",block_75
i,thank,comments,"I thank Jigme Tshelthrim Wangyal for his comments (personal communication via e-mail, 11 July 2020).",block_75
i,thank,comments,"I thank Jigme Tshelthrim Wangyal for his comments (personal communication via e-mail, 11 July 2020).",block_76
revue,d’etude,tibétaines,Revue d’Etudes Tibétaines 76 Porters were usually traders themselves,block_76
tibetans,cross,times,"but sometimes they were peasants subject to ulag or forced labor, which was part of the tax burden on them and consisted of providing transportation to officials and political and religious elites (and to their goods).12 At times the Tibetans also crossed the border: the Drokpas neigh- bouring the Dolpopas went sometimes down to the Dolpo valleys and were taken into the homes of their netsang or fictive kin (trading partners), where the exchange took place.",block_77
exchange,take,place,"but sometimes they were peasants subject to ulag or forced labor, which was part of the tax burden on them and consisted of providing transportation to officials and political and religious elites (and to their goods).12 At times the Tibetans also crossed the border: the Drokpas neigh- bouring the Dolpopas went sometimes down to the Dolpo valleys and were taken into the homes of their netsang or fictive kin (trading partners), where the exchange took place.",block_77
tibetans,cross,bhutan,"In Bhutan, Tibetans crossed the border to exchange their products at the Tsampa13 trading station, which was the main market for the salt trade...",block_77
tibetans,cross,times,"...subject to ulag or forced labor, which was part of the tax burden on them and consisted of providing transportation to officials and political and religious elites (and to their goods).12 At times the Tibetans also crossed the border: the Drokpas neigh- bouring the Dolpopas went sometimes down to the Dolpo valleys and were taken into the homes of their netsang or fictive kin (trading partners), where the exchange took place.",block_78
exchange,take,place,"...subject to ulag or forced labor, which was part of the tax burden on them and consisted of providing transportation to officials and political and religious elites (and to their goods).12 At times the Tibetans also crossed the border: the Drokpas neigh- bouring the Dolpopas went sometimes down to the Dolpo valleys and were taken into the homes of their netsang or fictive kin (trading partners), where the exchange took place.",block_78
tibetans,cross,bhutan,"In Bhutan, Tibetans crossed the border to exchange their products at the Tsampa13 trading station, which was the main market for the salt trade with Bumthang.",block_78
tibetans,cross,border,"...the Tibetans also crossed the border: the Drokpas neigh- bouring the Dolpopas went sometimes down to the Dolpo valleys and were taken into the homes of their netsang or fictive kin (trading partners), where the exchange took place.",block_79
exchange,take,place,"...the Tibetans also crossed the border: the Drokpas neigh- bouring the Dolpopas went sometimes down to the Dolpo valleys and were taken into the homes of their netsang or fictive kin (trading partners), where the exchange took place.",block_79
tibetans,cross,bhutan,"In Bhutan, Tibetans crossed the border to exchange their products at the Tsampa13 trading station, which was the main market for the salt trade with Bumthang.",block_79
traders,cross,border,"an traders also crossed the border to exchange their goods in Trashi- yangtse and Trashigang, especially at the pilgrimage festivals of Chorten Kora and Gomphu Kora.14",block_79
traders,cross,border,"an traders also crossed the border to exchange their goods in Trashi- yangtse and Trashigang, especially at the pilgrimage festivals of Chorten Kora and Gomphu Kora.14",block_80
traders,cross,border,"an traders also crossed the border to exchange their goods in Trashi- yangtse and Trashigang, especially at the pilgrimage festivals of Chorten Kora and Gomphu Kora.14",block_81
lands,contain,number,"tshwa mtsho dkar mo lha mo stong gi bla mtsho The soul lake of one thousand goddesses It is the White salt lake of Wu16 Sources of salt in Amdo In northeastern Tibet, in the Amdo region, the marshy lands of Tsaidam contain a number of salt lakes that have historically sup- plied salt to the Amdowas,...",block_81
lands,contain,area,"tshwa mtsho dkar mo lha mo stong gi bla mtsho The soul lake of one thousand goddesses It is the White salt lake of Wu16 Sources of salt in Amdo In northeastern Tibet, in the Amdo region, the marshy lands of Tsaidam contain a number of salt lakes that have historically sup- plied salt to the Amdowas, as well as to the northernmost area of Kham.",block_82
lands,contain,area,"...of salt in Amdo In northeastern Tibet, in the Amdo region, the marshy lands of Tsaidam contain a number of salt lakes that have historically sup- plied salt to the Amdowas, as well as to the northernmost area of Kham.",block_83
he,meet,monastery,"During this time, around 1847, at the nearby Lhalung monastery he met his wife, Pema Choki, who would later become the mother of the first king of Bhutan.",block_85
who,become,mother,"During this time, around 1847, at the nearby Lhalung monastery he met his wife, Pema Choki, who would later become the mother of the first king of Bhutan.",block_85
he,meet,monastery,"During this time, around 1847, at the nearby Lhalung monastery he met his wife, Pema Choki, who would later become the mother of the first king of Bhutan.",block_86
who,become,mother,"During this time, around 1847, at the nearby Lhalung monastery he met his wife, Pema Choki, who would later become the mother of the first king of Bhutan.",block_86
he,meet,monastery,"During this time, around 1847, at the nearby Lhalung monastery he met his wife, Pema Choki, who would later become the mother of the first king of Bhutan.",block_87
who,become,mother,"During this time, around 1847, at the nearby Lhalung monastery he met his wife, Pema Choki, who would later become the mother of the first king of Bhutan.",block_87
nomads,carry,town,"From Dabusun nor, Mongolian and Tibetan nomads carried the salt to the town of Tongkhor, an important trade center in the Amdo- Gansu border area in the early 20th century, from where, along with salt, Amdo wool and lamb skins were also exported to China.19 Lake Tsaka or Chaka (""Salt Lake"") or Wu yi tsa tso (""Bubbling Salt Lake"")20 in Ulan area was also another major supplier of salt consumed in Thrika (now... Co-occurring Entities (sorted by frequency): ↳ salt [/food/ingredient] — 3 times ↳ amdo",block_91
