subject,relation,object,weight,example_sentence,doc_id
people,carry,purang,1,"In Purang under the holy Kailash and next to Lake Manasarovar, people from distant Kinnaur, Bhotias of Garwhal and Kumaon, Limiwas, Humlis and Mugulis, carried the salt to take it through the high steps to their homes, keep some and resell the rest in more dis-",block_61
lobas,load,tradün,2,"In Tradün, the Lobas of Mustang also loaded the salt to carry it through the narrow canyon of the Kali Gandaki to the Hindu villages of the middle region of Nepal.",block_62
kinnaur,carry,salt,1,"...Kinnaur, Bhotias of Garwhal and Kumaon, Limiwas, Humlis and Mugulis, carried the salt to take it through the high steps to their homes, keep some and resell the rest in more dis-",block_62
langtangpas,collect,kyirong,4,"...east, in Kyirong and Rongshar the Nubripas, Langtangpas and Sherpas collected the salt that would reach the eastern valleys of Nepal.",block_65
that,reach,valleys,5,"...Nubripas, Langtangpas and Sherpas collected the salt that would reach the eastern valleys of Nepal.",block_66
salt,come,nakchu,6,"Further east of the Chumbi Valley the salt reaching Bhutan and Monyul was already coming from the easternmost part of the Changthang, from Nakchu and also from nearby Yamdrok tso.",block_68
nubripas,collect,salt,1,"...Nubripas, Langtangpas and Sherpas collected the salt that would reach the eastern valleys of Nepal.",block_66
bumthaps,return,salt,1,"These Bumthaps returned with salt, tea, silk, musk,... Co-occurring Entities (sorted by frequency): ↳ salt [/food/ingredient] — 4 times ↳ valley",block_67
valley,buy,salt,1,"...Valley, Sikimese9 and Western Bhutanese bought salt and sold it at the Gangtok and Paro markets.",block_68
merchants,carry,pass,4,"Northeastern Bhu- tanese merchants also carried their rice through the icy pass of Me la10 to barter in Dongkhar or Tsona Dzong, where traders from As- sam and especially Monpas from the Monyul corridor also came.",block_72
mountain,hold,treasures,3,"...of Sikkim believe that their sacred mountain, the Kang- chenjunga, holds in its five peaks five valuable treasures that will be available to humans in times of need.",block_75
which,confirm,value,3,"The treasure of the first peak is salt, which confirms once again the high value given to it by the Himalayan peoples.",block_75
tibetans,cross,times,2,"...subject to ulag or forced labor, which was part of the tax burden on them and consisted of providing transportation to officials and political and religious elites (and to their goods).12 At times the Tibetans also crossed the border: the Drokpas neigh- bouring the Dolpopas went sometimes down to the Dolpo valleys and were taken into the homes of their netsang or fictive kin (trading partners), where the exchange took place.",block_78
exchange,take,place,3,"...the Tibetans also crossed the border: the Drokpas neigh- bouring the Dolpopas went sometimes down to the Dolpo valleys and were taken into the homes of their netsang or fictive kin (trading partners), where the exchange took place.",block_79
tibetans,cross,bhutan,3,"In Bhutan, Tibetans crossed the border to exchange their products at the Tsampa13 trading station, which was the main market for the salt trade with Bumthang.",block_79
tibetans,cross,border,1,"...the Tibetans also crossed the border: the Drokpas neigh- bouring the Dolpopas went sometimes down to the Dolpo valleys and were taken into the homes of their netsang or fictive kin (trading partners), where the exchange took place.",block_79
traders,cross,border,3,"an traders also crossed the border to exchange their goods in Trashi- yangtse and Trashigang, especially at the pilgrimage festivals of Chorten Kora and Gomphu Kora.14",block_81
lands,contain,number,1,"tshwa mtsho dkar mo lha mo stong gi bla mtsho The soul lake of one thousand goddesses It is the White salt lake of Wu16 Sources of salt in Amdo In northeastern Tibet, in the Amdo region, the marshy lands of Tsaidam contain a number of salt lakes that have historically sup- plied salt to the Amdowas,...",block_81
lands,contain,area,2,"...of salt in Amdo In northeastern Tibet, in the Amdo region, the marshy lands of Tsaidam contain a number of salt lakes that have historically sup- plied salt to the Amdowas, as well as to the northernmost area of Kham.",block_83
who,become,mother,3,"During this time, around 1847, at the nearby Lhalung monastery he met his wife, Pema Choki, who would later become the mother of the first king of Bhutan.",block_87
nomads,carry,town,3,"From Dabusun nor, Mongolian and Tibetan nomads carried the salt to the town of Tongkhor, an important trade center in the Amdo- Gansu border area in the early 20th century, from where, along with salt, Amdo wool and lamb skins were also exported to China.19 Lake Tsaka or Chaka (""Salt Lake"") or Wu yi tsa tso (""Bubbling Salt Lake"")20 in Ulan area was also another major supplier of salt consumed in Thrika (now Guide), Kumbum (present-day Huangzhong) and other parts of Amdo.",block_93
someone,lend,yaks,1,"According to custom if someone lent yaks, frames or sacks... Co-occurring Entities (sorted by frequency): ↳ salt [/food/ingredient] — 1 times ↳ tsaka [/people/person] — 1 times ↳ ulan [/location/location] — 1 times ↳ tso [/location/location] — 1 times ↳ yak",block_96
men,offer,bsang,1,"Every day, upon rising, the men would offer bsang (incense) and prayers to the local deities to gain their favor.22 The care of the animals was essential at all times to 17 Van Spengen 2013, p. 495-496. 18",block_97
which,become,tsaka,6,"According to legend, the Mongolian king Bang A ma gave the locals a salt spring, which became this Lake Tsaka.",block_103
entities,sort,frequency,2,In the southeastern... Co-occurring Entities (sorted by frequency): ↳ salt [/food/ingredient] — 1 times ↳ amdowas [/location/location] — 1 times ↳ rgyas,block_125
routes,run,kham,1,"...Other routes ran southwards to Northern Kham, eastwards to the Chinese plain of Sichuan, and northeast- wards to Gansu and Inner Mongolia.",block_105
they,camp,banks,1,"Once loaded, they would camp on the banks of the Kyaring tso and Ngor- ing tso before leaving the Golok country and heading west to sell their salt in Nakchu and even Lhasa.28 The Goloks themselves also took their salt annually to the Tsangpo valley and exchanged it for grain near Nang dzong in Kongpo.29",block_108
goloks,take,valley,4,...The Goloks themselves also took their salt annually to the Tsangpo valley and exchanged it for grain near Nang dzong in Kongpo.29,block_111
lims,act,intermediaries,5,The Chinese and Mus- lims of Amdo acted as intermediaries between the Amdowa Tibetans and the Chinese world of Gansu and northern Sichuan.,block_112
which,supply,soldiers,1,"Another business as profitable as it was dangerous was that of arms trafficking, which supplied the soldiers of the Chinese feudal lords, those of the Tibetan princes and chiefs, the armories of... Co-occurring Entities (sorted by frequency): ↳ salt [/food/ingredient] — 1 times ↳ northern",block_112
that,plague,roads,1,"...groups that plagued the roads of Amdo and Kham.30 Reflecting its multi-ethnic and multi-cultural reality, Amdo's trad- ing centers were bustling with Mongol and Tibetan nomads, Hui and Salar Muslims, Tu peasants and local Han Chinese, Golok warriors and Chinese merchants; and in its many xiejias,31 salt was exchanged 27 Grenard 1904.",block_113
centers,bustle,nomads,1,"...groups that plagued the roads of Amdo and Kham.30 Reflecting its multi-ethnic and multi-cultural reality, Amdo's trad- ing centers were bustling with Mongol and Tibetan nomads, Hui and Salar Muslims, Tu peasants and local Han Chinese, Golok warriors and Chinese merchants; and in its many xiejias,31 salt was exchanged 27 Grenard 1904.",block_113
goloks,obtain,which,3,"The Kyaring tso and Ngoring tso, from which the Goloks obtained salt, are not strictly saltwater lakes, but salt is found along their banks.",block_115
spyi,inform,addition,1,"This tshong spyi would inform Lhasa of the pas- sage of Tsaidam salt and Amdo wool to the Chinese lowlands, and about Sichuan grain and tea passing to the nomadic interior regions, as well as the conditions of transactions and the powers involved in them, in addition to representing Tibetan interests and procuring goods for his government.",block_121
they,trade,markets,1,...which they traded in the Gansu and Sichuan markets.,block_122
equivalent,bear,kham,2,"In neighboring Kham the equivalent of this institution bore the name guozhuang, and in the Yunnan part madian.",block_123
merchants,bring,salt,3,"Chinese merchants also brought Chinese salt along with tea, silk, cotton and porcelain.",block_126
traffickers,come,streets,3,"At the end of the Qing dynasty and in the years of the Republic, opium traffickers also came to its streets and those of Zitsa Degu (Ch. Jiuzhaigou, formerly Nanping), Ngaba or Barkham to exchange it for salt, grain, tea, textiles, precious metals and arms.",block_126
salt,amdowa,location,1,In the southeastern... Co-occurring Entities (sorted by frequency): ↳ salt [/food/ingredient] — 1 times ↳ amdowas [/location/location] — 1 times ↳ rgyas,block_125
clan,dominate,end,3,The salt trips in Tibet and the Himalayas 81 The political control: the Ma clan The Mongols of the area35 had dominated the salt trade since the end of the Ming dynasty and continued to do so at least until the early 19th century.,block_129
control,dominate,end,1,...The political control: the Ma clan The Mongols of the area35 had dominated the salt trade since the end of the Ming dynasty and continued to do so at least until the early 19th century.,block_130
empire,reestablish,1907,3,In 1907-1908 the Qing Empire reestablished the salt bureau.36,block_132
army,defeat,soldiers,6,"...People's Liberation Army defeated his soldiers and took Lanzhou, Ma fled with his extraordinary fortune to Saudi Arabia.",block_138
kham,amdowa,location,1,Kham and the Extended Eastern... Co-occurring Entities (sorted by frequency): ↳ salt [/food/ingredient] — 1 times ↳ amdowas [/location/location] — 1 times ↳ ernment [/organization/organization] — 1 times ↳ province,block_134
man,have,faith,5,"The man has faith inside; the earth has salt inside Premi proverb38 In southeastern Tibet, on the banks of the Mekong River (known in Tibetan as Dza chu and in Chinese as Lacang jiang) are the salt pans of Tsakalho (Naxi: Yerkalo, Yakalo; Ch. Yanjing), which have histori- cally supplied salt to much of Kham and the nearby Extended East- 35",block_139
earth,have,tibet,5,"The man has faith inside; the earth has salt inside Premi proverb38 In southeastern Tibet, on the banks of the Mekong River (known in Tibetan as Dza chu and in Chinese as Lacang jiang) are the salt pans of Tsakalho (Naxi: Yerkalo, Yakalo; Ch. Yanjing), which have histori- cally supplied salt to much of Kham and the nearby Extended East- 35",block_139
which,have,much,6,"...Tibetan as Dza chu and in Chinese as Lacang jiang) are the salt pans of Tsakalho (Naxi: Yerkalo, Yakalo; Ch. Yanjing), which have histori- cally supplied salt to much of Kham and the nearby Extended East- 35",block_140
times,amdowa,location,1,"The man has faith inside; the earth has salt inside Premi proverb38 In southeastern Tibet, on the banks of the Mekong River (known in Tibetan as Dza chu and in Chinese as Lacang jiang) are the salt pans of Tsakalho (Naxi: Yerkalo, Yakalo; Ch. Yanjing), which have histori- cally supplied salt to much of Kham and the... Co-occurring Entities (sorted by frequency): ↳ salt [/food/ingredient] — 1 times ↳ amdowas [/location/location] — 1 times ↳ himalayas",block_135
entities,amdowa,location,1,Co-occurring Entities (sorted by frequency): ↳ salt [/food/ingredient] — 1 times ↳ amdowas [/location/location] — 1 times ↳ himalayas,block_136
who,arrive,century,3,"...which have histori- cally supplied salt to much of Kham and the nearby Extended East- 35 Although their presence dates back further, the bulk of the Amdo Mongols ap- pear to be descended from those who arrived with the establishment in the 17th century of a Mongol Oirat polity in Koko nor by Gushri Khan.",block_141
administration,establish,1724,3,In 1724 the Qing administration had already established a salt bureau in Qinghai but its activity was no more than nominal and it eventually disappeared in 1742.,block_143
bufang,stand,goloks,3,"Ma Bufang stood out for his cruelty with the Tibetans, especially with the Goloks.",block_144
that,prevent,them,2,"Faced with his failure to conquer the lands of the nomadic Washul clan due to the resistance encountered, Ma applied a long trade embargo to the nomads that prevented them from selling their products and de- prived them of cereal, tea and salt, essential products in their diet.",block_144
de-,prive,cereal,1,"Faced with his failure to conquer the lands of the nomadic Washul clan due to the resistance encountered, Ma applied a long trade embargo to the nomads that prevented them from selling their products and de- prived them of cereal, tea and salt, essential products in their diet.",block_144
salt,reach,kham,1,"The production of Tsakalho and the extent of the area it supplied were considerably less than those of the Changtang salt lakes, and its salt reached mainly central and southern Kham and its adjacent Himalayan areas.",block_147
salt,reach,north,1,"In the north of the province the salt from the wells reached Chamdo along with, as noted above, that extracted from the lakes of Nakchu and Tsaidam.",block_147
that,extract,lakes,2,"...Chamdo along with, as noted above, that extracted from the lakes of Nakchu and Tsaidam.",block_148
salt,reach,hills,2,"Westwards the Tsakalho salt would reach Tsawarong and Zayul, as well as the Mishmi Hills of present-day Arunachal, the Myanmar Himalayas, and Nujiang.",block_148
you,look,tsakalho,1,"Wells and salt pans If you look down on Tsakalho from above, the view is breathtaking: along the two banks of the Dzachu, the accumulated brine in its near- ly 2700 salt pans shines from the river bed reflecting the sky.",block_149
brine,shin,bed,1,"Wells and salt pans If you look down on Tsakalho from above, the view is breathtaking: along the two banks of the Dzachu, the accumulated brine in its near- ly 2700 salt pans shines from the river bed reflecting the sky.",block_149
desgodins,list,bank,2,Desgodins already lists in 1872 fifteen wells on the right bank and thirty on the left bank.40 Tibet was once covered by an ocean and the underground saltwater lake that supplies these wells is a conse- quence of that past.,block_151
that,supply,wells,4,...right bank and thirty on the left bank.40 Tibet was once covered by an ocean and the underground saltwater lake that supplies these wells is a conse- quence of that past.,block_153
settlement,lie,houses,1,"On the right bank, west of the river, lies the Tibetan settlement of Jada, with its hundred or so white houses scattered among fields of barley and wheat.",block_154
women,go,wells,2,"...Naxi women of Lower Tsakalho go down to the wells, and come back up with wooden tubes or buckets loaded with salt water weighing about 15 kg.",block_157
women,carry,jada,3,In Jada the Tibetan women usually carry two buckets of 10kg each.,block_158
hen,have,hand,2,"The hen, on the other hand, had more limited mobility because she had to take care of her eggs, so there are considerably fewer wells in the Lower Tsakalho.42 On the 42 Mu-gwan 2008; Lee 2006.",block_162
salt,pan,date,1,"In Tibetan mythology the sacred mountain par excel- lence of the area, the Kawa Karpo, is a male deity who is ""married"" to a female The salt trips in Tibet and the Himalayas 85 other hand, according to some sources, the salt pans date back to times...",block_161
salt,pan,the,1,"In Tibetan mythology the sacred mountain par excel- lence of the area, the Kawa Karpo, is a male deity who is ""married"" to a female The salt trips in Tibet and the Himalayas 85 other hand, according to some sources, the salt pans date back to times before the...",block_162
they,make,ădăm,1,"...of the Rawang people which describe the route of their migration from Tibet to northern Myanmar in ancestral times, there is talk of a stop they made at shòwá ădăm.",block_163
couple,have,others,4,"...Markham area three ""daugh- ters"" are referred to, in other parts two, and in others the couple has ""sons"", ""un- cle"", ""army"", etc., instead of ""daughters""; these ""relatives"" always being moun- tains.",block_167
revue,d’etude,center,2,"Revue d’Etudes Tibétaines 86 important salt center in the region, as well as an obligatory passage for Yunnan tea on its way to Lhasa.",block_172
kingdom,rule,sadam,1,During the 15th century the pow- erful Naxi kingdom ruled by the Mu family from Jang Sadam (Li- jiang) expanded northward to Bathang...,block_172
lhasa,exercise,influence,1,"...Lhasa, the Gelukpa branch monasteries also exercised important political influence over the area; both were involved in commercial transactions that served their own interests.",block_173
that,serve,interests,1,"...Lhasa, the Gelukpa branch monasteries also exercised important political influence over the area; both were involved in commercial transactions that served their own interests.",block_173
who,rule,sichuan,1,"...cials dependent on the ""warlords"" who ruled Sichuan or Yunnan.",block_174
traders,benefit,part,2,"Local Khampa and Naxi traders only benefited from a small part of the profits generated by salt production.47 In the last quarter of the 19th century a new force had joined the race for influence on the frontier: the French Catholic missionaries of the Missions Étrangères de Paris had settled in Bathang, and later in Tsakalho where after founding a church in 1865, in 1870 they bought 45 The great monastery of Ba Chode, in Bathang, was the main and most powerful in the region.",block_175
force,join,tsakalho,2,"Local Khampa and Naxi traders only benefited from a small part of the profits generated by salt production.47 In the last quarter of the 19th century a new force had joined the race for influence on the frontier: the French Catholic missionaries of the Missions Étrangères de Paris had settled in Bathang, and later in Tsakalho where after founding a church in 1865, in 1870 they bought 45 The great monastery of Ba Chode, in Bathang, was the main and most powerful in the region.",block_175
missionaries,settle,bathang,2,"Local Khampa and Naxi traders only benefited from a small part of the profits generated by salt production.47 In the last quarter of the 19th century a new force had joined the race for influence on the frontier: the French Catholic missionaries of the Missions Étrangères de Paris had settled in Bathang, and later in Tsakalho where after founding a church in 1865, in 1870 they bought 45 The great monastery of Ba Chode, in Bathang, was the main and most powerful in the region.",block_175
they,buy,1870,5,"...where after founding a church in 1865, in 1870 they bought 45",block_178
one,tere,affairs,4,"The one from Lhagong (Lhaweng, Lawok) in Tsakalho adminis- tered the affairs of the salt trade.",block_178
missionaries,settle,tsakalho,1,"...the French Catholic missionaries of the Missions Étrangères de Paris had settled in Bathang, and later in Tsakalho where after founding a church in 1865, in 1870 they bought 45 The great monastery of Ba Chode, in Bathang, was the main and most powerful in the region.",block_176
dynasty,grant,title,3,"The Qing dynasty granted the title of tusi to the hereditary local chiefs of Kham to show nominal control over the area, since theoretically these tusi owed obedience to the emperor.",block_178
tusi,owe,obedience,1,"The Qing dynasty granted the title of tusi to the hereditary local chiefs of Kham to show nominal control over the area, since theoretically these tusi owed obedience to...",block_176
uprising,break,bathang,1,"The uprising against the mis- sionaries and against the Qing troops broke out in Bathang, and soon spread throughout southern Kham.",block_179
zhao,take,control,1,"Zhao quickly took control and was charac- terized by the extreme cruelty of his methods, which earned him the nickname ""Zhao the Butcher"" among the Khampa.",block_179
which,earn,nickname,1,"Zhao quickly took control and was charac- terized by the extreme cruelty of his methods, which earned him the nickname ""Zhao the Butcher"" among the Khampa.",block_179
they,return,pans,1,"After they returned to the salt pans Zhao was still not satisfied with the taxes obtained, and enacted heavy fines against salt smug- 48 Bray 2019, p. 165.",block_180
revue,d’etude,gling,5,Revue d’Etudes Tibétaines 88 gling.,block_184
soldiers,take,1907,5,"After a series of battles between his troops and the Lhagong monks allied with the local Khampa, in 1907 his soldiers finally took over the monastery and expelled the monks.",block_184
entities,relyea,organization,3,"In 1910, after trying with little success to... Co-occurring Entities (sorted by frequency): ↳ salt [/food/ingredient] — 1 times ↳ relyea [/organization/organization] — 1 times ↳ lutzes [/organization/organization] — 1 times ↳ monastery",block_183
that,require,mediations,3,"After two Sino-Tibetan wars in 1918 and 1930 that required the mediations of the British Consul in Dartsedo Sir Eric Teichman and the American missionary Marion Duncan, Tsakalho was in 1932 within the borders of Tibet.",block_187
republic,establish,1939,3,"In 1939 the Republic of China established the province of Xikang which nominal- ly encompassed the territory of Kham, but Chinese control in practice only reached its eastern half east of the Dri chu.",block_187
control,reach,east,3,"In 1939 the Republic of China established the province of Xikang which nominal- ly encompassed the territory of Kham, but Chinese control in practice only reached its eastern half east of the Dri chu.",block_187
fore,remain,government,1,The salt pans there- fore remained under the Lhasa government until the arrival of the Communist army in 1950.52 The salt trade and caravans As has been...,block_187
they,march,coleman,1,"Under the direction of a respected and experi- enced leader (the maguotou) they march in caravans53 for weeks to 51 Coleman 2014, p. 351-352, 296-297; Relyea 2010, pp: 206-207; Wang 2911, pp. 129-",block_188
caravans,consist,area,1,In the Tsakalho area the short- and medium-distance caravans usually consisted The salt trips in Tibet and the Himalayas 89 reach towns where the value of the salt is higher due to their distance from the salt pans and the isolation of their location.,block_188
they,cross,passes,1,"They must cross perennial- ly snow-capped mountain passes of about 5000 m. in altitude and, until not too long ago, cross mighty rivers with their horses and mules by the old and dangerous system of rope bridges (liusuo).54 But their efforts are almost always rewarded and the caravan completes its journey successfully, getting considerably more grain for its salt than they would at home.",block_189
caravan,complete,journey,1,"They must cross perennial- ly snow-capped mountain passes of about 5000 m. in altitude and, until not too long ago, cross mighty rivers with their horses and mules by the old and dangerous system of rope bridges (liusuo).54 But their efforts are almost always rewarded and the caravan completes its journey successfully, getting considerably more grain for its salt than they would at home.",block_189
that,travel,city,2,"On the other hand, Tsakalho was an obligatory stop for the long- distance caravans that, from southern Yunnan, traveled along the Tea Horse Road to the holy city of Lhasa in central Tibet.",block_191
that,bring,yunnan,3,"Long-distance caravans that brought tea from Yunnan and continued on to Lhasa and beyond, substituted their horses for yaks past Tsakalho when the altitude and cold became unbearable for the former.",block_195
caravans,substitute,entities,1,"Long-distance caravans that brought tea from Yunnan and continued on to Lhasa and beyond, substituted their horses... Co-occurring Entities (sorted by frequency): ↳ tea",block_193
caravans,substitute,tsakalho,2,"Long-distance caravans that brought tea from Yunnan and continued on to Lhasa and beyond, substituted their horses for yaks past Tsakalho when the altitude and cold became unbearable for the former.",block_195
ward,make,commodity,1,"1930 Frank Kingdon-Ward, ""Plant-Hunting on the Edge of the World"", p. 25 Myanmar Himalayas In pre-modern times, in the Extended Eastern Himalayas, the ex- treme scarcity of salt made this product probably the most valuable commodity for trade.",block_197
nities,hold,work,1,"F. K. L. Chit Hlaing writes that ""The commu- nities owning salt wells always held central political positions in the net- work of inter-group relations, not only with respect to lowland kingdoms but also with regard to neighboring hill peoples"".56 In the upper valleys of the Drung (Dulong) and Nu (Salween) rivers, Naxi and Tibetan trad- ers exchanged the precious salt from the salt pans for herbs, agricul- tural products and cloth.",block_198
ers,exchange,respect,1,"F. K. L. Chit Hlaing writes that ""The commu- nities owning salt wells always held central political positions in the net- work of inter-group relations, not only with respect to lowland kingdoms but also with regard to neighboring hill peoples"".56 In the upper valleys of the Drung (Dulong) and Nu (Salween) rivers, Naxi and Tibetan trad- ers exchanged the precious salt from the salt pans for herbs, agricul- tural products and cloth.",block_198
who,settle,centuries,3,"Travelers and Christian missionaries who settled in the area in the late 19th and early 20th centuries testified to this situation of slavery, which was common in this area of northwestern 55 Trijang Rinpoche 2018, p. 88; Karmay 2009, p. 65.",block_201
travelers,testify,situation,3,"Travelers and Christian missionaries who settled in the area in the late 19th and early 20th centuries testified to this situation of slavery, which was common in this area of northwestern 55 Trijang Rinpoche 2018, p. 88; Karmay 2009, p. 65.",block_201
they,visit,side,2,"They usually visited Rima and Jite on the Tibetan side, alt- hough Tibetan, Lisu, and Chinese traders from Yunnan sometimes brought the precious commodity to their lands also.",block_205
tibetan,bring,lands,2,"They usually visited Rima and Jite on the Tibetan side, alt- hough Tibetan, Lisu, and Chinese traders from Yunnan sometimes brought the precious commodity to their lands also.",block_205
locals,suffer,some,1,"Here, too, the locals suffered exploitation by some of these traders, who sometimes took advantage of these incursions to capture slaves among them.58 In the Mishmi Hills Tibetan...",block_205
who,take,incursions,1,"Here, too, the locals suffered exploitation by some of these traders, who sometimes took advantage of these incursions to capture slaves among them.58 In the Mishmi Hills Tibetan...",block_205
meyors,purchase,side,5,"The Zakhrings/Meyors of Walong also purchased salt from the Tibetan side of the border.60 Further west, the salt obtained in Pe (Kongpo) by the Adis who crossed the Doshong la, came from the Nakchu lakes.",block_210
salt,come,lakes,5,"The Zakhrings/Meyors of Walong also purchased salt from the Tibetan side of the border.60 Further west, the salt obtained in Pe (Kongpo) by the Adis who crossed the Doshong la, came from the Nakchu lakes.",block_210
groups,cross,valley59,1,"...groups of Mishmis crossed the passes of the upper Dibang basin, or the bor- der of the Lohit or Zayul chu valley,59 exchanging the precious salt, Tibetan swords, coarse woolen cloaks and copper pots for the famous medicinal plant mishmee-teeta, musk, bear skins and other jungle products.",block_207
representative,collect,set,4,"A representative of the king of Powo or Kanam Depa also collected the tax set for his lord.61 Still further west the Apa Tanis manufactured their own ""salt"", the tapyo,62 which is obtained from the ashes produced by burning a cane that grows in the rice fields.",block_211
tanis,manufacture,which,1,"A representative of the king of Powo or Kanam Depa also collected the tax set for his lord.61 Still further west the Apa Tanis manufactured their own ""salt"", the tapyo,62 which...",block_210
tanis,manufacture,salt,1,"A representative of the king of Powo or Kanam Depa also collected the tax set for his lord.61 Still further west the Apa Tanis manufactured their own ""salt"", the tapyo,62 which is obtained from the ashes produced by burning a cane that grows in the rice fields.",block_211
that,grow,fields,1,"A representative of the king of Powo or Kanam Depa also collected the tax set for his lord.61 Still further west the Apa Tanis manufactured their own ""salt"", the tapyo,62 which is obtained from the ashes produced by burning a cane that grows in the rice fields.",block_211
